,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Class,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,File type,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Injection order,1,2,3,4,5,6,7,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batch ID,1,1,1,1,1,1,1,1
Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,201110_Std_4uMStdsMix1InH2O_20neg1,201110_Std_4uMStdsMix1InH2O_20neg2,201110_Std_4uMStdsMix1InH2O_35neg1,201110_Std_4uMStdsMix1InH2O_35neg2,201110_Std_4uMStdsMix1InH2O_50neg1,201110_Std_4uMStdsMix1InH2O_50neg2,201119_Std_4uMStdsMix1InH2O_100neg1,201119_Std_4uMStdsMix1InH2O_100neg2
0,8.427,61.00077,Unknown,[M-H]-,adduct linked to 131_[M+Cl]-; found in higher mz's MsMs_3; similar chromatogram in higher mz_621,0.25,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,31.31,201110_Std_4uMStdsMix1InH2O_20neg1,61.00077:9470244 62.00412:20886274 63.00748:16759968,54.08712:355002 56.36778:339289 60.99189:368441376 61.01678:484838,175,-2,-2,149,-2,-2,-2,-2
1,21.455,61.00082,Unknown,[M-H]-,,0.125,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,3.29,201110_Std_4uMStdsMix1InH2O_20neg1,61.00082:606945 62.00417:6633290 63.00753:4808159,,414,-2,-2,-2,-2,-2,-2,-2
2,8.762,61.05093,Unknown,[M+FA-H]-,adduct linked to 115_[M+Br]-,0.125,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,36.63,201110_Std_4uMStdsMix1InH2O_20neg1,61.05093:2586680 62.05428:0 63.05764:0,,176,-2,-2,-2,-2,-2,-2,-2
3,8.762,61.10116,Unknown,[M-H]-,,0.125,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,20.4,201110_Std_4uMStdsMix1InH2O_20neg1,61.10116:1440722 62.10451:0 63.10787:0,56.22411:340860 57.771:324771 60.99187:240481120 61.0167:576320,177,-2,-2,-2,-2,-2,-2,-2
4,5.397,61.11486,Unknown,[M-H]-,,0.25,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,2.69,201119_Std_4uMStdsMix1InH2O_100neg2,61.11538:303594 62.11873:0 63.12209:0,51.27315:97463 60.99188:54651516,-2,-2,-2,150,-2,-2,-2,72
