,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Class,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,File type,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard
10,11.707,66.00855,Unknown,[M-H]-,found in higher mz's MsMs_122,0.375,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,7.62,201110_Std_4uMStdsMix2InH2O_50neg2,66.00855:756493 67.0119:0 68.01526:1009431,,-2,-2,-2,-2,476,645,652,-2
11,18.978,66.00856,Unknown,[M+FA-H]-,adduct linked to 93_[2M+FA-H]-; found in higher mz's MsMs_76; similar chromatogram in higher mz_1086; similar chromatogram in higher mz_536,0.375,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,15.59,201110_Std_4uMStdsMix2InH2O_20neg2,66.00856:808330 67.01191:126829 68.01527:3995401,51.92505:4268 52.65068:3557 53.22612:4005 55.91602:3703 65.00887:8836 65.957:24425 65.99731:5191496 66.00848:656471 66.01021:60602 66.01658:357175,-2,676,610,-2,-2,-2,736,-2
12,21.558,67.02895,Unknown,[M-H]-,adduct linked to 240_[M+FA-H]-,0.875,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,31.47,201110_Std_4uMStdsMix2InH2O_50neg2,67.02895:775050 68.0323:0 69.03566:0,,653,677,715,676,759,926,-2,733
13,6.746,67.02898,Unknown,[M-H]-,adduct linked to 333_[M+Hac-H]-,0.375,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,2.82,201110_Std_4uMStdsMix2InH2O_50neg2,67.02898:71284 68.03233:0 69.03569:0,,-2,240,-2,-2,386,378,-2,-2
14,21.571,68.01296,Unknown,[M-H2O-H]-,adduct linked to 91_[M-H]-; found in higher mz's MsMs_240,0.625,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,69.8,201110_Std_4uMStdsMix2InH2O_20neg1,68.01295:3789286 69.0163:3399194 70.01966:59017,50.00236:1459977 52.38647:3634 65.9973:105152 68.0016:16629 68.01293:2919838 68.02399:24680 68.0322:11055,646,-2,743,-2,-2,927,865,752
15,14.768,68.01297,Unknown,[M-H]-,adduct linked to 245_[M+FA-H]-,0.125,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,9.39,201110_Std_4uMStdsMix2InH2O_50neg2,68.01297:672179 69.01632:235116 70.01968:0,50.00238:207462 56.39628:2748 57.23252:2847 65.16186:3656 65.99731:9101 68.01295:308523 68.02419:11767,-2,-2,-2,-2,-2,646,-2,-2
16,18.367,68.99451,Unknown,[M-H]-,,0.125,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,8.66,201119_Std_4uMStdsMix2InH2O_100neg1,68.99451:58007 69.99786:0 71.00122:0,,-2,-2,-2,-2,-2,-2,831,-2
17,17.799,68.99453,Unknown,[M+Na-2H]-,adduct linked to 413_[2M+FA-H]-,0.25,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,11.16,201119_Std_4uMStdsMix2InH2O_100neg1,68.99453:133971 69.99788:0 71.00124:0,,-2,-2,-2,-2,-2,-2,737,693
18,9.67,69.00817,Unknown,[M-H]-,adduct linked to 656_[2M+FA-H]-,0.25,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,3.61,201110_Std_4uMStdsMix2InH2O_50neg1,69.00817:81408 70.01152:0 71.01488:168082,,-2,-2,-2,-2,387,516,-2,-2
19,14.864,69.00821,Unknown,[M-H]-,adduct linked to 456_[M+Br]-; adduct linked to 341_[M+Hac-H]-,0.125,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,5.23,201110_Std_4uMStdsMix2InH2O_50neg2,69.00821:185211 70.01156:0 71.01492:102348,,-2,-2,-2,-2,-2,791,-2,-2
20,21.569,69.00822,Unknown,[2M+FA-H]-,adduct linked to 21_[M+Hac-H]-; found in higher mz's MsMs_240; found in higher mz's MsMs_87,0.625,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,173.08,201110_Std_4uMStdsMix2InH2O_50neg1,69.00823:3340914 70.01158:166772 71.01494:531594,50.9994:7805 51.00573:89623 68.86021:4488 68.97821:6251 68.99466:13005 68.99703:154025 69.00819:2477872 69.01622:107037 69.03918:4802 69.04457:5153 69.15652:5095,647,-2,-2,-2,772,928,875,753
21,21.564,71.01262,Unknown,[M+Hac-H]-,adduct linked to 20_[2M+FA-H]-,0.25,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,22.23,201110_Std_4uMStdsMix2InH2O_50neg2,71.01262:421414 72.01597:1229296 73.01933:24795444,,-2,-2,-2,-2,-2,929,-2,754
22,9.002,71.01263,Unknown,[M-H]-,,1,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,66.43,201110_Std_4uMStdsMix2InH2O_20neg1,71.01261:842553 72.01596:0 73.01932:422125,53.18044:2975 53.75315:3124 60.36217:3114 70.72243:2910 71.0126:76670,387,394,369,413,448,435,479,491
23,2.415,71.01263,Unknown,[M-C6H10O4-H]-,found in higher mz's MsMs_158; adduct linked to 791_[M-H]-; found in higher mz's MsMs_157,0.75,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,9.11,201119_Std_4uMStdsMix2InH2O_100neg2,71.01263:145728 72.01598:0 73.01934:188383,,-2,-2,93,105,88,87,169,60
24,2.726,71.049,Unknown,[M-C6H8O6-H]-,adduct linked to 174_[M-C6H10O4-H]-; found in higher mz's MsMs_248,0.125,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,10.72,201119_Std_4uMStdsMix2InH2O_100neg1,71.049:118373 72.05235:0 73.05571:0,,-2,-2,-2,-2,-2,-2,214,-2
25,9.394,72.00787,Unknown,[M+FA-H]-,adduct linked to 0_[M+Cl]-,0.25,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,6.77,201110_Std_4uMStdsMix2InH2O_50neg2,72.00787:187794 73.01122:63564 74.01458:823199,,-2,-2,-2,-2,-2,719,-2,284
26,21.577,72.0079,Unknown,[M+Na-2H]-,adduct linked to 222_[M+Hac-H]-; found in higher mz's MsMs_240,0.75,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,75.51,201110_Std_4uMStdsMix2InH2O_20neg1,72.00789:1206558 73.01124:28595000 74.0146:22927726,52.4919:3369 58.89827:3008 60.51104:4262 61.56111:3095 64.77573:3748 65.88113:3615 72.00785:360748 72.0317:19526 72.04403:3531,648,-2,744,-2,783,935,869,778
27,10.73,72.99191,Unknown,[M-H]-,similar chromatogram in higher mz_149,0.5,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,9.33,201110_Std_4uMStdsMix2InH2O_50neg1,72.99191:454157 73.99526:0 74.99862:2696474,,-2,340,-2,-2,388,801,527,-2
28,20.382,72.99191,Unknown,[M-H2O-H]-,adduct linked to 473_[M+Hac-H]-,0.375,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,55.7,201119_Std_4uMStdsMix2InH2O_100neg2,72.99193:478914 73.99528:0 74.99864:934661,53.82206:9884 56.01289:25107 57.99217:152327 58.36517:9645 58.47954:9452 63.51618:10138 72.99196:16878 73.01568:220585 73.01787:15151 73.02832:14358,-2,-2,-2,-2,-2,874,738,746
29,15.189,72.99191,Unknown,[M+Na-2H]-,adduct linked to 229_[M+Hac-H]-; adduct linked to 462_[2M+FA-H]-; found in higher mz's MsMs_245,0.5,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,19.16,201110_Std_4uMStdsMix2InH2O_50neg2,72.99191:1073793 73.99526:0 74.99862:4455439,63.1969:3203 65.76981:3392 72.99191:193971 73.02829:155685 73.03014:2424 73.03952:13475,-2,575,640,-2,663,647,-2,-2
30,21.578,73.01572,Unknown,[M+Na-2H]-,adduct linked to 146_[M+FA-H]-,0.5,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,1129.94,201110_Std_4uMStdsMix2InH2O_35neg1,73.01572:30782828 74.01907:25510460 75.02243:2933135,50.13818:8117 50.1775:9502 56.01298:23183 57.32025:9632 57.99221:113179 59.01251:17887 64.16518:9251 72.99188:98103 73.01569:945957 73.02833:85186,-2,-2,745,686,784,-2,870,-2
31,3.616,73.02825,Unknown,[M-H]-,,0.875,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,153.26,201110_Std_4uMStdsMix2InH2O_20neg1,73.02825:7638298 74.0316:264287 75.03496:0,51.50289:3816 53.73352:4490 55.01764:6170 58.33697:4258 58.57243:4079 58.92363:4156 60.22324:4109 62.47663:3720 62.5026:4105 66.45057:4483 69.7703:4458 72.99184:29420 73.02824:2342523,245,235,236,-2,249,265,277,277
32,3.67,73.02825,Unknown,[M-H]-,,0.5,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,213.13,201110_Std_4uMStdsMix2InH2O_20neg1,73.02825:7841438 74.0316:350938 75.03496:64435,50.91867:3471 54.18842:3139 58.54901:3401 62.97792:3762 66.41383:3887 67.04007:3729 72.9919:40336 73.02824:1736938,250,-2,239,241,-2,247,-2,-2
33,8.835,73.02828,Unknown,[M-C6H10O4-H]-,found in higher mz's MsMs_717; similar chromatogram in higher mz_909; adduct linked to 891_[M+Cl]-,1,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,,FALSE,FALSE,null,null,null,null,null,null,null,25.97,201110_Std_4uMStdsMix2InH2O_20neg1,73.02826:939292 74.03161:127962 75.03497:0,55.24191:3637 56.27467:3216 58.57282:2967 65.42448:3300 72.9919:41327,396,414,380,414,438,420,397,413
