"feature","mzmed","rtmed","adduct_type"
"FT0678",167.125960969588,197.010704040528,"C13"
"FT0680",168.048981715197,523.085784912109,"S34"
"FT0685",168.123130986548,137.690475463867,"NH4"
"FT0686",169.03249308146,666.638946533203,"C13"
"FT0705",172.087387430638,192.608154296875,"C13"
"FT0717",174.09553690926,412.740875244141,"C13"
"FT0721",175.035767057559,401.932495117188,"N15"
"FT0723",175.042130408931,401.078766660156,"C13"
"FT0726",175.107861503363,392.730651855469,"NH4"
"FT0739",176.111189240857,395.847320556641,"C13"
"FT0740",176.122326472204,1002.52536010742,"C13"
"FT0749",177.058738183049,663.327819824219,"C13"
"FT0750",177.095067586796,574.257446289062,"C13"
"FT0752",177.131515181694,538.820190429688,"C13"
"FT0759",179.048543727602,694.267211914062,"N15"
"FT0767",180.076974275147,565.906311035156,"C13"
"FT0768",180.076998391713,495.293496,"C13"
"FT0776",181.030918764978,466.864425659179,"mH2OpH"
"FT0781",181.069427023992,566.801513671875,"S34"
"FT0782",181.069456961626,494.829638155274,"S34"
"FT0784",181.105143662848,413.215148925781,"C13"
"FT0785",181.127404571821,211.338928222656,"NH4"
"FT0787",182.01478091804,331.398864746094,"C13"
"FT0796",183.015678638946,332.16748046875,"O18"
"FT0800",183.120844581935,144.217681884766,"C13"
"FT0802",184.030278946203,576.10671,"N15"
"FT0807",184.9560165148,449.608276367188,"mH2OpH"
"FT0811",186.027660005071,575.231384277344,"N15"
"FT0844",190.126652267138,471.545501708984,"C13"
"FT0852",191.074367860365,633.884155273438,"C13"
"FT0870",194.05638111949,580.1435546875,"C13"
"FT0873",194.092825834631,495.388961791993,"C13"
"FT0879",195.048906177438,579.879455566406,"S34"
"FT0886",196.006834295027,548.986114501953,"N15"
"FT0887",196.00683150723,569.353057861328,"N15"
"FT0892",196.126172630097,124.6650390625,"C13"
"FT0898",197.173051394921,108.106155395508,"C13"
"FT0910",199.188680183491,110.244483947754,"C13"
"FT0932",204.994631795834,792.13818359375,"N15"
"FT0938",205.126403808594,344.702880859375,"C13"
"FT0939",206.073891978177,567.522644042969,"C13"
"FT0948",207.105642325873,161.205978393555,"C13"
"FT0949",207.14195896158,153.24430847168,"C13"
"FT0957",210.051386224767,589.393035888672,"C13"
"FT0960",211.043753313701,590.178680419922,"S34"
"FT0982",219.142030138858,265.3154296875,"C13"
"FT0996",222.022299531326,693.799011230469,"Na"
"FT0999",223.00513401545,789.58764,"N15"
"FT1006",223.101022332597,567.505279541016,"NH4"
"FT1009",224.09713444671,331.512878417969,"C13"
"FT1019",226.180226792035,114.483039855957,"mH2OpH"
"FT1023",227.183546148071,113.399719238281,"C13"
"FT1024",227.98042153398,449.931274414062,"N15"
"FT1035",229.978154146664,450.551330566406,"N15"
"FT1044",231.099220937933,567.398559570312,"C13"
"FT1047",232.091586288233,567.398559570312,"S34"
"FT1050",232.990997293697,787.659240722656,"S34"
"FT1054",233.121372336651,502.929565429688,"C13"
"FT1063",234.911867266237,186.80241394043,"N15"
"FT1074",237.152865429987,407.842803955078,"C13"
"FT1075",237.153182310152,516.441070556641,"C13"
"FT1087",239.110648793899,153.81819152832,"C13"
"FT1090",240.15240580765,119.980903625489,"C13"
"FT1095",242.132792774281,565.450775146484,"C13"
"FT1109",245.096166586915,389.901184082031,"C13"
"FT1113",245.194198608398,112.642028808594,"C13"
"FT1115",246.020997246823,788.311401367188,"N15"
"FT1120",246.116624590118,567.0302734375,"C13"
"FT1122",247.100614659255,512.467224121094,"C13"
"FT1127",249.020236941304,787.80654,"S33"
"FT1129",250.017570779638,787.659240722656,"S34"
"FT1130",250.025833250931,787.399047851562,"O18"
"FT1142",252.122062488259,263.464294433594,"N15"
"FT1143",252.128517138107,263.605590820313,"C13"
"FT1152",253.147816778065,552.772338867188,"C13"
"FT1153",254.148618925973,554.005310058594,"O18"
"FT1162",256.175494302274,120.362632751465,"NH4"
"FT1169",259.113196659836,576.260833740234,"C13"
"FT1182",261.167872014106,120.88879776001,"C13"
"FT1185",263.131821570634,521.164947509766,"C13"
"FT1196",267.127118740661,403.117126464844,"C13"
"FT1205",269.101043701172,223.450790405273,"N15"
"FT1207",269.107588470407,215.244842529296,"C13"
"FT1209",270.091467143122,362.129257202148,"C13"
"FT1221",274.092430687274,216.659118652344,"C13"
"FT1228",276.121376877348,127.43342590332,"C13"
"FT1232",277.111239337152,393.918869018554,"C13"
"FT1234",277.965270296625,788.436645507812,"S33"
"FT1237",278.96137534408,788.892211914062,"S34"
"FT1248",284.178268636889,115.363311767578,"C13"
"FT1250",285.046953331175,553.137390136719,"S34"
"FT1262",287.043995303945,552.625671386719,"S34"
"FT1270",289.92943813307,557.67236328125,"S34"
"FT1274",290.136970605129,117.87865447998,"C13"
"FT1283",291.92628396642,572.575012207031,"S34"
"FT1285",292.116263917876,129.47269821167,"C13"
"FT1295",294.981403127327,760.185180664062,"S34"
"FT1297",295.121846108472,393.500717163086,"C13"
"FT1300",296.132289901622,470.666610717773,"C13"
"FT1301",296.971830124524,787.80654,"S34"
