mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,Fate1MT0,Fate1MT12,Fate1MT36,Fate1MT4,Fate1MT50,Fate1MT8,Fate1MTlong,Fate2MT0,Fate2MT12,Fate2MT24,Fate2MT48,Fate2MT5,Fate2MTlong,Poo,peakidx,ms_level
90.52634537640998,90.52630242090713,90.5263741682113,190.50737762451172,188.05416870117187,192.3393096923828,12,0,0,2,2,1,0,3,1,0,1,0,0,0,2,"c(21507, 27970, 76759, 91201, 105099, 117358, 125066, 133566, 141359, 187703, 212025, 264791, 319040, 322209, 329826, 334643, 337333, 342813, 349961, 354190, 370538, 372557, 378231, 381745, 391569, 395831, 398228, 404855, 410184, 415228, 424321, 426722, 429435)",1
90.52634419773436,90.52629887255002,90.5263704963689,811.470947265625,809.9521484375,814.2225341796875,12,0,1,0,2,0,0,1,3,1,0,0,1,2,1,"c(21478, 33795, 58988, 125080, 176678, 205901, 211974, 218111, 237043, 253705, 303143, 314844, 316346, 319041, 322210, 327514, 332400, 334644, 337334, 342814, 345148, 347785, 349962, 352016, 354191, 356650, 358929, 361142, 365649, 367739, 370539, 372558, 374715, 381746, 384301, 387080, 389751, 398229, 400421, 404856, 410185, 412883, 415229, 417651, 419900, 422109, 424322, 429436)",1
90.52634429736979,90.5262967806299,90.52638351619525,126.19273376464844,124.47200775146484,129.238525390625,13,0,1,2,2,0,0,3,2,0,1,0,0,1,1,"c(21506, 27951, 64506, 76725, 91197, 117289, 125088, 133593, 187728, 211993, 218095, 264804, 314809, 316347, 319042, 322211, 329827, 334645, 337335, 349963, 354192, 356651, 367740, 370540, 372559, 374716, 378232, 381747, 387081, 391570, 398230, 402542, 404857, 410186, 415230, 417652, 424323, 426723, 429437)",1
90.52635295612824,90.52627907510089,90.52641019287526,574.48614501953125,570.34649658203125,577.47174072265625,33,1,3,2,3,2,2,3,2,1,0,2,2,2,6,"c(5492, 21449, 27967, 33861, 40603, 53691, 58901, 64496, 71143, 76732, 76769, 91221, 105054, 105124, 110711, 117333, 125026, 133562, 141301, 148239, 162868, 176738, 187720, 194141, 205887, 218068, 231280, 237051, 253721, 289827, 295567, 303066, 314792, 319043, 322212, 334646, 349964, 354193, 372560, 393888, 398231, 404858, 410187, 412884, 415231, 417653, 419901, 429438)",1
90.52635576966298,90.52626683620261,90.52640679541248,359.12060546875,355.13055419921875,363.5993347167969,39,1,3,2,3,2,2,3,2,2,1,3,2,2,6,"c(5439, 21496, 27993, 33832, 33853, 40599, 53688, 58926, 64504, 71090, 76763, 76785, 91217, 105088, 110722, 117293, 125023, 133536, 141298, 148188, 162864, 176671, 187670, 194137, 212027, 218088, 218121, 231245, 237074, 245495, 253700, 264782, 284693, 289862, 289892, 295614, 303064, 314814, 314838, 319044, 322213, 334647, 349965, 354194, 372561, 381748, 391571, 398232, 410188, 415232, 417654, 429439)",1
90.52637468349053,90.52631655323262,90.52641600957458,312.6858215332031,310.4666748046875,314.624267578125,22,1,3,0,1,2,1,2,1,1,1,1,2,1,5,"c(5476, 33792, 53687, 58966, 64530, 71151, 105050, 110770, 125073, 133567, 141297, 148203, 162932, 176717, 194206, 211967, 231289, 237073, 253749, 264792, 284763, 303131, 319045, 322214, 349966, 352017, 361143, 372562, 384302, 391572, 395832, 404859, 415233, 417655, 429440, 431907)",1
90.52633062680813,90.52627007318712,90.52639591373847,892.18133544921875,888.4970703125,894.013671875,27,1,2,1,3,2,1,3,3,1,0,3,2,2,3,"c(5484, 21454, 27963, 33784, 53697, 58918, 64511, 76726, 105077, 110726, 117298, 125041, 133545, 148198, 176680, 187678, 205881, 212022, 218141, 231253, 237044, 253711, 284700, 289833, 295559, 303072, 314797, 319046, 322215, 332401, 334648, 345149, 349967, 352018, 354195, 367741, 372563, 374717, 381749, 387082, 389752, 398233, 404860, 410189, 412885, 415234, 417656, 429441)",1
90.52635261555572,90.52630028026805,90.52641564797254,458.45042419433594,454.31878662109375,461.7200012207031,30,1,3,1,2,0,2,3,2,1,1,3,2,2,6,"c(5440, 27994, 33834, 40677, 53759, 58911, 64550, 71105, 76719, 117309, 117345, 125034, 133577, 141338, 148233, 162896, 176681, 187740, 194211, 212013, 218127, 231278, 237083, 253701, 264794, 284732, 289855, 295553, 303097, 314800, 319047, 322216, 324851, 334649, 349968, 352019, 354196, 356652, 372564, 381750, 391573, 398234, 404861, 410190, 415235, 417657, 429442)",1
90.52637705331418,90.52631837416841,90.52641862262792,168.02642822265625,165.01715087890625,170.4739227294922,27,1,2,2,2,2,2,2,2,1,1,3,0,2,5,"c(5473, 21464, 28001, 40608, 53720, 58907, 71101, 76779, 91192, 105112, 110729, 125090, 133548, 141349, 162909, 176683, 187682, 194202, 212008, 218074, 253727, 264790, 284705, 289858, 295565, 303076, 314821, 319048, 322217, 329828, 349969, 361144, 372565, 389753, 391574, 398235, 400422, 402543, 404862, 410191, 415236, 417658, 429443)",1
90.52633188747399,90.52627905740826,90.5264242165717,655.8162841796875,651.6761474609375,659.3558349609375,32,1,2,1,3,2,2,3,3,1,1,1,2,1,6,"c(5493, 21461, 27960, 33824, 40604, 53741, 64508, 71123, 76721, 76792, 105056, 110713, 117326, 125028, 133569, 141302, 148194, 162874, 176676, 187686, 194188, 205879, 211984, 212034, 218071, 231323, 237054, 253757, 264784, 264828, 284709, 303119, 319049, 322218, 334650, 340126, 349970, 352020, 354197, 372566, 376845, 381751, 398236, 404863, 410192, 415237, 417659, 422110, 424324, 429444, 431908)",1
