"feature","mzmed","rtmed","avgarea","C13","X2C13","S34","S33","N15","O18","Na","NH4","H2O_H","K","X2H"
"FT0286",124.006445027645,698.181610107422,808096.324445893,0,0,0,0,0,0,0,0,0,0,0
"FT0287",124.039478334259,197.119064331055,115819484.179709,7351855,0,0,0,0,0,0,0,0,0,0
"FT0291",124.041340434534,137.515518188477,23054062.8398278,0,0,0,0,26423854,0,0,0,0,0,0
"FT0292",124.041304671748,1227.38616748047,50678144.5973717,0,0,0,0,0,0,0,0,0,0,0
"FT0293",124.058804474824,159.638656616211,3130425.44266452,0,0,0,0,0,0,0,0,0,0,0
"FT0294",124.087099524053,133.535026550293,10812632.0222291,0,0,0,0,0,0,0,0,0,0,0
"FT0297",124.897530341353,447.162826538086,7603268.01540822,0,0,0,0,0,0,0,0,0,0,0
"FT0301",125.071136068508,250.974105834961,12267203.1760749,0,0,0,0,0,0,0,0,0,0,0
"FT0302",125.07919862999,193.145294189453,1183225.03196997,0,0,0,0,0,0,0,0,0,0,0
"FT0303",125.130388916178,425.106491088867,889653.469698523,0,0,0,0,0,0,0,0,0,0,0
"FT0304",126.022138637588,582.978302001953,10644831.0635726,0,0,0,0,0,0,0,0,0,0,0
"FT0305",126.043677048878,210.397766113281,1601538.02181727,0,0,0,0,0,0,0,0,0,0,0
"FT0306",126.066310385199,263.693023681641,155627528.03394,0,0,0,0,0,0,0,0,0,0,0
"FT0307",126.091420080861,470.620162963867,2463240.00321156,0,0,0,0,0,0,0,0,0,0,0
"FT0308",126.136669842807,425.021728515625,13129607.9319182,736629,0,0,0,0,0,0,0,0,0,0
"FT0309",127.032632758903,201.79768371582,624949.286188685,0,0,0,0,0,0,0,0,0,0,0
"FT0310",127.03920218009,603.4404296875,1007213.52418407,0,0,0,0,0,0,0,0,0,0,0
"FT0311",127.050342340222,172.892730712891,3702439.31046099,0,0,0,0,0,0,0,0,0,0,0
"FT0313",127.069659549265,263.693023681641,11624404.775653,0,0,0,0,0,0,0,0,0,0,0
"FT0314",127.072864300914,322.365447998047,209920571.835934,0,0,0,0,0,0,0,0,0,0,0
"FT0315",127.086787200625,557.577819824219,1845107.69814569,0,0,0,0,0,0,0,0,0,0,0
"FT0316",128.017897316836,582.670959472656,386517.034004668,0,0,0,0,0,0,0,0,0,0,0
"FT0318",128.070751797792,163.6611328125,1805372.27160335,0,0,0,0,0,0,0,0,0,0,0
"FT0320",128.076152230066,321.680114746094,9564032.5523533,0,0,0,0,0,0,0,0,0,0,0
"FT0321",128.118376340192,559.419799804688,1077436.52170968,0,0,0,0,0,0,0,0,0,0,0
"FT0322",128.131141840137,264.791107177734,1328219.77152491,0,0,0,0,0,0,0,0,0,0,0
