PeakID,Title,Scans,RT left(min),RT (min),RT right (min),Precursor m/z,Height,Area,Model masses,Adduct,Isotope,Comment,Reference RT,Reference m/z,Formula,Ontology,InChIKey,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,RT similarity,Dot product,Reverse dot product,Fragment presence %,Total score,S/N,MS1 isotopes,MSMS spectrum
0,Unknown,908,1.943969,2.049987,2.200655,168.0656,116643.9688,661297.9375,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,23.54822,168.06561:131621 168.11342:10231 168.12308:12741 168.15761:74670 169.06892:11605 169.13361:14873 169.17009:21552 170.11731:11514 170.1545:8921 170.99815:9299 171.11281:198481 171.1492:259872 171.18584:25071 172.11638:21721 172.15259:40093 172.16972:13145,
1,Unknown,912,1.957232,2.05897,2.270969,316.212,158524.5625,1206806.625,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,80.02252,316.21191:154037 316.32074:8861 317.21536:32205 318.02765:18261,
2,Unknown,925,1.950977,2.091276,2.101043,397.119,33183.29297,62978.21094,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,25.65288,397.11905:47788 397.39893:17551 397.97366:36970 398.99377:31293 399.97101:13265 402.0047:55661,
3,Unknown,935,1.928213,2.111647,2.266479,220.1002,68325.875,427000.125,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,52.93974,220.10014:76499 220.1465:15361 220.16953:41020 223.09636:43359 223.97652:42761,
4,PQS,975,2.054479,2.204153,2.638427,260.1645,3970630,42764980,null,[M+2Na-H]+,M + 0,adduct linked to 6_[M+H]+,2.16,260.16504,null,null,null,null,annotated by user-defined text library,TRUE,TRUE,FALSE,100,null,null,null,99.7,2506.159,260.16452:3952742 261.12109:15167 261.16788:624279 262.17133:54933 262.23746:11099 265.00351:408459,52.51192:3565 63.35601:3922 69.13397:3186 85.82536:3466 95.31694:3220 164.08279:3406 198.66798:3855 204.1479:4249 217.39673:3594 217.49306:5323 218.56866:3760 227.53409:3863 227.54948:7314 260.1644:888306
5,Unknown,978,1.875632,2.21038,2.50724,261.1678,658691.8125,7022568.5,null,[M+2Na-H]+,M + 1,isotope of 4,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,192.5517,261.12088:11549 261.16785:731425 262.17145:49444 265.00339:399553 266.00693:14902,
6,Unknown,980,2.14278,2.214073,2.238013,216.1972,39108.26953,67106.42188,null,[M+H]+,M + 0,adduct linked to 4_[M+2Na-H]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,11.15479,216.08554:33569 216.15968:12878 216.19083:26073 216.19717:273758 218.21124:12085 220.10028:28009 220.16985:29655,
7,Unknown,983,2.091276,2.219626,2.372454,318.2177,93501.6875,841576.6875,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,51.83134,318.02707:16454 318.21774:108236 319.22067:18299 323.05609:88382,
8,Unknown,994,2.136922,2.246994,2.308962,146.1176,70353.88281,439779.2188,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,11.82662,145.98555:34289 146.11761:74989 146.98035:289261 147.08063:11091 147.98396:12536 148.08694:19433 148.09677:19782 148.99332:19368 149.02341:108787 149.11732:17242 150.0265:10839 150.09134:18487 150.10258:13342 150.11281:17040 150.12785:23087 151.08653:11422 151.09676:17259,
9,Unknown,1004,2.085606,2.270969,2.420549,383.1029,68627.50781,379627.8438,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,18.06214,383.10294:77270 383.13339:29995 383.15018:12325 384.10666:12325 384.97845:41251 385.12994:9059 386.97592:28410,
10,Unknown,1019,2.069704,2.306717,2.561025,206.0429,75485.65625,538419.8125,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,64.19355,206.04292:80501 207.01759:59567 207.04659:13189 207.12401:54820 208.13316:10614 208.16963:14860 208.18063:11615 209.01328:19999 209.05237:14416 209.13858:9912 209.15358:31068 209.20052:8587 210.16003:13277 210.19664:20531 211.01039:9218,
11,Unknown,1034,2.101043,2.341341,2.620846,263.0518,222153.5313,1251066.125,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,154.9789,263.05185:242379 264.05548:12750 265.00345:401462 265.04745:20434 266.00684:14327 266.22232:20297 267.07321:40597 268.01431:354092,
12,Unknown,1044,2.19313,2.362591,2.494692,302.1963,127226.9531,919272.5,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,35.41716,302.19611:125858 302.24365:13700 302.25339:10195 302.30557:17736 303.19925:18397 304.17545:13992 306.02985:12183,
13,Unknown,1060,2.164026,2.399193,2.409945,265.0675,44840.6875,106810.5078,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,30.30745,265.00339:388554 265.06754:63725 266.00677:18624 266.2226:23897 267.07336:41331 268.01425:360706 268.10397:14178 269.03448:25200,
14,Unknown,1066,2.306717,2.413558,2.742545,172.1332,618196.0625,5786758,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,113.3372,172.1161:21292 172.13319:640926 172.15257:14050 173.07823:12252 173.13272:12028 173.13667:59913 176.13936:69160 177.05461:28843,60.29279:3537 62.46784:3651 73.18089:3328 73.59048:3247 74.04132:3319 80.30433:3341 98.09689:208170 109.27337:3695 126.11106:6568 129.82997:3311 172.07887:11895 172.08673:3575 172.1171:20615 172.13319:521717 172.16936:8998 172.20541:3994
15,Unknown,1066,2.322435,2.413558,2.525611,173.1367,65428.71875,478918.8125,null,[M+H]+,M + 1,isotope of 14,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,23.81777,173.07823:12252 173.13272:12028 173.13667:59913 176.13936:69160 177.05461:28843 178.12274:32457,
16,Unknown,1098,2.29549,2.487805,2.631527,173.0244,88571.77344,584229.1875,null,[M+Na]+,M + 0,adduct linked to 18_[M+H]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,82.14192,173.0244:102163 173.13255:12245 173.13655:21881 174.18561:9683 176.13951:91241 177.05452:25714,
17,Unknown,1098,2.288754,2.487805,2.521119,196.1013,70144.88281,303742.1563,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,46.78449,195.9025:11665 196.09674:34986 196.10126:49048 198.0173:12722 198.14894:19503 199.18057:50749,
18,Unknown,1099,2.258646,2.491542,2.762628,151.0423,729402.9375,5972152,null,[M+H]+,M + 0,adduct linked to 16_[M+Na]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,101.4461,151.01169:13159 151.04234:793479 151.08659:18208 151.09703:11680 152.04582:39222 152.08197:11262 152.10699:14120 152.11819:13462 152.52138:10817 152.9485:19142 153.03816:36082 153.09052:11607 153.10201:10544 153.13852:17996 154.13393:66871 155.11803:9668 155.12904:20694 155.1543:21844,52.41225:2998 54.50699:3203 55.01865:47253 57.99918:3678 64.41535:4365 72.27286:3955 77.01179:3333 82.91547:3194 87.04465:501958 89.06026:7740 96.16874:3843 99.67021:4086 111.89864:3894 119.01649:43557 127.99574:11239 133.77106:3709 151.03252:5127 151.04259:6455 151.08701:18487 151.09785:11094 151.12303:16385 151.12973:3650
19,Unknown,1100,2.392185,2.494692,2.773093,87.04462,238426.3281,1949242,null,[M+H-H2O]+,M + 0,adduct linked to 20_[2M+H]+; found in higher mz's MsMs_18,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,154.9377,87.04462:243018 87.05586:74556 87.09222:315388 88.02198:10614 88.05115:18136 88.07623:301147 88.0955:10742 88.11263:942174 88.21266:9243 88.77956:10016 89.07152:20232 89.07955:21668 89.10783:25395 89.10952:9644 89.116:49911 90.05544:10084 90.09184:73100 91.02961:114987 91.04223:10030 91.05081:10389 91.0547:12808 91.09528:9990 92.03741:514197,
20,Unknown,1100,2.313454,2.494692,2.623091,209.0955,88683.50781,621955,null,[2M+H]+,M + 0,adduct linked to 19_[M+H-H2O]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,17.05665,209.01295:14359 209.052:17538 209.09558:96135 209.13835:9518 209.15361:19069 210.10004:13673 210.18512:9264 210.19667:15261 211.14418:10509 211.16917:9695 212.09511:835251 212.14908:14861 212.21173:10182 213.09828:71068 213.1134:26090 213.15996:17118 214.08965:620703,
21,Unknown,1101,2.380702,2.496936,2.74938,144.102,190298.6719,1531598,null,[M+ACN+Na]+,M + 0,adduct linked to 22_[M+Li]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,18.20871,144.04773:17692 144.07672:20992 144.08067:14081 144.10196:169587 144.13847:11373 144.92757:16503 144.98219:1859815 145.07594:14977 145.0972:31874 145.10481:11495 145.13368:10369 145.98552:74987 146.98038:813533 147.08025:12375 147.11278:10703 147.98373:34313 148.08691:12114 148.0968:17689 148.99333:23716 149.01361:30177 149.02342:61220 149.08223:9339,
22,Unknown,1106,2.487805,2.50724,2.543575,87.09223,607190.625,1335379.875,null,[M+Li]+,M + 0,adduct linked to 21_[M+ACN+Na]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,24.49962,87.04462:213700 87.05588:195310 87.09223:2378953 88.02203:15383 88.05106:16421 88.07623:299728 88.08749:15939 88.0956:93048 88.11263:945639 89.03503:14533 89.0715:66091 89.07963:14800 89.10785:19509 89.11597:51216 90.0919:44350 91.02962:102197 91.04215:23338 91.05073:17559 91.05477:26006 92.03743:447755,
23,Unknown,1114,2.333662,2.527857,2.723618,192.1595,86313.86719,685305.125,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,24.36623,192.13828:14293 192.15948:86630 192.17522:12651 193.00179:31080 193.15866:17254 194.0847:53887 194.1176:97911 194.99738:12961 195.12294:47669 195.18547:11427 196.09599:15508 196.10088:54639,
24,Unknown,1129,2.543575,2.561025,2.583908,144.9822,2125127.25,5093924,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,3.172937,144.98219:2222855 145.07619:10925 145.09709:28042 145.97928:17010 145.98557:80546 146.11754:11320 146.98036:1029399 147.98373:48706 148.09682:18613 148.11188:14912 149.01353:28252 149.02335:92101,
25,Unknown,1130,2.510628,2.564592,2.609175,216.0195,33832.26172,43025.28516,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,7.647124,216.01297:56195 216.0195:236826 216.08554:25615 216.41489:9630 217.10703:10769 217.15468:18930 218.21176:9887 220.0141:9705 220.16978:24607,
26,Unknown,1140,2.479472,2.5884,2.762628,256.1753,70895.57031,546390.8125,null,[M+2ACN+H]+,M + 0,adduct linked to 27_[M+H]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,19.71082,256.16812:14378 256.17526:83536 256.26358:11619 257.1861:9801 257.2327:8889 260.16461:134405 261.16797:24703,
27,Unknown,1147,2.496936,2.6055,2.757718,174.149,35741.39844,256240.6875,null,[M+H]+,M + 0,adduct linked to 26_[M+2ACN+H]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,14.14885,174.1123:9858 174.149:42504 176.1394:79658 177.05466:36097 177.43054:12411 178.12262:36914 178.98647:17436 179.03529:69513 179.0639:33160,
28,Unknown,1155,2.453635,2.623091,2.815757,266.1385,51104.67578,263224.6563,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,37.58094,266.13846:66736 267.07358:25236 268.01437:347451 269.03461:19134,
29,Unknown,1159,2.548065,2.631527,2.742545,102.0918,332694.8125,2311507.75,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,24.4235,102.03419:23959 102.06662:27410 102.09176:337647 102.12816:846274 103.08709:77141 103.09513:12537 103.13151:74129 103.95615:38139 104.0373:28870 104.07102:639202 104.10741:66417 104.86716:9980 105.04061:13826 105.04272:236967 105.04507:67525 105.04844:27947 105.07441:21013 105.95433:11711 106.04603:8479 106.05291:70627 106.08663:107874 107.06074:25747,
30,Unknown,1167,2.491542,2.651781,2.782073,438.1201,67792.15625,273908.6563,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,54.90554,438.12009:84305 438.37909:29551 442.86884:37667 443.03082:18814,
