PeakID,Title,Scans,RT left(min),RT (min),RT right (min),Precursor m/z,Height,Area,Model masses,Adduct,Isotope,Comment,Reference RT,Reference m/z,Formula,Ontology,InChIKey,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,RT similarity,Dot product,Reverse dot product,Fragment presence %,Total score,S/N,MS1 isotopes,MSMS spectrum
0,Unknown,886,1.928635,2.055201,2.077655,388.1834,59045.26563,192037.25,null,[M+H]+,M + 1,isotope of 6,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,72.4716,388.18344:64523 388.25455:8332 389.18616:14507 391.28415:86832 392.28796:14144,
1,Unknown,886,1.902879,2.055201,2.221679,404.2066,377578.25,2441015.5,null,[M+NH4]+,M + 0,adduct linked to 6_[M+H]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,493.0269,404.20657:400455 405.08499:14320 405.21008:87307 405.2597:9404 406.21371:14287 407.0509:9066 408.14508:10431 408.36795:12983 409.10342:8427,52.18792:3201 63.19997:2973 63.42387:3184 65.13519:3789 66.29848:3428 70.09171:3591 76.62189:3411 78.66917:3346 91.05489:7847 93.07033:4736 95.04958:4206 95.56731:3252 102.15563:4072 105.07027:4031 111.02595:3375 114.0388:3452 117.29063:4092 119.68717:3343 121.30092:3202 123.81202:3764 141.66907:3966 177.21561:3560 191.91225:3561 227.49704:6196 230.51105:3641 240.79851:3944
2,Unknown,886,1.932552,2.055201,2.235152,432.2378,140511.5469,1023478.938,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,99.13273,432.11725:7771 432.23782:138452 432.28064:8383 433.24127:36649 434.18082:11034 434.24341:7670 434.31299:23532 435.31583:12313 436.34201:10347,
3,Unknown,887,1.893465,2.057445,2.296933,405.2102,86873.78906,567601.625,null,[M+NH4]+,M + 1,isotope of 1,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,123.5247,405.05273:11566 405.08426:10717 405.21024:100789 406.21225:8784 408.36844:10329,
4,Unknown,887,1.848363,2.057445,2.344089,445.2333,1217693.375,8281136,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,1366.679,445.23331:1264502 445.38324:78495 446.23679:312398 446.38687:15422 447.23889:43583 447.34668:14133 448.23193:11049 449.33762:44644,50.49683:3060 59.06113:79445 92.39482:3310 104.58081:3232 143.85854:3494 215.10558:3927 227.49744:7832 271.24133:3528 288.31882:3963 352.93893:4043 413.13007:3552
5,Unknown,887,1.867851,2.057445,2.30367,446.2368,318656.3438,2132340.25,null,[M+H]+,M + 1,isotope of 4,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,291.9727,446.23679:312398 446.38687:15422 447.23889:43583 447.34668:14133 448.23193:11049 449.33762:44644 450.34155:8410,
6,Unknown,888,1.906588,2.059691,2.223925,387.1802,241705.6094,1568356.125,null,[M+H]+,M + 0,adduct linked to 1_[M+NH4]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,330.154,387.18018:264112 388.18381:72794 388.25418:9633 390.23752:7315 391.28397:73348,
7,Unknown,893,1.928635,2.070918,2.180127,383.1033,98986.82031,533522.875,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,44.34423,383.10339:101466 383.133:17186 384.10721:14165 385.09863:11421 387.17996:232748 387.19205:10084,
8,Unknown,896,2.011235,2.077655,2.211623,281.0988,74210.72656,443857.2813,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,45.43213,281.09879:76215 282.02975:30533 283.09479:7471 283.11743:27125 284.19669:9590,
9,Unknown,897,1.989673,2.079901,2.258921,316.212,138745.6563,894838,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,62.39166,316.21185:149168 316.32129:14739 316.71567:6421 317.21539:21872 317.76489:7065 318.19116:7882,
