PeakID,Title,Scans,RT left(min),RT (min),RT right (min),Precursor m/z,Height,Area,Model masses,Adduct,Isotope,Comment,Reference RT,Reference m/z,Formula,Ontology,InChIKey,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,RT similarity,Dot product,Reverse dot product,Fragment presence %,Total score,S/N,MS1 isotopes,MSMS spectrum
0,Unknown,890,2.021294,2.052062,2.090885,248.1129,343464.4063,1266898.875,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,128.4992,248.09509:41329 248.11292:396047 248.14931:103659 249.11632:39604 249.18492:12886 250.05081:14217 250.12857:119907 250.20122:11757 250.94177:11477 250.98784:1561162 251.18533:10703 251.98453:12023 251.99127:35420 252.12366:9547 252.14409:18560,55.01865:8506 56.05031:4718 56.72594:3374 62.56781:3477 62.75437:2966 63.76561:3457 65.99392:3745 71.42544:4037 73.02918:12895 84.9489:3960 85.23197:3030 91.49287:3169 101.0238:4320 107.47272:3588 110.06039:4188 113.7751:3651 127.20263:3210 131.06856:5674 150.1624:3275 166.93697:3412 175.29521:3829
1,Unknown,891,1.912344,2.055821,2.279925,276.1633,79529.39844,537263.75,null,[M+H]+,M + 1,isotope of 6,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,24.8649,276.14426:99232 276.16364:97827 276.18045:16969 276.19547:46301 277.12787:82095 277.13989:9261 277.14728:14633 277.16608:11019 278.15982:643438 278.21164:10404 278.23444:14432 279.16339:72581 280.17566:58418,51.54812:3022 52.749:3101 52.9309:3328 53.89433:3156 54.60311:2771 56.98787:3429 62.37215:2986 80.18137:3461 87.3312:3245 103.22049:3160 112.9096:3952 149.05724:3903 151.30681:3343 155.04944:3169 223.38098:3452 227.4814:7596
2,Unknown,895,1.975556,2.063637,2.221948,217.1072,390894.8125,2994762.75,null,[M+H]+,M + 0,adduct linked to 25_[M+K]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,106.5809,216.97972:10446 217.10716:426902 218.11035:45167 218.13882:12767 219.04768:12877 219.08633:45652 220.11801:703817 220.16962:20127 220.18144:14620 221.12129:66709 221.18466:47776,50.56258:3377 55.8804:3204 57.02075:3281 59.65271:3135 69.47312:3583 83.56799:3181 86.21562:3349 87.04473:10516 89.12377:3107 102.62283:3628 106.40198:3864 123.46641:3438 142.40674:3896 152.18597:3650 161.77608:3584 164.03468:3736 189.07039:3351 212.61891:3606
3,Unknown,895,1.983344,2.063637,2.118853,223.2003,284424.6563,1487653.875,null,[M+2ACN+H]+,M + 0,adduct linked to 16_[2M+H]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,201.9022,222.95055:9860 223.09654:63798 223.14391:11472 223.20027:323822 223.9772:33123 224.09984:12796 224.2037:34276 225.07317:38908 225.2074:87691 226.077:10556 226.18018:107288 227.08923:14613 227.2012:12262 227.21182:14749 228.06892:21728 228.12358:16357 228.19586:165291,
4,Unknown,895,1.966242,2.063637,2.329606,234.1336,1621017.25,12104380,null,[M+CH3OH+H]+,M + 0,adduct linked to 11_[M+H]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,433.8452,234.07689:102139 234.09734:196312 234.13364:1769974 235.10065:23731 235.13068:10116 235.13689:163787 236.11279:61593 236.13857:15384 237.11624:15683 239.08882:72738,50.15875:3331 55.32685:3775 63.87609:3386 72.09304:3914 77.14855:3625 87.04477:5927 107.15705:3222 120.04105:4226 129.28757:3929 129.92641:3252 132.35521:3325 138.06995:3446 150.25616:3926 173.97673:4271 198.81258:3526 205.29097:3872 216.17398:3310 216.8716:7573 216.88017:5171 216.88866:8720 216.89757:5773 218.04657:4436 218.05644:44721
5,Unknown,895,1.956196,2.063637,2.346212,262.165,420413.0938,3138662.5,null,[M+Na]+,M + 0,adduct linked to 14_[M+K]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,388.9559,262.12881:54104 262.16492:475486 263.16846:54620 264.1445:70522 264.18051:15783 265.00351:129511 266.00674:11323 266.16031:14122 266.19623:12779 267.07349:12135 267.12265:24945,51.11057:4232 61.28778:4087 70.15623:3291 75.05511:3313 78.92146:3391 83.33028:3526 85.76438:3997 101.94393:3579 107.37324:3663 114.91389:3443 139.26289:3164 143.41168:3680 171.89128:3696 185.59558:3446 227.48305:8114
6,Unknown,895,1.962423,2.063637,2.18598,275.1601,680412.5,4165129,null,[M+H]+,M + 0,adduct linked to 36_[M+2Na-H]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,293.6563,275.12433:16711 275.1601:724468 275.2135:11221 275.27737:17133 276.14432:80825 276.1636:77415 276.18085:18028 276.19586:41853 277.1282:76245 277.13837:11001 277.19958:11887 278.15985:601169 278.19589:27210 278.21152:10662 279.16376:79159 279.23859:15132 280.13965:11069,50.56183:3060 50.63935:3066 58.00049:3069 61.2543:2889 78.46514:3551 103.0547:5387 130.06541:9696 139.62595:3480 175.03032:3701 206.60634:4100 214.17767:3670 220.01012:3597 224.21796:3448 227.48395:5976 267.36542:3489 270.88431:3501
7,Unknown,895,1.930144,2.063637,2.221948,301.1335,113706.6484,874900.3125,null,[M+Li]+,M + 0,adduct linked to 37_[M+2ACN+H]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,144.726,301.13348:118006 302.13715:20349 302.19675:55248 302.24359:38914 303.11279:21704 303.15509:50976 304.13904:12353 304.1752:17848 305.17072:268271 306.11838:198468,
8,Unknown,895,1.859626,2.063637,2.349881,418.1913,600205.25,5112333,null,[M+H]+,M + 0,adduct linked to 31_[M+NH4]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,786.8385,418.19131:597161 419.12335:25642 419.19458:176731 420.19894:40643 421.18643:12951,53.03942:10729 58.82396:3619 58.93259:3281 64.58482:3980 72.41142:3294 77.03932:8929 79.37128:4123 80.10262:4004 80.52449:3333 81.2492:3631 94.78135:3312 95.04972:30182 102.04696:7822 103.05467:101944 105.0452:14283 115.05466:7353 125.1105:3878 128.04997:16990 129.04512:3917 130.06532:248481 136.21461:3448 143.07349:3890 144.08089:6716 146.06033:6514 163.76012:4020 177.63748:3710 184.47644:3520 187.28322:3785 187.76018:3644 197.1897:3275 203.35817:3293 227.49213:3748 227.50545:4950 275.58716:3882 309.65482:4033 313.62622:3590 399.71271:3890
9,Unknown,895,1.863595,2.063637,2.377216,463.2492,212970.3594,1726904,null,[M+NH4]+,M + 0,adduct linked to 20_[M+CH3OH+H]+; adduct linked to 21_[M+CH3OH+H]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,201.1864,463.23224:24007 463.24918:228490 464.25299:51053 466.22424:19577 467.15952:12312 467.20865:16451,
