PeakID,Title,Scans,RT left(min),RT (min),RT right (min),Precursor m/z,Height,Area,Model masses,Adduct,Isotope,Comment,Reference RT,Reference m/z,Formula,Ontology,InChIKey,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,RT similarity,Dot product,Reverse dot product,Fragment presence %,Total score,S/N,MS1 isotopes,MSMS spectrum
0,Unknown,898,2.026386,2.056792,2.226009,478.2514,53039.17969,339338.75,null,[M+ACN+Na]+,M + 0,adduct linked to 8_[M+NH4]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,1060.784,478.17621:22100 478.25043:64980 479.24487:27922,
1,Unknown,902,1.978888,2.066202,2.148458,85.029,595138.3125,3847787.25,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,184.2782,85.029:656548 85.06535:26643 85.07662:140625 86.03233:35336 86.0607:55529 86.09701:13178 87.04464:693558 87.05584:47985 87.09224:73179 88.04801:27495 88.05098:11742 88.07626:282391 88.11265:337423 89.03508:10889 89.07147:15459 89.0796:21045 89.1079:33734 89.11595:12950,50.94884:2885 51.58197:3014 53.0406:3013 57.03429:27726 57.40972:3897 58.0659:6748 61.42277:3136 61.52049:3569 63.48167:3581 70.2891:3534 85.02901:41152 85.07666:8635
2,Unknown,902,1.946884,2.066202,2.265663,131.0705,602649.0625,5172991,null,[M+H]+,M + 0,adduct linked to 3_[M+NH4]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,117.1127,131.04813:9618 131.07054:694266 131.1181:13287 132.05583:15763 132.07402:43802 132.10213:64473 133.04973:17999 133.06361:16283 133.08604:24753 133.101:9694 135.04427:20986 135.10168:19691 136.02156:37947 136.06186:91786,
3,Unknown,902,1.96878,2.066202,2.259555,148.0969,396919.9688,2646431.75,null,[M+NH4]+,M + 0,adduct linked to 2_[M+H]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,92.60855,147.98386:9962 148.08719:10146 148.09686:440518 149.01344:9290 149.02344:295581 149.10019:34046 149.1172:18763 150.02682:27912 150.09138:10504 151.03244:16254 151.09708:9559 152.04729:19108 152.07082:13544 152.08199:15493 152.10704:14201 152.39449:9596 153.05231:29300 153.09041:11749,57.97978:3640 78.32072:3280 91.53606:3144 100.07626:4398 120.08078:3797 137.08418:3389
4,Unknown,902,1.996596,2.066202,2.314909,255.0839,309333.625,2164725.25,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,327.1297,255.08389:347157 256.08679:40079 256.74814:10496 257.0997:27533 257.10718:10987 258.1134:17628 258.20676:10400 259.12332:222595,
5,Unknown,902,1.920265,2.066202,2.259555,376.1809,131034.7344,1165879.75,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,136.0065,376.18094:144390 377.14984:22460 377.18417:23529 377.19736:140224 378.20007:26199 380.2644:17897,
6,Unknown,902,1.832733,2.066202,2.454518,404.2068,462540.8125,3413333,null,[M+H]+,M + 0,adduct linked to 9_[M+ACN+H]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,416.9093,404.17618:117928 404.20676:526630 405.05212:10140 405.17825:28414 405.19217:46883 405.20984:109946 406.19202:29578 406.21173:16339 407.12354:36061 408.17081:14870 409.16193:11920,53.03941:4755 66.29212:4028 79.05494:3709 85.92974:3537 91.05482:7874 93.07021:5966 95.04972:15153 102.62919:3417 103.0547:18504 105.04534:4142 105.07022:4489 112.80634:3727 115.25703:3762 118.63907:3257 120.35322:3686 129.00575:3409 130.0654:18717 141.12138:4156 154.2942:4272 154.30196:3479 180.81857:3796 187.5462:3364 211.01968:4018 227.46259:5564 227.47643:5129
7,Unknown,902,1.924086,2.066202,2.215449,405.2098,108726.3672,732331.1875,null,[M+H]+,M + 1,isotope of 6,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,141.16,405.05212:10140 405.17825:28414 405.19217:46883 405.20984:109946 406.19202:29578 406.21173:16339 407.12354:36061 408.17081:14870 409.16193:11920,
8,Unknown,902,1.920265,2.066202,2.259555,432.2382,189120.6563,1464781.75,null,[M+NH4]+,M + 0,adduct linked to 0_[M+ACN+Na]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,185.9536,432.17007:31939 432.23816:225518 433.24164:70591 434.18552:38139 434.23291:71772 434.31259:24182 435.20157:13274 435.21814:212246 435.23596:12262 436.22183:59220 436.34259:12533 437.13419:10984,
9,Unknown,902,1.844487,2.066202,2.392283,445.2333,1351629,9953433,null,[M+ACN+H]+,M + 0,adduct linked to 6_[M+H]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,1661.205,445.17514:51447 445.23334:1573662 445.38361:65708 446.23676:394706 447.23984:70194 448.20135:11644 449.23953:43488 449.33719:43041 450.18121:18584 450.2287:29716,52.42001:3863 59.06115:80080 59.06268:6379 60.55722:3365 83.08932:3872 89.27885:3527 94.19401:4506 126.35634:3848 202.93661:3685 215.3183:5665 215.32889:94958 231.96797:3569 261.28693:3488 274.58539:3777 278.27377:3609 364.60272:3452 391.31668:3765 428.79794:3893
