PeakID,Title,Scans,RT left(min),RT (min),RT right (min),Precursor m/z,Height,Area,Model masses,Adduct,Isotope,Comment,Reference RT,Reference m/z,Formula,Ontology,InChIKey,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,RT similarity,Dot product,Reverse dot product,Fragment presence %,Total score,S/N,MS1 isotopes,MSMS spectrum
0,Unknown,926,2.026137,2.056529,2.215092,191.1178,78209.92969,498887.0938,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,37.55454,191.09155:17725 191.11783:92905 191.17928:12935 193.00189:61561 193.10831:14581 194.08502:51792 194.11758:79864 194.99731:12230 195.12286:60299 195.18546:19272,
1,Unknown,932,1.949763,2.07163,2.189213,183.0781,70378.27344,414990.8125,null,[M+2Na-H]+,M + 0,adduct linked to 28_[M+2ACN+H]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,10.0373,183.01012:12127 183.07811:79946 184.18092:19318 186.18555:13877 188.07063:34595,
2,Unknown,935,1.91754,2.077201,2.185528,479.2438,60070.88281,475159.9063,null,[M+Na]+,M + 0,adduct linked to 8_[M+CH3OH+H]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,32.97642,479.24377:72491 480.24774:20635 481.3114:18121 482.40549:26886,
3,Unknown,935,1.889753,2.077201,2.305885,490.2319,85825.8125,800228.5625,null,[M+CH3OH+H]+,M + 1,isotope of 8,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,56.59434,490.23193:108636 492.23917:57403 492.32385:37828 493.24179:16246 493.34906:30149 494.17111:33042 495.17535:22262,
4,Unknown,935,1.844447,2.077201,2.418095,502.2236,463746.5625,4888854.5,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,184.0631,502.2236:518504 503.22665:207359 504.23062:27425 505.23834:35575 506.24011:14947,59.06113:249804 63.9608:3802 66.25948:3530 75.65119:4169 80.11436:3076 107.30656:2927 124.02972:3550 124.22768:3429 150.79036:3777 166.80431:3355 180.5054:3493 216.27477:46723 216.28822:22959 252.89386:4205 271.55502:4246 420.92404:3904
5,Unknown,935,1.862617,2.077201,2.353447,503.2267,159775.0469,1632921.75,null,[M+H]+,M + 1,isotope of 4,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,3195.501,503.22665:207359 504.23062:27425 505.23834:35575 506.24011:14947,
6,Unknown,936,1.851984,2.080883,2.37551,444.1706,271099.7188,2780072.5,null,[M+H]+,M + 0,adduct linked to 17_[M+NH4]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,218.5155,444.17062:258008 444.3797:207710 445.17493:83087 445.23315:809624 445.38239:39258 446.23651:212104 447.2388:58915 448.16537:19846 448.23315:37769,
7,Unknown,936,1.881296,2.080883,2.33246,445.1749,80385.125,791581.375,null,[M+H]+,M + 1,isotope of 6,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,53.27785,445.17493:83087 445.23315:809624 445.38239:39258 446.23651:212104 447.2388:58915 448.16537:19846 448.23315:37769 449.23615:36460 449.33682:33124,
8,Unknown,936,1.881296,2.080883,2.369956,489.2285,250717.8906,2534722,null,[M+CH3OH+H]+,M + 0,adduct linked to 2_[M+Na]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,164.1191,489.22845:246200 490.23239:80306 491.23456:16951 492.23907:43183 492.32315:18676 493.24289:29161 493.34805:20519 494.17035:33365,
9,Unknown,940,2.014806,2.088597,2.248883,173.0809,57370.83984,432851.5938,null,[M+K]+,M + 0,adduct linked to 27_[M+2ACN+H]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,17.25684,173.08095:84786 174.09149:19859 174.11264:22030 175.17923:73673 176.13933:73500 177.05475:38132,
10,Unknown,940,1.942013,2.088597,2.236886,191.0917,40591.51563,236453.8906,null,[M+ACN+H]+,M + 0,adduct linked to 23_[2M+H]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,12.0617,190.95732:17180 191.09135:38903 191.11757:55127 192.13834:21749 192.17468:20178 193.00197:56085 193.15875:13966 194.08463:43903 194.11766:101208 194.99725:17641 195.12282:71344 195.13811:15669 195.18532:13686,
11,Unknown,940,1.926038,2.088597,2.231477,264.1805,76843.6875,580581,null,[M+H-H2O]+,M + 0,adduct linked to 14_[M+K]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,60.51356,264.14453:23912 264.18057:90321 265.00348:391588 265.18405:17067 265.21228:49953 266.15964:46989 266.22299:12002 266.24246:168165 267.07343:43133 267.12195:16659 267.24615:22132 268.01431:297715 268.21182:656346 269.01767:15469 269.03464:127261,
12,Unknown,940,1.942013,2.088597,2.262123,292.1389,689010.125,5635217.5,null,[M+CH3OH+H]+,M + 0,adduct linked to 19_[M+NH4]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,395.4097,292.01425:213122 292.13889:745767 292.17517:61246 293.01782:15667 293.14243:91044 294.15454:776423 294.19101:506152 294.2738:16591 294.95184:19579 295.15802:98064 295.19431:69983 296.04559:1521754 296.24307:157917 297.04929:58651 297.09439:157636,55.98936:4322 66.37571:4116 72.04041:3352 85.06536:4042 87.04461:167152 101.34489:3474 104.32342:3321 111.56492:3667 145.08597:9175 149.45752:3021 159.4588:3526 164.42632:3433 164.86601:3685 177.14749:3238 223.97704:8060 227.48219:7547 227.49586:4724 235.66481:3843 241.98718:22625 250.98775:17207 253.45297:3447 257.09885:3955 265.00351:5039 277.39661:3805
13,Unknown,940,1.957444,2.088597,2.175719,297.0944,136733.6563,892140.5625,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,32.76777,297.04929:58651 297.09439:157636 298.09784:32257 299.10995:325660 300.11365:51911 301.13333:75013,
14,Unknown,940,1.872011,2.088597,2.407509,320.1703,1565979.5,14008960,null,[M+K]+,M + 0,adduct linked to 11_[M+H-H2O]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,986.7367,320.17029:1757658 321.09152:22602 321.17371:258611 321.2016:17607 322.1506:29501 322.18588:1753086 323.05621:20472 323.18939:218214 324.07709:71609 324.19135:26547 324.20181:21716,50.71532:3193 51.74768:3270 51.88184:3782 55.19846:3199 57.57883:3433 63.16119:3903 87.04483:9351 93.07877:3609 98.16246:4543 105.96425:3676 115.0758:15827 126.00417:3146 130.06535:5180 131.06865:6748 131.20374:3142 131.9295:3377 151.05711:3240 151.27287:3469 187.57309:4411 191.76701:3369 221.42503:26481 235.61354:3644 275.06281:3219
15,Unknown,940,1.879051,2.088597,2.325725,321.1737,233031.4219,1929564.5,null,[M+K]+,M + 1,isotope of 14,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,182.1913,321.09152:22602 321.17371:258611 321.2016:17607 322.1506:29501 322.18588:1753086 323.05621:20472 323.18939:218214 324.07709:71609 324.19135:26547 324.20181:21716,
16,Unknown,940,1.840674,2.088597,2.411345,333.1655,935859.125,7011118,null,[M+Na]+,M + 0,adduct linked to 22_[M+H-H2O]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,653.7189,333.12369:65344 333.1655:1019692 334.12637:21463 334.14978:199020 334.16904:159976 334.19125:1925461 335.17041:20984 335.18134:225427 335.19464:427607 335.97839:47890 336.16507:45953 336.18466:36208 336.19818:42640 336.22784:39327 336.23843:52641 337.23196:27283 337.2421:17420,51.90072:3035 54.60972:3738 58.30059:4182 59.06111:37510 67.62946:3396 77.39955:3492 77.75175:3024 85.43041:3328 86.69578:3451 97.90253:4114 106.44403:3536 106.6182:3120 107.11901:3420 116.26924:3582 129.97861:3607 136.90182:3697 141.4541:3546 169.30746:3201 188.07056:32779 216.06583:17529 223.18961:3710 227.48587:5870 227.49965:4741 256.0993:5166 261.07364:3386 270.0787:9535 273.10236:16433 283.08661:21182 301.09714:9468
17,Unknown,940,1.905988,2.088597,2.271492,461.1973,77517.10156,721589.375,null,[M+NH4]+,M + 0,adduct linked to 6_[M+H]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,50.08979,461.19733:93591 461.22791:17554 461.35849:19826 462.18268:17767 462.20035:27953 462.22891:76429 463.233:32826 463.24918:609368 464.25259:180592 465.2301:19947 466.1767:17373,
18,Unknown,943,1.889753,2.096805,2.303639,266.2425,158507.5313,1228970.125,null,[M+H-H2O]+,M + 0,adduct linked to 25_[M+K]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,40.64395,266.15979:46977 266.21561:21109 266.22308:19560 266.24237:192446 267.0733:43512 267.24597:15898 268.0144:308605 268.21176:722433 269.03479:119718 269.09879:13432 269.21487:79850 270.01614:14041 270.14819:16038 271.08603:17814 271.11536:71809,
19,Unknown,943,1.91754,2.096805,2.248883,277.1281,243806.3906,1647069.125,null,[M+NH4]+,M + 0,adduct linked to 12_[M+CH3OH+H]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,156.7733,277.12814:266690 277.17575:19385 278.13159:50429 278.15985:275182 279.01929:24029 279.09329:29703 279.16342:30108 279.23761:161863 280.17535:52626 280.24158:15936 282.02969:74895,
20,Unknown,943,1.957444,2.096805,2.227775,279.2376,115432.6719,778521.75,null,[M+NH4]+,M + 0,adduct linked to 29_[M+H]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,34.6013,279.01929:24029 279.09329:29703 279.16342:30108 279.23761:161863 280.17535:52626 280.24158:15936 282.02969:74895 283.24899:46426 284.19687:24867,
21,Unknown,943,1.942013,2.096805,2.205842,293.1424,81974.07813,581644.4375,null,[M+CH3OH+H]+,M + 1,isotope of 12,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,53.95944,293.1424:107596 294.15451:815276 294.19095:454464 294.95142:32763 295.1442:18129 295.15839:106030 295.19437:72788 296.04556:1539108 296.15884:14422 296.24295:178256 297.04929:77224 297.09433:161672 297.24661:20161 297.68964:12972 298.09808:26799,
22,Unknown,943,2.026137,2.096805,2.205842,293.1424,81974.07813,574368.8125,null,[M+H-H2O]+,M + 0,adduct linked to 16_[M+Na]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,53.98281,293.1424:107596 294.15451:815276 294.19095:454464 294.95142:32763 295.1442:18129 295.15839:106030 295.19437:72788 296.04556:1539108 296.15884:14422 296.24295:178256 297.04929:77224 297.09433:161672 297.24661:20161 297.68964:12972 298.09808:26799,
23,Unknown,943,1.926038,2.096805,2.245169,299.11,295876.6875,2016608.25,null,[2M+H]+,M + 0,adduct linked to 10_[M+ACN+H]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,217.2648,299.10999:353184 300.11353:46450 300.20163:21923 301.13312:68350 302.1362:15000 302.19608:15764 302.24329:25177 302.30484:17378,60.3225:3561 65.5845:3446 66.31342:4037 72.4233:3052 74.43501:4433 83.23866:3577 84.12053:3421 86.37017:3613 86.70109:3911 89.02179:3476 95.45242:3502 120.21929:3405 127.03671:4657 155.64589:3617 155.8179:3355 195.06287:24358 213.07332:52129 217.65042:18042 217.66396:33486 267.22141:3627
24,Unknown,943,1.942013,2.096805,2.179303,300.1135,39296.23828,205326.1875,null,[2M+H]+,M + 1,isotope of 23,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,27.44991,300.11353:46450 300.20163:21923 301.13312:68350 302.1362:15000 302.19608:15764 302.24329:25177 302.30484:17378 304.17569:17337,
25,Unknown,943,1.957444,2.096805,2.252192,322.1859,1430138.375,9820747,null,[M+K]+,M + 0,adduct linked to 18_[M+H-H2O]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,1136.24,322.14984:48950 322.17691:62015 322.18594:1790430 323.05594:20459 323.18945:249343 324.07712:54404 324.19104:48475,
26,Unknown,943,1.91754,2.096805,2.252192,323.1895,207713.125,1428338.5,null,[M+K]+,M + 1,isotope of 25,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,176.7961,323.05594:20459 323.18945:249343 324.07712:54404 324.19104:48475,
27,Unknown,947,1.91754,2.105299,2.262123,217.1596,117845.2031,956020.1875,null,[M+2ACN+H]+,M + 0,adduct linked to 9_[M+K]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,89.7394,217.10706:90554 217.15958:125050 218.1024:164690 219.07718:12627 220.118:274160 220.16985:30793 220.21838:23416 220.22484:129292 221.12135:19959 221.18459:415251,
28,Unknown,947,1.905988,2.105299,2.267529,221.1846,398275.625,3301989.25,null,[M+2ACN+H]+,M + 0,adduct linked to 1_[M+2Na-H]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,39.47809,221.12135:19959 221.18459:415251 222.16153:12711 222.16983:23968 222.18829:40323 223.09656:34227 223.9772:55227 224.18558:1683693 225.18285:24398 225.18901:191278 225.19608:154249 225.20711:89802 226.18008:37330,56.05017:5503 57.05647:7515 74.34499:3435 82.87958:3324 84.04482:8723 85.05116:6328 91.1362:8121 91.78748:3470 92.14249:28409 112.56526:3425 115.91346:3494 118.49767:3264 132.17357:4915 137.16351:8512 159.3506:3535 175.17915:605651 203.17398:35931 221.18452:11752
