PeakID,Title,Scans,RT left(min),RT (min),RT right (min),Precursor m/z,Height,Area,Model masses,Adduct,Isotope,Comment,Reference RT,Reference m/z,Formula,Ontology,InChIKey,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,RT similarity,Dot product,Reverse dot product,Fragment presence %,Total score,S/N,MS1 isotopes,MSMS spectrum
0,Unknown,906,1.959055,2.051355,2.05809,309.041,3204879.25,17114540,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,18.04599,309.04105:3190106 310.03632:20225 310.04578:121690 310.92563:23490 312.0408:96008 313.07233:275041 313.14398:11832 313.17603:13628 313.9967:154947,
1,Unknown,907,1.966259,2.053601,2.163141,296.0458,1640110.125,16882290,null,[M+CH3OH+H]+,M + 0,adduct linked to 3_[M+ACN+H]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,35.80356,296.04581:1853908 297.04944:78772 297.1925:10372 298.27509:9915 299.06183:13645 300.20224:13188,
2,Unknown,909,1.909095,2.05809,2.241347,316.2121,174404.9219,1243473.375,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,85.0202,316.21207:185305 317.21591:31143 318.02768:27967 319.16672:18808,
3,Unknown,910,1.927531,2.060336,2.087113,305.0489,76731.49219,338944.8438,null,[M+ACN+H]+,M + 0,adduct linked to 1_[M+CH3OH+H]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,36.70607,305.04871:73918 306.02975:11011 307.04364:11676 309.04099:3337717 310.03625:19796 310.04565:108881,
4,Unknown,917,1.953487,2.078132,2.199049,168.0657,120440.125,652892.8125,null,[M+H]+,M + 0,adduct linked to 6_[M+H-H2O]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,24.22132,168.06569:127243 168.07686:15181 168.11339:12502 168.15771:36706 169.00204:12970 169.06912:17531 169.16998:19391 171.11296:211118 171.14932:219793 171.18591:16376 172.11627:19029 172.1528:25406,
5,Unknown,917,1.939314,2.078132,2.237391,360.2018,31341.00781,153733.3125,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,19.57759,360.20175:38758 362.04083:24274 364.34299:13254,
6,Unknown,919,2.021245,2.082623,2.152414,150.055,35153.10156,158732.0625,null,[M+H-H2O]+,M + 0,adduct linked to 4_[M+H]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,11.17155,150.02693:14785 150.05518:40901 150.07741:10305 150.10272:20293 150.12794:16188 151.09703:20141 152.04752:11590 152.08203:22621 152.10732:16248 152.11842:16434 152.66991:9632 153.06598:8592 153.09041:11760 153.11366:10077 153.12125:10650 153.13878:23492 154.13408:230691,
7,Unknown,929,1.924072,2.105077,2.272866,220.1004,81672.40625,466306.7188,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,61.7956,220.10043:89314 220.14619:18096 220.16983:25213 220.20607:40514 220.21289:53171 221.07483:10227 222.11285:9459 223.09682:32594 223.97704:44053 225.02933:16149,
8,Unknown,949,1.997401,2.150169,2.205785,397.1192,35013.78906,161021.5,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,26.32837,397.11923:31445 397.39743:16719 397.97357:38341 398.12393:10685 398.99371:27673 399.97308:13133 402.00516:37760,
9,Unknown,972,1.85985,2.201293,2.488639,261.1682,805354.25,7931565,null,[M+H]+,M + 1,isotope of 11,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,276.604,261.16812:825017 262.17148:76905 265.00375:353964,
