PeakID,Title,Scans,RT left(min),RT (min),RT right (min),Precursor m/z,Height,Area,Model masses,Adduct,Isotope,Comment,Reference RT,Reference m/z,Formula,Ontology,InChIKey,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,RT similarity,Dot product,Reverse dot product,Fragment presence %,Total score,S/N,MS1 isotopes,MSMS spectrum
0,Unknown,926,1.951268,2.053075,2.187891,168.0657,140984.5156,728112.875,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,25.11081,168.06566:144589 168.11336:20384 168.12328:10265 168.15782:100828 169.06929:11239 169.09741:11906 169.13383:13740 169.17012:58353 170.11769:17700 170.12895:17381 171.11298:242931 171.14935:164851 171.18568:27661 172.11638:24143,
1,Unknown,927,1.879879,2.055321,2.326763,316.2121,190435.625,1432682.625,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,103.3624,316.21213:174889 316.32153:21608 317.21539:32908 318.02789:46464 318.22842:16356,
2,Unknown,946,2.030619,2.099858,2.26674,220.1006,82325.39063,499965.875,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,52.51231,220.10037:95981 220.16978:16983 223.09636:47220 223.97688:63308,
3,Unknown,951,1.955153,2.110131,2.222009,397.1192,39029.90625,193315.875,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,27.01864,397.11917:42507 397.14169:16832 397.16623:27940 397.97375:80715 398.1235:14230 398.99414:46956 399.1091:17835 399.97165:29068 400.99179:16217 401.24088:14171 402.00351:16115,
4,Unknown,985,2.110131,2.184168,2.262249,216.0804,33611.99219,52709.42969,null,[M+K]+,M + 0,adduct linked to 5_[M+2ACN+H]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,6.651334,216.08035:235284 216.08643:28427 216.97974:13430 220.1004:23376 220.1701:21043,
5,PQS,991,2.041848,2.195174,2.564536,260.1647,4597243,49397572,null,[M+2ACN+H]+,M + 0,adduct linked to 4_[M+K]+,2.16,260.16504,null,null,null,null,annotated by user-defined text library,TRUE,TRUE,FALSE,100,null,null,null,99.9,2656.792,260.1647:4893458 261.16806:890310 262.17163:66338 263.17386:11650 263.71005:12540 265.00369:441758,52.54867:4121 53.24847:3573 56.7925:3827 58.79245:3449 58.82903:3683 64.16373:3439 74.96816:4117 75.59047:3372 75.62833:3526 77.26498:3272 77.88972:3903 78.33536:3665 85.8639:3465 130.06541:7598 131.75638:3335 134.06001:4298 162.05521:9252 166.0188:4044 175.06297:316183 176.07065:9359 188.07082:27192 189.07863:10163 217.54764:9678 217.56082:44604 218.39386:4052 234.70026:4571 246.00323:3613
6,Unknown,991,1.831562,2.195174,2.553309,261.1681,795466.875,8403294,null,[M+2ACN+H]+,M + 1,isotope of 5,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,252.7236,261.16806:890310 262.17163:66338 263.17386:11650 263.71005:12540 265.00369:441758 266.00781:13024,
7,Unknown,991,2.037357,2.195174,2.260005,262.1716,69901.1875,408131.5938,null,[M+2ACN+H]+,M + 2,isotope of 5,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,38.36448,262.17163:66338 263.17386:11650 263.71005:12540 265.00369:441758 266.00781:13024 266.22244:14239 267.07333:73131,
8,Unknown,991,2.059811,2.195174,2.271232,318.2178,125720.4141,830784.6875,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,44.74109,318.02737:52996 318.2178:143588 319.16718:17580 319.22134:13154 320.22452:13238 323.05673:54175,
9,Unknown,1024,2.117506,2.268986,2.379304,383.1031,79421.98438,433012.6875,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,19.37344,383.10349:78699 383.13348:21677 383.39951:13080 384.10944:17140 384.3591:12052 384.97803:28159 386.9769:12306,
10,Unknown,1030,2.041848,2.282459,2.575763,206.0434,66904.78125,483672.2813,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,25.74746,206.04343:83648 206.13829:8720 207.01778:199192 207.12457:47459 208.17007:16722 208.18135:16582 208.93491:16750 209.01308:64973 209.052:15753 209.15414:19782 209.20169:10443 210.16054:14412,
11,Unknown,1035,2.093123,2.293205,2.389754,268.1038,83024.33594,454862.1875,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,47.45302,268.01453:362367 268.10379:99434 269.0351:138399 272.15051:14627 272.22189:14287 272.96994:197306,
12,Unknown,1037,2.202618,2.300267,2.435625,281.0988,83572.29688,570786.9375,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,60.81474,281.09885:71977 282.0296:68544 284.19702:17151,
13,Unknown,1053,2.15117,2.338113,2.575763,263.0521,127903.4609,717558.75,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,111.5251,263.05212:131896 264.05563:13344 265.00363:438223 265.04788:16312 266.22226:16693 267.07339:66061 268.0145:409859,
14,Unknown,1060,2.25217,2.353831,2.546574,302.1964,155788.8594,1115427.25,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,41.83997,302.19638:182243 302.24393:29217 302.30505:15795 302.36072:10501 303.19949:21291 304.17569:10751 306.03033:10753 306.74432:9718,
15,Unknown,1079,2.293205,2.400237,2.564536,172.1332,668926.0625,5424658.5,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,107.1216,172.11629:16558 172.13324:731638 172.15257:16956 172.16977:10350 173.13657:58723 174.11238:23643 176.1394:125344 177.05452:18590,52.34468:3821 55.97346:3985 56.83472:3319 56.85351:3289 56.85534:3141 60.43353:3150 62.60999:3143 66.60122:3261 70.06584:4791 75.69862:3942 88.72905:3777 98.09696:614503 99.84361:4099 104.43521:3364 106.60492:3910 123.023:3489 126.11131:4956 157.05562:3477 166.77371:3357 172.13332:104574
16,Unknown,1085,2.268986,2.411302,2.500026,265.0675,40442.60938,210519.25,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,28.65217,265.0036:442500 265.06747:54580 266.22269:32608 267.07346:40199 268.01447:409142 268.02267:20102 268.10413:16123 269.03476:135779,
17,Unknown,1088,2.304759,2.417656,2.496462,173.1365,70259.96875,504159.75,null,[M+H]+,M + 1,isotope of 15,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,17.49255,173.13675:76012 174.11258:14742 176.13947:117429 177.05482:34831 178.12279:46562,
18,Unknown,1096,2.347094,2.435625,2.493143,83.02119,35903.46484,163541.3906,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,4.048705,83.02119:52176 83.061:13048345 83.10023:38729 84.05806:111216 84.06436:652988 84.08137:16406 84.33778:9560 85.07667:292859 86.06071:50285 86.07195:14167 86.07993:12079 86.09702:25840 87.04472:55573 87.05595:79017 87.09229:758127,
19,Unknown,1117,2.234689,2.482645,2.628169,151.0424,763782.8125,5540084,null,[M+H]+,M + 0,adduct linked to 20_[M+Na]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,117.9012,151.0117:15765 151.04243:737989 151.08667:14433 151.09653:16060 152.04272:10349 152.04607:37840 152.08205:16992 153.03836:21545 153.09059:9447 153.1024:22306 153.13864:25446 154.08644:11387 154.09775:13606 154.13403:121507 154.60033:9401 155.11803:27667 155.13727:13082 155.15443:16667,52.30744:3599 55.01868:107831 65.09824:3415 87.0447:347359 119.01643:13134 119.20471:3607 124.48385:3574 127.99577:8753 128.87234:3479 135.65399:3338 138.69489:3612 148.9447:3835 151.08669:10538 151.12314:10766
20,Unknown,1117,2.296926,2.482645,2.603494,173.0245,30799.44141,176860.2813,null,[M+Na]+,M + 0,adduct linked to 19_[M+H]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,25.53942,173.02451:33612 173.13683:37453 176.13954:111140 177.05481:34293 177.28583:10611,
21,Unknown,1117,2.396881,2.482645,2.60574,196.1009,125195.8828,855863.8125,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,30.94809,196.01266:15923 196.09628:20820 196.10086:100746 196.9875:11362 197.10374:11995 197.12927:10674 198.18573:18300 199.18079:22787 200.1647:22069,
22,Unknown,1117,2.365458,2.482645,2.566782,209.0957,82176.54688,491312.4375,null,[2M+H]+,M + 0,adduct linked to 23_[M+H-H2O]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,15.49549,209.01306:70211 209.0956:88708 209.16512:16238 210.10039:11061 210.19669:15154 211.14423:14726 212.09523:744070 212.14943:15922 213.09874:43802 213.11354:19454 214.08981:481790,
23,Unknown,1118,2.176976,2.485983,2.782068,87.04468,250331.2813,1992003.5,null,[M+H-H2O]+,M + 0,adduct linked to 22_[2M+H]+; found in higher mz's MsMs_19,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,160.457,87.04468:342657 87.05591:98893 87.09229:708963 88.05113:33720 88.07629:462221 88.09562:29990 88.11267:471820 89.03508:16305 89.07156:20108 89.07964:22439 89.10794:129761 89.11601:23246 90.09201:48644 91.02967:116799 91.05076:28758 91.05476:13326 92.03303:15307 92.03747:549265,
24,Unknown,1121,2.361879,2.493143,2.588867,144.102,217689.8125,1589873.5,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,17.34191,144.07695:8605 144.08093:20869 144.10201:215391 144.1132:15268 144.13843:13357 144.92757:10478 144.98222:1072266 145.09724:30531 145.1053:21358 145.9855:34005 146.11751:14064 146.98042:475366 147.98395:21182 148.08728:16108 148.9935:13914 149.01366:48707 149.02345:83531,
25,Unknown,1126,2.496462,2.506914,2.610232,300.2018,58817.82813,295195.4688,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,9.692112,300.20148:63552 301.20517:13162 301.25928:14637 302.19571:10987 302.24359:20701 304.24832:13595,
26,Unknown,1138,2.234689,2.535347,2.725262,192.1596,92054.50781,787559.0625,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,37.08009,192.15958:134623 193.00201:105104 194.08464:45271 194.09244:10219 194.11775:102150 194.88722:11473 194.99757:42529 195.0686:20835 195.12299:51442 195.18567:23313 196.01306:12066 196.10074:87803 197.10381:10512 197.12871:13972,
27,Unknown,1155,2.485983,2.573519,2.760401,256.1754,82734.82031,605697.375,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,19.20934,256.17538:85831 260.16461:214193 261.12137:14650 261.13153:14614 261.16843:26572,
28,Unknown,1160,2.542082,2.585528,2.603494,144.9823,1353324.75,4813208,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,5.877415,144.92769:29235 144.9823:1373392 145.0974:32207 145.98558:56079 146.11765:22766 146.63783:9525 146.98047:572079 147.08026:10944 147.98381:25064 148.08711:16617 148.097:23657 148.11212:17814 148.99374:32082 149.01369:70371 149.02344:72367,
