PeakID,Title,Scans,RT left(min),RT (min),RT right (min),Precursor m/z,Height,Area,Model masses,Adduct,Isotope,Comment,Reference RT,Reference m/z,Formula,Ontology,InChIKey,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,RT similarity,Dot product,Reverse dot product,Fragment presence %,Total score,S/N,MS1 isotopes,MSMS spectrum
0,Unknown,927,2.032539,2.064914,2.171755,295.1944,97569.29688,501547.1875,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,62.10133,294.95193:46509 295.14471:12714 295.19473:104543 296.04572:936424 296.24304:36276 297.04968:50910 297.09457:44958 299.11011:47070,
1,Unknown,932,1.898006,2.07697,2.357291,445.1749,87113.53906,873716.0625,null,[M+H-2H2O]+,M + 1,isotope of 3,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,47.82513,445.1749:102405 445.2334:837017 445.38348:41718 446.17688:13946 446.23651:254828 447.23849:44463 448.16614:18417 448.23309:19036 449.23645:25325 449.33707:45724,
2,Unknown,932,1.914246,2.07697,2.277452,461.1977,79478.04688,785275,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,52.61131,461.19769:82759 461.35736:25372 462.20071:21295 462.22861:67246 463.23227:41093 463.24921:536768 463.31696:15803 463.56415:13700 464.25293:159785 465.25604:32646 466.17627:13160,
3,Unknown,933,1.907279,2.080637,2.2881,444.1709,284690.9688,2829176.75,null,[M+H-2H2O]+,M + 0,adduct linked to 4_[M+Na]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,240.1123,444.17068:320253 444.3797:220644 445.1745:94865 445.23343:731122 445.38339:60351 446.17776:16278 446.23694:227102 447.23907:32214 448.16531:16612 448.23325:22756,
4,Unknown,933,1.852403,2.080637,2.42163,502.2241,469388.1563,5052203.5,null,[M+Na]+,M + 0,adduct linked to 3_[M+H-2H2O]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,9387.764,502.22412:525529 503.22733:184530 504.22971:25659 505.23849:15316,53.86436:3836 56.18811:3616 59.06115:269953 61.46582:3081 72.45009:3348 77.76823:3181 95.35948:3242 96.26913:3713 108.58549:3814 127.28962:4034 127.89594:3431 198.7325:3608 217.12756:24907 217.14096:25157 233.85054:3719 242.9682:3268 245.35776:3782 264.46024:5216 367.23666:3617 449.45828:3880 493.15851:3782
5,Unknown,933,1.877544,2.080637,2.344364,503.2273,152759.8281,1709094.875,null,[M+Na]+,M + 1,isotope of 4,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,35.77377,503.22733:184530 504.22971:25659 505.23849:15316,
6,Unknown,937,1.884279,2.088324,2.333137,489.2287,204936.7031,2149808.5,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,150.8011,489.22873:248097 490.23285:73692 491.2356:16949 492.23932:41993 493.24301:23168 494.17078:54794,
7,Unknown,941,1.950127,2.096007,2.208529,262.2175,37669.21484,241163.1875,null,[M+H]+,M + 0,adduct linked to 9_[M+NH4]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,22.15888,262.12885:62857 262.16507:420083 262.21753:47651 263.16827:32794 263.22351:19547 264.14386:21252 264.18057:62936 264.34109:20544 265.00351:361983 265.21222:119372 266.16003:46263 266.21567:14428 266.22339:15709 266.24246:175833 267.07339:33009,
8,Unknown,941,1.924117,2.096007,2.2881,266.2425,133330.5781,1022577.188,null,[M+CH3OH+H]+,M + 0,adduct linked to 18_[M+ACN+H]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,34.06735,266.16003:46263 266.21567:14428 266.22339:15709 266.24246:175833 267.07339:33009 267.246:40847 268.0144:325139 268.21191:755304 269.03531:71404 269.09958:21448 269.21552:78988 271.11508:183960 271.1662:13947,
9,Unknown,941,1.950127,2.096007,2.26805,279.2377,122472.5703,945533.25,null,[M+NH4]+,M + 0,adduct linked to 7_[M+H]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,32.83869,279.0932:38496 279.164:31815 279.23755:120168 280.24158:19085 282.03003:73549 283.11719:22103 283.24957:32229 284.19632:15479,
