PeakID,Title,Scans,RT left(min),RT (min),RT right (min),Precursor m/z,Height,Area,Model masses,Adduct,Isotope,Comment,Reference RT,Reference m/z,Formula,Ontology,InChIKey,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,RT similarity,Dot product,Reverse dot product,Fragment presence %,Total score,S/N,MS1 isotopes,MSMS spectrum
0,Unknown,882,2.013856,2.034125,2.145662,223.0963,115384.1484,722653,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,11.546,223.04555:61948 223.09641:120953 223.97667:35915 224.09964:14311 224.12766:8043 225.20717:97827 226.17998:133446 226.21071:11438 227.10329:7719 227.16371:8511 227.1834:13184 227.21159:29887 227.48752:9837 227.49484:17635 228.06874:12442,
1,Unknown,889,1.908596,2.052108,2.262688,223.0455,63760.39844,397225.7813,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,37.81489,222.94991:8828 223.04546:71489 223.09633:115794 223.97668:36210 224.09149:10604 224.09949:7428 224.94572:9734 225.09096:12012 225.19708:10615 225.2072:107894 226.05344:9845 226.10696:10497 226.18002:95884 226.21033:13110 227.17603:10087 227.18343:18578 227.21162:26518 227.49336:15027 227.49983:11587 227.51396:9062,
2,Unknown,890,1.984517,2.054354,2.207886,281.0986,75769.65625,502592.6563,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,48.97418,281.09875:81284 281.14938:12469 281.24731:9722 282.03046:29092 283.11743:8128 284.19702:18978 285.29019:8179,
3,Unknown,890,1.939823,2.054354,2.162943,447.2393,50773.01172,293945.4063,null,[M+H]+,M + 2,isotope of 6,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,60.32884,447.23935:59626 447.34702:9392 448.23212:11925 449.33725:39222 450.34134:15484,
4,Unknown,891,1.870255,2.0566,2.3052,387.1797,249883.5156,1753136.25,null,[M+H]+,M + 0,adduct linked to 7_[M+NH4]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,252.433,387.17972:276612 388.18323:69276 388.31604:10066 389.18661:12478 391.28394:64061 391.95935:10519,
5,Unknown,891,1.944315,2.0566,2.262688,432.2378,117202.0078,873128.4375,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,80.28267,432.23782:137884 432.2793:8660 433.24057:26232 434.17999:12664 434.31238:25937,
6,Unknown,892,1.829649,2.058845,2.385456,445.233,1183084.375,8366341,null,[M+H]+,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,1030.76,445.233:1043372 445.38257:53536 446.23636:268284 447.23965:36158 448.233:14982 449.33737:36389,54.32926:3515 55.38038:3524 59.06112:68180 59.06266:6947 60.64159:3317 65.61828:4015 66.08927:3111 77.53223:3465 79.48003:3597 87.59675:3578 92.67066:3638 93.31751:3217 100.5933:3522 111.38557:4105 119.59485:3501 123.62339:3983 133.8658:4126 148.45361:3366 150.97047:3079 164.11896:3629 165.38251:3910 176.90862:3457 180.27896:3521 227.52979:8001 227.54134:5209 237.06076:3485 266.68359:3489 284.23038:3825 300.01541:3336 327.07501:3393
7,Unknown,893,1.872501,2.061089,2.332146,404.2064,388777.75,2725413.25,null,[M+NH4]+,M + 0,adduct linked to 4_[M+H]+,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,452.6046,404.20642:396780 405.05331:10467 405.08475:8315 405.20981:95757 405.25873:11327 406.21292:11770 407.05051:8155 408.3681:9105 409.06723:7034 409.16129:9363,51.19561:3738 51.62707:3116 54.31037:3575 56.30895:3398 58.21922:3177 58.45435:3384 61.25588:3387 71.87732:3479 84.82401:3471 89.82014:3645 91.05476:4485 95.04959:6179 102.65774:3792 105.07019:4733 119.5692:3486 154.64674:4190 161.48743:3340 227.51488:5737 227.52824:7586
8,Unknown,893,1.876197,2.061089,2.3052,446.2365,302910.1875,2173597.5,null,[M+H]+,M + 1,isotope of 6,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,361.3489,446.23645:310278 446.38437:7539 447.23941:41561 447.34662:9277 448.233:11861 449.33713:47292 450.34055:10310,
9,Unknown,894,1.928294,2.063335,2.219628,388.1833,59920.52734,387326.5938,null,[M+H]+,M + 1,isotope of 4,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,31.05981,388.18362:62138 388.2532:7344 391.28366:56433 392.14923:10648 392.28763:20092,
10,Unknown,894,1.904815,2.063335,2.2805,405.21,95079.76563,637686.5,null,[M+NH4]+,M + 1,isotope of 7,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,123.6491,405.05417:10638 405.08517:10625 405.20996:102689 406.05582:7780 406.21307:17646 408.30841:8132 409.16266:9217,
