"","MF.Fraction","MassBankMatch","MassBankppm","MassBankCosine1","ID","Names","spectrum_KRHform_filtered","MH_mass.x","MH_mass.y","MS2","scan1","scan2","mass1","mass2","Cosine1"
"144","I170.0684R16.91_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","I170.1176R8.07_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","I173.0921R8.33_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","I174.022R5.45_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","I174.1126R6.89_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","I174.1126R8.06_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","I175.119R17.83_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","I176.0918R10.77_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","I176.0918R7.43_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","Citrulline_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","I176.1281R10.33_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","I176.1282R7.85_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","I177.0581R9.17_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","I177.0582R7.98_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","I179.0048R7.02_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","I179.024R6.59_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","Gonyol_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","I180.1019R8.38_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","Tyrosine_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","I185.0922R8.02_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","I188.0707R7.54_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","I189.1235R6.93_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","N(e)-Acetyl-Lysine_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","I193.0531R10.87_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","I193.0894R10.12_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","I195.0765R10.08_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","I196.083R5.03_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","I204.1232R7.22_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","I204.1233R3.65_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","I206.0351R6.59_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","I206.1389R6.76_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","Dexpanthenol_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","I207.0686R8.88_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","I207.1704R6.56_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","I209.0478R11.07_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","I209.0843R7.18_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","I209.0844R8.07_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","I211.0565R12.12_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","Propionyl-L-carnitine_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","I219.1703R6.51_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","I221.0843R5.26_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","I221.0843R5.58_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","I221.0843R8.12_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","Cystathionine_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","I227.1754R2.2_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","I228.0979R6.34_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","I232.118R6.16_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","Butyryl-L-carnitine_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","I235.1653R7.18_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","I236.1492R9.91_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","I236.1493R8.23_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","I238.0524R11.67_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","I244.0929R7.89_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","I249.1347R5.35_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","I252.083R12.11_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","I252.1092R3.46_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","I252.1441R10.53_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201","Glucosylglycerol_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","Glycerophosphocholine_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"203","Adenosine_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","I271.1288R9.7_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","I284.0991R8.89_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","I285.1445R8.18_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","I285.1445R6.57_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","I288.1918R7.18_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209","I289.1393R10.28_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","I291.0698R7.5_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","Argininosuccinic Acid_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","I292.0629R12.12_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","I297.0846R5.35_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","I303.1551R9.17_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","I308.1605R5.35_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","I326.0563R6.58_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","I329.1742R7.17_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","I333.1293R11.28_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","Adenosyl Homocysteine_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","Adenosyl Methionine_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","I416.1778R9.11_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","I455.1888R6.34_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","I479.1923R4.35_HILICPos_X_HILICPos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","I130.1592R4.02_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","Agmatine_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","I137.0459R1.05_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","Allopurinol_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","Sulfurol_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","I146.0601R1.92_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","I152.0568R1.08_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","I152.1282R1.07_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","I162.0776R1.13_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","I166.0864R1.12_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","I168.0517R1.05_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","I175.0789R1_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","I182.0674R1.17_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","I190.1439R0.83_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","I196.0831R1.52_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","I203.1392R1.16_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","I204.1596R0.89_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","Tryptophan_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","I206.0675R2.59_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","Kynurenine_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","Vitamin B5_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","I221.0844R0.89_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","I229.1549R0.89_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","I237.1235R1.65_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","I240.1092R0.94_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","I241.0297R0.89_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","I245.1588R2.3_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","I245.1861R2.33_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","I245.1862R2.58_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","I248.9764R0.9_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","I260.1131R1.01_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","I261.1311R1.29_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","I263.1426R2.13_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","I268.1042R1.29_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","I269.0882R1.02_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","I271.1291R0.87_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","I279.1706R4.12_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261","I283.0872R1.5_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","I285.1447R0.91_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","I285.1447R1.14_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","I285.6464R1_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","I288.2032R0.91_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","I293.2112R9.77_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267","I293.2113R9.66_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","I294.1814R1.08_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269","I295.1291R1.78_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","I295.1654R2.4_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271","I295.1655R2.58_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272","I295.1655R2.81_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","I296.6058R1.22_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","I297.1885R5.9_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","I298.0971R2.1_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","I299.1967R2.47_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277","I303.1553R0.89_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278","I305.1573R1.6_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279","I306.4913R3.77_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280","I310.14R1.31_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281","I311.1239R1.4_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282","I313.1548R4.98_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283","I321.2427R9.33_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284","I322.1877R1.19_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285","I325.1761R2.97_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286","I329.1346R2.89_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287","I329.1347R0.88_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288","I329.2073R2.82_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"289","I340.2597R6.93_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"290","I345.0462R0.88_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"291","I345.6642R3.9_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292","I346.1457R4.95_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293","I347.1452R0.87_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"294","I370.6952R2.68_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"295","I375.2136R4.1_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"296","I377.1459R4.24_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297","I381.1828R4.47_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"298","I404.7398R5.8_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"299","I414.1624R0.94_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300","I416.178R0.93_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301","I419.6799R6.47_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302","I424.2081R2.64_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"303","I459.2336R3.77_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"304","I470.2256R5.55_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"305","I511.2407R3.6_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"306","I548.2723R4.91_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307","I575.1679R5.3_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"308","I577.1657R5.3_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"309","I589.2805R5.44_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"310","I605.3175R6.37_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"311","Glutathione Disulfide_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"312","I801.3309R6.22_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"313","I802.3342R6.22_CyanoAq_X_RP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142416","L-Pyroglutamic acid_X_HILICNeg","5-OXO-D-PROLINE ID:CCMSLIB00000578175",4.28386764427994,0.886700096279138,"CCMSLIB00000578175","5-OXO-D-PROLINE","128.03415, 100; 129.03761, 3.1; 82.0285, 1.4; 84.04405, 0.9",128.035316484,128.034768,"128.03429, 100; 129.04133, 19.5; 86.02365, 11.4; 129.03276, 10.4; 85.03962, 9.4; 126.99718, 7.9; 58.02862, 5.9; 128.01187, 4.4; 127.89628, 4; 129.09109, 3.4; 82.02858, 3.1; 87.05527, 2.9; 95.9831, 2.5; 127.05025, 2.1; 57.03331, 2.1; 128.99275, 2; 126.98602, 1.6; 79.95618, 1.6; 102.02127, 1.2; 129.05415, 1.1; 128.97388, 1.1; 64.01803, 0.6; 81.95196, 0.6","128.03415, 100; 129.03761, 3.1; 82.0285, 1.4; 84.04405, 0.9","128.03429, 100; 129.04133, 19.5; 86.02365, 11.4; 129.03276, 10.4; 85.03962, 9.4; 126.99718, 7.9; 58.02862, 5.9; 128.01187, 4.4; 127.89628, 4; 129.09109, 3.4; 82.02858, 3.1; 87.05527, 2.9; 95.9831, 2.5; 127.05025, 2.1; 57.03331, 2.1; 128.99275, 2; 126.98602, 1.6; 79.95618, 1.6; 102.02127, 1.2; 129.05415, 1.1; 128.97388, 1.1; 64.01803, 0.6; 81.95196, 0.6",128.035316484,128.034768,0.886700096279138
"142417","L-Pyroglutamic acid_X_HILICNeg","5-OXO-L-PROLINE ID:CCMSLIB00000578183",4.28386764427994,0.883223464270566,"CCMSLIB00000578183","5-OXO-L-PROLINE","128.03415, 100; 129.03752, 2.9; 82.02836, 1.6; 70.95747, 1.5; 84.04406, 0.7",128.035316484,128.034768,"128.03429, 100; 129.04133, 19.5; 86.02365, 11.4; 129.03276, 10.4; 85.03962, 9.4; 126.99718, 7.9; 58.02862, 5.9; 128.01187, 4.4; 127.89628, 4; 129.09109, 3.4; 82.02858, 3.1; 87.05527, 2.9; 95.9831, 2.5; 127.05025, 2.1; 57.03331, 2.1; 128.99275, 2; 126.98602, 1.6; 79.95618, 1.6; 102.02127, 1.2; 129.05415, 1.1; 128.97388, 1.1; 64.01803, 0.6; 81.95196, 0.6","128.03415, 100; 129.03752, 2.9; 82.02836, 1.6; 70.95747, 1.5; 84.04406, 0.7","128.03429, 100; 129.04133, 19.5; 86.02365, 11.4; 129.03276, 10.4; 85.03962, 9.4; 126.99718, 7.9; 58.02862, 5.9; 128.01187, 4.4; 127.89628, 4; 129.09109, 3.4; 82.02858, 3.1; 87.05527, 2.9; 95.9831, 2.5; 127.05025, 2.1; 57.03331, 2.1; 128.99275, 2; 126.98602, 1.6; 79.95618, 1.6; 102.02127, 1.2; 129.05415, 1.1; 128.97388, 1.1; 64.01803, 0.6; 81.95196, 0.6",128.035316484,128.034768,0.883223464270566
"142418","L-Pyroglutamic acid_X_HILICNeg","L-Pyroglutamic acid; pGlu; pyroGlu; Pyroglutamate; Pidolic acid; L-Glutimic acid; L-5-Oxoproline; (S)-(?)-2-Pyrrolidone-5-carboxylic acid; (S)-5-Oxo-2-pyrrolidinecarboxylic acid; L-a-Aminoglutaric Acid Lactam; L-5-Oxo-2-pyrrolidinecarboxylic acid ID:PR100586",4.28386764427994,0.777125336819835,"PR100586","L-Pyroglutamic acid; pGlu; pyroGlu; Pyroglutamate; Pidolic acid; L-Glutimic acid; L-5-Oxoproline; (S)-(?)-2-Pyrrolidone-5-carboxylic acid; (S)-5-Oxo-2-pyrrolidinecarboxylic acid; L-a-Aminoglutaric Acid Lactam; L-5-Oxo-2-pyrrolidinecarboxylic acid","128.0348, 100",128.035316484,128.034768,"128.03429, 100; 129.04133, 19.5; 86.02365, 11.4; 129.03276, 10.4; 85.03962, 9.4; 126.99718, 7.9; 58.02862, 5.9; 128.01187, 4.4; 127.89628, 4; 129.09109, 3.4; 82.02858, 3.1; 87.05527, 2.9; 95.9831, 2.5; 127.05025, 2.1; 57.03331, 2.1; 128.99275, 2; 126.98602, 1.6; 79.95618, 1.6; 102.02127, 1.2; 129.05415, 1.1; 128.97388, 1.1; 64.01803, 0.6; 81.95196, 0.6","128.0348, 100","128.03429, 100; 129.04133, 19.5; 86.02365, 11.4; 129.03276, 10.4; 85.03962, 9.4; 126.99718, 7.9; 58.02862, 5.9; 128.01187, 4.4; 127.89628, 4; 129.09109, 3.4; 82.02858, 3.1; 87.05527, 2.9; 95.9831, 2.5; 127.05025, 2.1; 57.03331, 2.1; 128.99275, 2; 126.98602, 1.6; 79.95618, 1.6; 102.02127, 1.2; 129.05415, 1.1; 128.97388, 1.1; 64.01803, 0.6; 81.95196, 0.6",128.035316484,128.034768,0.777125336819835
