"MassFeature","mz","rt","column","z","MS2"
"Inosine",267.072946,454.2,"HILIC",-1,"135.03029, 100; 150.04128, 14.4; 106.03996, 10.1; 166.05366, 10; 267.07413, 8.3; 65.01334, 7.2; 157.05127, 4.5; 82.03997, 4.5; 171.06717, 4; 130.04025, 3.4; 66.0086, 3; 132.05582, 2.4; 120.05562, 2.3; 151.04143, 2.3; 147.06674, 2.1; 121.05107, 2; 197.08311, 1.9; 107.03521, 1.9; 156.05611, 1.7; 136.0337, 1.6; 198.07791, 1.5; 240.08897, 1.5; 133.05099, 1.4; 81.04461, 1.4; 105.0448, 1.4; 144.04325, 1.4; 220.19688, 1.3; 176.05737, 1.3; 92.02427, 1.2; 145.0513, 1.1; 219.8692, 1.1; 159.06667, 1.1; 213.07795, 1.1; 220.5038, 1; 118.04011, 1; 266.08939, 0.9; 219.85603, 0.7; 65.99738, 0.7; 142.03999, 0.7; 225.08999, 0.7; 91.02903, 0.7; 116.0243, 0.7; 122.0349, 0.7; 185.08287, 0.6; 220.51625, 0.6; 131.03557, 0.6; 143.03564, 0.6"
"I275.9414R1.7",275.9414441,102.0994851,"HILIC",-1,NA
"I276.9109R1.79",276.9109069,107.1877033,"HILIC",-1,NA
"I277.9097R1.79",277.9097374,107.3293631,"HILIC",-1,NA
"I292.0727R10.9",292.0727303,653.7302589,"HILIC",-1,NA
"I298.957R7.41",298.9569597,444.8304242,"HILIC",-1,NA
"I300.8705R4.81",300.870537,288.4335608,"HILIC",-1,NA
"I302.0009R7.07",302.0008652,424.0783407,"HILIC",-1,NA
"I304.079R2.8",304.0789513,167.9387041,"HILIC",-1,NA
"I316.0457R12.61",316.0457357,756.7242862,"HILIC",-1,NA
"I317.0553R12.1",317.0552535,725.7078449,"HILIC",-1,"317.0549, 100; 116.92745, 66.9; 80.96398, 57.3; 225.00706, 51.9; 164.98569, 24; 221.04355, 17.7; 194.90558, 14.9; 94.97974, 13.7; 106.03983, 12.4; 152.98558, 11.6; 221.03024, 5.7; 148.99037, 5; 125.02339, 4.9; 61.98717, 4.8; 318.05862, 4.1; 296.6268, 3.7; 135.14255, 3.7; 230.50868, 3.5; 82.03979, 3.3; 140.51195, 3.3; 107.85749, 3.3; 97.02851, 3.2; 299.63806, 3.2; 134.97481, 3.1; 164.51566, 3; 95.44386, 2.9; 105.91322, 2.9; 60.44644, 2.7; 124.33031, 2.7; 113.77394, 2.7"
"I325.0188R11.15",325.0188103,669.2491176,"HILIC",-1,NA
"I327.1204R10.42",327.1203644,625.1518472,"HILIC",-1,NA
"I329.0856R4.34",329.0856293,260.1655719,"HILIC",-1,NA
"I331.1154R11.28",331.1153856,676.8722483,"HILIC",-1,NA
"I338.006R9.9",338.0059928,593.9406375,"HILIC",-1,NA
"I340.0028R9.93",340.00284,595.5132478,"HILIC",-1,NA
"Sucrose",341.10839,715.8,"HILIC",-1,NA
"Trehalose",341.10839,780,"HILIC",-1,NA
"I346.0564R12.06",346.0564275,723.6659792,"HILIC",-1,"78.95782, 100; 96.96841, 29.3; 134.04619, 10.5; 150.97937, 4.5; 223.9081, 1.6; 211.00117, 1.1; 346.05545, 0.9; 365.27081, 0.8; 211.83575, 0.8; 68.2844, 0.7; 138.97981, 0.7; 99.37633, 0.7; 93.87428, 0.7; 63.84402, 0.7; 64.66785, 0.7; 66.01476, 0.7; 84.86903, 0.7; 104.05881, 0.6; 168.48531, 0.6; 55.26927, 0.6"
"I376.9346R7.43",376.9345616,445.9692758,"HILIC",-1,NA
"I379.083R11.37",379.0830228,682.0450424,"HILIC",-1,NA
"I386.0341R16.12",386.0341495,967.2362856,"HILIC",-1,NA
"I387.2256R2.2",387.2255927,131.8390778,"HILIC",-1,NA
"I401.241R2.14",401.2410226,128.3798692,"HILIC",-1,NA
"I414.1638R9.08",414.1638193,545.0549765,"HILIC",-1,NA
"I429.1257R12.32",429.1256607,738.9774037,"HILIC",-1,NA
"I479.7914R1.79",479.7913702,107.6099593,"HILIC",-1,NA
"I495.0783R2.22",495.0783251,133.2875885,"HILIC",-1,NA
"I533.0521R2.2",533.052121,132.0131845,"HILIC",-1,NA
"I606.0756R12.98",606.0756192,778.9529008,"HILIC",-1,NA
"I620.9939R2.17",620.9939013,130.1805811,"HILIC",-1,NA
"I622.9911R2.17",622.9910523,130.1810401,"HILIC",-1,NA
"NAD",662.101304,636,"HILIC",-1,NA
"I84.045R12.12",84.04502893,727.2183115,"HILIC",1,"83.06097, 100; 84.04498, 27.5; 84.06015, 17.7; 56.05026, 6.9; 84.08137, 3.7; 85.07666, 0.9"
"I87.0446R10.14",87.04464517,608.4668507,"HILIC",1,"86.07185, 100; 87.04463, 75.1; 88.07771, 47.9; 70.06583, 47.7; 87.09224, 32.8; 86.06061, 17.2; 87.05595, 14.9; 86.09707, 8.4; 59.06116, 5.8; 87.07522, 5.6; 88.11276, 2.5; 69.04539, 2.5; 58.06594, 2.5; 86.08437, 2; 60.04512, 1.8; 69.05788, 1.7; 59.04992, 1.4; 71.04977, 1.4; 63.85334, 1.3; 70.53423, 1.2"
"Alanine",90.055504,678,"HILIC",1,"72.08146, 100; 90.09189, 84.3; 70.06583, 3.9; 90.05549, 3; 72.04513, 1.8; 89.07143, 1.2; 55.055, 1.2; 89.0797, 1; 73.08474, 1"
"beta-Alanine",90.055504,683.4,"HILIC",1,"72.08146, 100; 90.09189, 84.3; 70.06583, 3.9; 90.05549, 3; 72.04513, 1.8; 89.07143, 1.2; 55.055, 1.2; 89.0797, 1; 73.08474, 1"
"Sarcosine",90.055504,636,"HILIC",1,NA
"I93.0578R5.36",93.05775397,321.4714766,"HILIC",1,"94.06567, 100; 93.05791, 4.9; 93.02203, 4.3; 96.04491, 1.7; 71.02974, 1.5; 75.99559, 0.8"
"I96.0449R5.35",96.04490153,320.9561097,"HILIC",1,"95.06087, 100; 96.05972, 16.5; 96.0449, 12.3; 68.05019, 11.8; 97.07652, 11.4; 96.08129, 4; 54.03462, 3.9; 69.04949, 1.4"
"I104.1074R10.68",104.1073724,641.0484594,"HILIC",1,"104.10742, 100; 60.08114, 9.9; 103.12998, 4.6; 105.11076, 2.4; 58.06591, 2; 104.07106, 1.5; 86.06068, 1.5; 104.08226, 1; 62.06076, 0.7"
"Serine",106.050419,711.6,"HILIC",1,NA
"I107.0734R9.09",107.0733634,545.6709823,"HILIC",1,"107.0734, 100; 108.07917, 60.5; 106.08672, 44.3; 88.07632, 31.5; 70.06582, 18.6; 107.04949, 13.1; 106.06548, 6.2; 108.05659, 5.5; 107.06108, 4.8; 58.06588, 4.4; 92.05004, 4.3; 107.09006, 3.7; 66.03453, 3.4; 78.69231, 3.3; 78.36729, 3.2; 97.28983, 3.1; 67.42222, 3; 85.51638, 3; 87.09217, 2.9; 53.47317, 2.7"
"Hypotaurine",110.027576,681.6,"HILIC",1,"110.07162, 100; 111.09199, 29.2; 111.05565, 19.7; 109.07641, 13.3; 110.06038, 12.7; 111.06683, 4.2; 83.06096, 3.9; 69.04538, 3.5; 111.075, 2.5; 70.0406, 2.1; 70.06579, 1.9; 93.04509, 1.6; 81.04527, 0.9; 109.05293, 0.9; 68.05022, 0.7; 110.09676, 0.7; 110.02756, 0.7; 82.05316, 0.6"
"Cytosine",112.051087,444.6,"HILIC",1,"95.06087, 100; 112.08727, 7.4; 111.09204, 7.1; 70.06583, 4.5; 113.10764, 4.4; 96.08127, 3.6; 96.0612, 3.5; 113.07129, 3.3; 112.05088, 2.5; 112.07826, 1.9; 111.0557, 1.9; 112.0951, 1.5; 112.06102, 1; 111.07088, 1; 112.11237, 0.8; 68.05017, 0.7; 59.06118, 0.6; 83.06093, 0.6"
"I116.0709R8.8",116.0709257,528.2851637,"HILIC",1,"70.06581, 100; 116.07087, 47.6; 72.08077, 4.2; 71.06931, 2.6; 117.06872, 2.4; 87.05593, 1.3; 115.12324, 1.2; 116.10726, 0.9; 98.09684, 0.8; 99.05581, 0.7; 117.02164, 0.7; 115.08939, 0.6"
"I118.0864R7.19",118.0863989,431.2936762,"HILIC",1,"118.08647, 100; 59.07371, 4.5; 58.06589, 3.6; 119.08982, 2.5"
"Homoserine",120.066069,679.2,"HILIC",1,NA
"Threonine",120.066069,655.2,"HILIC",1,NA
"I120.0811R5.29",120.0810534,317.567317,"HILIC",1,NA
"I121.032R8.27",121.0319755,496.2654472,"HILIC",1,"121.032, 100; 61.0114, 18.6; 62.01923, 13.2; 75.02695, 2.6; 122.03822, 2.3; 63.0271, 2.1; 103.02171, 0.9"
"I121.0684R10.7",121.0683869,642.0609838,"HILIC",1,"121.06841, 100; 63.02703, 78.9; 122.0714, 36.8; 74.06068, 28.3; 59.04986, 19.1; 122.09655, 17.6; 121.07623, 5.6; 120.08098, 4.8; 56.05019, 3.9; 121.09503, 3.9; 81.0453, 3.4; 82.49066, 2.6; 120.09066, 2.4; 53.5322, 2.4; 76.43861, 2.4; 89.40018, 2.4; 126.66946, 2.4; 91.31313, 2.3; 107.5286, 2.3; 89.27676, 2.2; 74.78877, 2.2"
"Vitamin B3",124.039854,160.8,"HILIC",1,"124.08713, 100; 125.10751, 49.9; 125.0824, 33.9; 125.07124, 15.7; 124.07643, 4.9; 100.02481, 4; 125.09034, 3.4; 124.11237, 3.4; 123.09194, 3.2; 83.06095, 3; 107.06079, 2.8; 84.05619, 2.1; 101.02555, 1.9; 97.07645, 1.9; 84.04498, 1.4; 70.06581, 1.3; 123.04059, 1.3; 82.01439, 1.3; 123.05566, 1.2; 123.06939, 0.8; 102.02238, 0.6; 118.03513, 0.6"
"I130.05R11.1",130.050048,665.9210447,"HILIC",1,"130.04871, 100; 84.04593, 76; 112.03673, 20; 114.09164, 18.8; 130.08636, 15; 129.06603, 13.2; 130.1593, 10.1; 131.11806, 9.5; 129.1024, 7.4; 85.02906, 6.7; 131.03738, 5.1; 83.06093, 3.6; 102.05549, 2.7; 113.02361, 2.7; 130.06519, 2.2; 130.09745, 1.9; 111.05544, 1.3; 59.06113, 1; 131.08141, 0.9; 148.67453, 0.9; 113.07124, 0.9; 65.85174, 0.9; 123.34173, 0.8; 71.37144, 0.8; 133.68968, 0.8; 57.25389, 0.8; 90.64259, 0.8; 134.1745, 0.8; 125.9045, 0.8; 129.07736, 0.8; 91.15017, 0.7; 69.54247, 0.7; 93.25442, 0.7; 86.29333, 0.7; 85.93565, 0.7; 68.38651, 0.7; 107.66518, 0.7; 61.00084, 0.7; 76.37401, 0.7; 63.58412, 0.7; 71.51575, 0.7; 68.71929, 0.7; 51.34872, 0.7; 100.24065, 0.7; 65.43417, 0.7; 104.36656, 0.7; 106.03456, 0.7; 79.99648, 0.7; 71.54296, 0.6; 94.40057, 0.6; 112.3596, 0.6; 64.71566, 0.6; 79.14597, 0.6; 95.16517, 0.6; 55.98895, 0.6; 89.41602, 0.6; 63.96688, 0.6; 54.94443, 0.6; 104.64256, 0.6; 60.28411, 0.6; 71.06061, 0.6; 62.43143, 0.6; 71.15626, 0.6"
"I131.0704R10.12",131.0704165,606.9629787,"HILIC",1,"132.10199, 100; 131.07037, 53.5; 57.03347, 20.2; 103.0394, 15.3; 114.09164, 12.3; 71.04985, 11.8; 61.02917, 9.7; 71.0134, 6.1; 113.06006, 4.5; 99.04454, 3.8; 88.07622, 3.7; 131.0817, 3.2; 131.118, 2.6; 130.12271, 2.6; 131.03708, 2.5; 70.06577, 1.1; 86.09695, 1; 117.05478, 0.9; 130.0694, 0.9; 130.1593, 0.8; 130.08621, 0.8; 84.08125, 0.7; 79.03538, 0.6; 71.0611, 0.6; 99.94093, 0.6; 122.06444, 0.6; 138.65514, 0.6"
"Creatine",132.077302,680.4,"HILIC",1,"132.10199, 100; 114.09164, 10.3; 133.10522, 3.4; 132.0768, 2.8; 70.06586, 1.9; 88.07623, 1.8; 90.05542, 0.9; 74.02434, 0.7; 85.04836, 0.7; 86.09682, 0.6"
"I132.102R9.3",132.101973,558.184633,"HILIC",1,"132.10195, 100; 133.10526, 3.2; 58.06587, 1.2; 60.08152, 1; 73.02906, 0.7; 59.0737, 0.6"
"I132.102R6.53",132.102017,391.7549062,"HILIC",1,"132.10194, 100; 58.06588, 5.9; 59.0737, 5.4; 133.10526, 3.2; 114.0916, 1.9; 86.09699, 0.8"
"Asparagine",133.061318,711.6,"HILIC",1,NA
"Ornithine",133.097703,1007.4,"HILIC",1,NA
"Aspartic acid",134.045334,771.6,"HILIC",1,NA
"I134.0813R10.18",134.0812695,610.8642431,"HILIC",1,"134.08124, 100; 135.04762, 58.9; 73.0291, 33.8; 63.02703, 32.1; 134.07205, 23.1; 58.06587, 22.2; 62.06082, 15.3; 135.09665, 14.4; 133.10551, 13.7; 117.07871, 9.8; 116.07088, 9; 134.09647, 8.8; 72.08141, 7.6; 133.07631, 3.7; 135.06671, 3.1; 135.08482, 3.1; 107.04921, 1.9; 112.18903, 1.9; 92.14463, 1.9; 61.67022, 1.9; 77.24031, 1.8; 72.02654, 1.8; 55.12513, 1.7; 120.51416, 1.7; 60.52029, 1.6"
"DMSP",135.047977,559.5,"HILIC",1,"135.04752, 100; 73.02908, 57.8; 63.02704, 53.5; 136.05007, 2.3; 55.01862, 1.9; 74.03243, 0.8; 61.01143, 0.7; 64.02878, 0.7; 114.05525, 0.6"
"I136.0508R7.09",136.0507939,425.480355,"HILIC",1,"95.0609, 100; 136.0605, 90.2; 136.08704, 55.8; 136.05071, 37.3; 90.0457, 28.1; 137.04578, 26.5; 136.11207, 21; 136.07575, 18.2; 64.03026, 16.7; 135.09673, 15.4; 137.10742, 13; 109.07638, 7.8; 137.08246, 6; 137.07103, 5.6; 85.02903, 4; 135.09155, 3.3; 136.02154, 2.7; 135.06663, 2.4; 136.10303, 2.4; 110.07183, 2.3; 134.03624, 1.3; 95.55695, 1.3; 78.20219, 1.2; 120.09462, 1.2; 108.05609, 1.1; 69.17332, 1.1; 98.77731, 1.1; 57.96737, 1.1; 65.48399, 1.1; 115.39027, 1.1; 104.68243, 1.1; 96.13373, 1.1; 64.26604, 1.1; 117.35629, 1.1; 98.36456, 1.1; 103.62711, 1.1; 92.29008, 1; 76.42995, 1; 55.78654, 1; 108.55973, 1; 101.46804, 1; 50.62292, 1; 65.11148, 1; 134.95015, 1; 79.94245, 1; 98.20818, 1; 85.62806, 1; 53.17469, 1; 143.88516, 1; 60.33573, 1; 58.50202, 1; 133.40071, 1; 96.13895, 1; 97.76218, 1; 58.89027, 1; 67.6197, 0.9; 60.14315, 0.9; 65.31797, 0.9; 78.61413, 0.9"
"Adenine",136.06232,283.2,"HILIC",1,"136.06184, 100; 137.06802, 2.9; 95.06088, 1.3; 137.05922, 0.9"
"I137.0459R6.2",137.0458775,372.2149785,"HILIC",1,"137.04588, 100; 138.05502, 19.8; 138.05203, 11.7; 136.06192, 3.4; 137.10742, 3; 95.06089, 2.9; 138.1026, 2; 136.087, 1.8; 137.08237, 1.7; 137.07117, 1.3; 136.11226, 0.9; 96.04488, 0.7; 138.04272, 0.7; 110.07154, 0.7; 119.03568, 0.6; 136.07587, 0.6; 94.06567, 0.6"
"I137.0459R7.49",137.0458872,449.4238978,"HILIC",1,"138.05308, 100; 137.04588, 5.7; 94.06564, 1.2; 110.06046, 0.8"
"I138.0549R5.35",138.0548868,321.127119,"HILIC",1,"138.05495, 100; 139.05825, 3.4; 96.04488, 2.3; 94.06563, 2; 124.03949, 1.5"
"I138.055R7.72",138.054973,462.9418971,"HILIC",1,"138.05326, 100; 139.05824, 3.9; 94.0656, 1; 137.04588, 0.9; 139.12302, 0.7"
"I141.0659R7.2",141.0658822,432.0951942,"HILIC",1,"141.06696, 100; 140.06827, 9.8; 74.09713, 3.3; 142.06915, 3.2; 97.07656, 2.6"
"I143.0816R7.97",143.0815933,478.4273219,"HILIC",1,"143.08154, 100; 97.07651, 26.6; 144.10197, 5.9; 143.15434, 5.5; 100.11253, 4.4; 100.03974, 3.7; 101.07139, 2.9; 143.1179, 2.6; 102.05541, 2.5; 144.08539, 2.3; 72.08145, 1.8; 99.02437, 1.2; 125.07114, 0.9; 144.08151, 0.7; 98.07987, 0.6"
"I144.1019R6.44",144.1019499,386.2657313,"HILIC",1,"144.10192, 100; 121.96638, 15.1; 144.98219, 5.3; 145.10522, 4; 103.95722, 2.1; 62.92979, 1.5; 84.0814, 0.7"
"I145.0608R10.18",145.0608101,610.8323968,"HILIC",1,"121.96638, 100; 144.98218, 40.7; 145.06079, 36.2; 146.1176, 25; 103.95604, 12.5; 99.05569, 11.2; 87.0446, 8.9; 57.04555, 7.6; 62.92984, 6.5; 60.0816, 5.8; 100.03985, 5; 144.08087, 1.9; 145.07625, 1.8; 144.10213, 1.8; 145.02797, 1.5; 145.09755, 1.4; 144.03273, 1.3; 63.13889, 1.2; 58.02949, 1.2; 103.82504, 1.2; 74.43037, 1.1; 79.15066, 1.1; 50.2215, 1.1; 99.04656, 1"
"Glutamine",147.076968,702,"HILIC",1,"123.96458, 100; 146.98039, 34.6; 148.10806, 22.7; 105.95416, 9.6; 64.92798, 8.3; 147.09944, 7; 148.09698, 6.2; 147.05534, 1.9; 148.08723, 1.7; 147.0925, 1.4; 133.96015, 1.3; 122.96979, 1.1; 121.96624, 1; 130.04989, 0.9; 146.09218, 0.6; 146.97366, 0.6"
"Lysine",147.113353,1050,"HILIC",1,"123.96458, 100; 146.98038, 29.5; 84.08138, 17.1; 130.08641, 11.9; 105.95438, 8.4; 64.92804, 8; 148.09706, 7.8; 148.10597, 5.3; 148.0869, 4.4; 147.11281, 2.3; 147.05566, 1.9; 147.09172, 1.9; 146.07169, 1.7; 147.07632, 1.6; 146.11771, 1.5; 102.07137, 1.2; 133.95978, 1.2; 146.06007, 1.1; 52.03845, 1.1; 52.83602, 1.1; 61.01924, 1; 74.33011, 1; 103.02603, 1; 74.38447, 0.9; 134.37292, 0.9; 97.38383, 0.9; 142.76318, 0.9; 61.16191, 0.9; 71.41246, 0.9"
"I148.0605R12.12",148.0604571,727.2183115,"HILIC",1,"84.04501, 100; 130.05001, 56.6; 102.05541, 50; 148.10781, 41.1; 148.06066, 23.3; 148.09693, 11.1; 148.08711, 5.2; 84.04499, 3.2; 149.0822, 3; 85.04835, 3; 123.96452, 2.5; 85.029, 1.7; 131.05331, 1.7; 149.10923, 1.6; 147.09924, 1.3; 88.03991, 1.3; 131.0341, 1.2; 100.07622, 1.2; 56.05031, 1.1; 124.96798, 0.9; 103.05878, 0.8; 149.06378, 0.7"
"beta-Glutamic acid",148.060984,714,"HILIC",1,"84.04501, 100; 130.04998, 54.7; 102.05543, 48.1; 148.10708, 46.7; 148.06063, 23.3; 148.09691, 11.3; 148.08714, 4.9; 88.0399, 4.7; 85.04835, 3; 149.08235, 2.9; 123.96448, 2.5; 149.10909, 1.9; 85.029, 1.7; 131.05331, 1.7; 147.09927, 1.4; 100.07618, 1.2; 131.0341, 1.2; 56.05031, 1.1; 124.96786, 0.9; 103.05878, 0.8; 149.06378, 0.7"
"I148.0968R8.21",148.0968289,492.3090337,"HILIC",1,"148.09677, 100; 147.04749, 5.3; 58.06589, 4.8; 104.07097, 4.3; 149.10021, 3; 102.09179, 2.5; 85.02897, 2.4; 123.96453, 1.8; 148.05115, 1; 61.01136, 0.8; 147.12098, 0.6; 146.98028, 0.6"
"I149.0631R10.15",149.0631499,608.7510481,"HILIC",1,"87.0446, 100; 148.10596, 85.2; 149.10841, 19.8; 149.08211, 11.1; 63.02703, 10.7; 148.09698, 7.8; 149.07092, 6.5; 150.09151, 4.7; 150.10278, 3.9; 148.08698, 3.7; 148.12276, 3.2; 88.04803, 2.8; 150.12794, 1.9; 149.06361, 1.8; 100.07604, 1.1; 89.04893, 0.7; 120.04459, 0.7; 148.13358, 0.7; 93.27065, 0.7; 116.09648, 0.6; 66.21967, 0.6; 149.6387, 0.6; 169.29317, 0.6; 107.11597, 0.6; 93.38021, 0.6; 149.02353, 0.6; 152.21892, 0.6; 68.3215, 0.6; 60.08178, 0.6; 50.91764, 0.6"
"Methionine",150.058876,477.6,"HILIC",1,NA
"I150.0775R6.27",150.0774891,376.277913,"HILIC",1,"76.07635, 100; 150.07748, 54.7; 150.10249, 4.6; 151.14423, 3.5; 150.0914, 2.9; 59.07375, 2.9; 58.0659, 2.9; 149.08237, 2.5; 150.11255, 2.2; 151.08662, 2.1; 150.12759, 1.6; 109.07642, 1.3; 151.0808, 1.1; 151.09781, 0.9; 150.05499, 0.8; 127.99583, 0.8; 149.10724, 0.8; 132.10233, 0.7"
"I151.1441R6.61",151.1441453,396.8044087,"HILIC",1,"76.07634, 100; 152.07069, 4.5; 58.06591, 3.1; 59.07373, 3; 151.14436, 2.7; 150.0775, 2.6; 77.07966, 1.3; 152.04729, 0.9; 151.08678, 0.9; 151.08095, 0.6"
"I152.0567R7.37",152.0567315,442.0560373,"HILIC",1,"152.05677, 100; 152.07067, 67; 152.04744, 33.2; 107.07209, 24.6; 136.05072, 16.7; 56.05027, 10.1; 153.0721, 9; 152.08152, 7.1; 152.11829, 6.2; 151.08684, 5.7; 102.05546, 5.4; 153.13865, 5.3; 153.04074, 5.3; 59.07373, 4.7; 111.05569, 4.6; 76.07638, 4.5; 64.0302, 3.3; 151.0616, 2.9; 110.07162, 2.8; 153.10236, 2.6; 58.06592, 2.6; 153.06, 2.3; 153.08034, 1.7; 151.12293, 1.7; 152.10708, 1.6; 135.0302, 1.5; 151.098, 1.4; 111.06701, 1.3; 128.01942, 0.9; 123.03023, 0.7; 134.05995, 0.6; 127.99588, 0.6"
"I152.0567R8.12",152.0567341,487.3730565,"HILIC",1,"152.05668, 100; 153.04068, 4.3; 152.0473, 2.5; 153.05999, 2.4; 135.03014, 1.5; 153.07091, 0.9; 110.03526, 0.8; 151.08674, 0.8; 153.0535, 0.7; 128.04556, 0.7; 153.13859, 0.7; 59.07369, 0.6; 111.05554, 0.6; 152.11816, 0.6"
"I152.0707R9.08",152.0706519,544.8104584,"HILIC",1,"152.0706, 100; 153.07112, 3.9; 107.07332, 1.3; 152.05659, 0.8; 134.0601, 0.8; 152.04733, 0.6"
"I154.0532R5.23",154.0532475,313.6787607,"HILIC",1,"154.05328, 100; 153.06996, 8.7; 153.13859, 6.6; 154.09974, 4.1; 154.04457, 2.7; 153.10241, 2.4; 58.06589, 2.3; 155.05666, 1.6; 59.0737, 1.5; 95.06085, 1.3; 73.08925, 1.2; 154.07872, 1.2; 155.08169, 1.1; 112.08733, 1.1; 154.08659, 0.8; 154.13416, 0.8; 154.12268, 0.8; 153.11345, 0.8; 154.14151, 0.7; 155.11818, 0.7; 125.07911, 0.7; 137.07109, 0.6; 97.08437, 0.6; 136.08672, 0.6"
"I154.0723R8.97",154.0723038,538.1946704,"HILIC",1,NA
"I155.0815R8.72",155.0814682,523.2312039,"HILIC",1,"155.08147, 100; 156.08267, 4.2; 109.07644, 2; 110.08218, 1.4; 111.08986, 0.7"
"Histidine",156.077302,687,"HILIC",1,"132.96594, 100; 58.0659, 47.5; 155.0815, 42.3; 156.1384, 39.9; 114.09168, 34.3; 150.97661, 34.2; 115.96447, 31.1; 110.07182, 30; 111.06875, 29; 56.96557, 27.6; 114.95569, 26.3; 155.9819, 25.4; 95.06086, 19.4; 155.11806, 19.4; 74.93162, 17.5; 156.07676, 11.3; 173.99283, 10.5; 97.99192, 9.3; 138.06631, 8.7; 156.10239, 8.6; 133.96686, 7.9; 157.17012, 5.9; 133.46483, 3.8; 152.07492, 3.8; 157.0976, 3.7; 157.07458, 3.6; 123.5021, 3.4; 114.06651, 3.3; 176.04268, 3.3; 77.25456, 3.3; 155.15436, 3.3; 76.37035, 3.2; 122.63966, 3.1; 59.0611, 3.1; 88.40899, 3.1; 101.37315, 3; 143.3871, 3; 54.38435, 3; 94.32428, 2.9; 63.80234, 2.9; 99.21764, 2.9; 55.29832, 2.8; 108.00776, 2.8; 64.68637, 2.8; 158.89992, 2.7; 98.27734, 2.7; 75.25239, 2.7; 55.14523, 2.5; 148.88535, 2.5; 52.13844, 2.5"
"I157.0973R7.33",157.0972657,439.6191021,"HILIC",1,"157.0972, 100; 157.17, 17.5; 113.10772, 6.8; 115.96437, 6.1; 156.04213, 3.6; 158.09941, 3; 158.15392, 2.9; 58.06587, 2.6; 157.13371, 2.3; 111.09206, 2.3; 95.06079, 1.7; 72.08144, 1.7; 116.08203, 1.1; 157.04552, 1; 158.1176, 0.9; 156.99055, 0.8; 156.13853, 0.8; 98.07172, 0.7; 59.06113, 0.7; 99.05576, 0.7; 70.06576, 0.7; 95.04966, 0.6; 112.07608, 0.6; 74.93818, 0.6"
"I158.0813R7.81",158.0813005,468.4200854,"HILIC",1,"158.08118, 100; 158.11758, 44.1; 158.15397, 31.3; 157.16996, 22.4; 157.09718, 17.3; 72.08143, 11; 158.09623, 9.5; 99.04453, 6.4; 130.08621, 6.1; 98.09685, 5.8; 158.16938, 5.6; 58.06626, 5.3; 111.09199, 4.9; 159.08059, 4.4; 95.04954, 3.5; 141.13865, 3.5; 72.04504, 3.4; 158.04795, 3.4; 159.09167, 2.9; 117.05466, 2.9; 141.00045, 2.8; 70.06573, 2.7; 117.05502, 2.6; 159.06536, 2.3; 116.08213, 2; 99.05578, 1.9; 117.95989, 1.5; 158.12874, 1.4; 112.07583, 1.3; 157.13398, 1.3; 100.07612, 1.3; 98.07173, 1.2; 141.06573, 1; 140.07048, 0.9; 159.0433, 0.8; 141.10211, 0.7; 159.12083, 0.6; 57.03419, 0.6; 85.02892, 0.6; 114.09155, 0.6"
"I158.1176R5.48",158.117615,328.6930953,"HILIC",1,"158.1176, 100; 157.17003, 6.5; 158.09705, 5.5; 158.15408, 4.1; 159.12089, 3.1; 72.08149, 2.1; 98.09679, 1.7; 95.04962, 1.6; 116.08204, 1.4; 141.00045, 1.3; 99.05571, 1.2; 158.17072, 1; 116.04729, 1; 158.04786, 0.9; 141.13855, 0.8; 98.07167, 0.6; 58.0659, 0.6"
"I160.037R5.34",160.0369543,320.1758161,"HILIC",1,"116.0474, 100; 160.03707, 14.5; 159.12104, 6.5; 160.13336, 3.8; 117.05075, 2.5; 160.09669, 2.1; 160.08723, 1.8; 72.0815, 1.2; 157.07372, 0.9; 120.0811, 0.6; 159.09198, 0.6; 159.11385, 0.6"
"I160.0969R8.37",160.096881,502.2138686,"HILIC",1,"160.09673, 100; 161.10011, 3.7; 88.07622, 1.1; 101.06006, 0.7"
"I160.0969R6.82",160.0969008,409.2745036,"HILIC",1,"160.09685, 100; 160.13319, 5.8; 98.09698, 3.2; 118.08654, 2.6; 161.10025, 2.6; 72.0814, 2.3; 159.10104, 0.9; 161.08225, 0.9; 142.08636, 0.8; 159.11254, 0.7"
"I160.0969R7.56",160.0969025,453.7895163,"HILIC",1,"160.09681, 100; 116.04734, 11.6; 160.03892, 3; 160.13305, 2.9; 160.10809, 2.8; 161.10014, 2.8; 118.0865, 2; 159.09179, 1.4; 72.08142, 1.1; 114.09158, 1; 142.08618, 0.7"
"I161.0631R9.25",161.0631374,555.1330923,"HILIC",1,"161.06315, 100; 99.04454, 49.8; 63.02707, 47; 57.03429, 31.6; 160.09687, 29.4; 162.11242, 11.2; 61.01225, 7.1; 71.04984, 5.7; 161.10009, 4.7; 81.03413, 4.5; 162.06655, 2.6; 100.04789, 1.4; 161.03802, 1.4; 103.03958, 1.2; 160.13326, 1.1; 162.10311, 1.1; 162.04302, 1; 138.01675, 0.9; 144.06566, 0.8; 60.08161, 0.7"
"I162.1125R8.11",162.1124785,486.3543587,"HILIC",1,"162.11246, 100; 58.0659, 4.3; 163.11581, 3.7; 59.07372, 2.3"
