mz,mz_obs,compound,file_name,rt,rtmin,rtmax,MS2s
76.03986,76.03993,Glycine,201110_Std_4uMStdsMix1InH2O_20pos1,11.606,10.806,12.406,NA
76.07624,76.07635,Trimethylamine N-oxide,201110_Std_4uMStdsMix1InH2O_20pos1,7.423,6.623,8.223,"58.06591, 100; 59.07372, 92.9; 76.07637, 68.8"
90.0555,90.05545,Alanine,201110_Std_4uMStdsMix1InH2O_20pos1,10.917,10.117,11.717,"72.08152, 100; 90.09258, 78.5; 90.05553, 32.5; 92.27773, 2.8; 70.06583, 2.7; 57.96981, 2.5; 102.23164, 2.5; 58.38361, 2.4; 75.58733, 2.4; 65.66813, 2.3; 95.29, 2.3; 107.60126, 2.2; 104.23149, 2.2; 53.31612, 2.2; 107.01479, 2.2; 52.1347, 2.1; 94.24454, 2; 55.01447, 1.9"
104.07115,104.07103,Aminobutyric Acid,201110_Std_4uMStdsMix1InH2O_20pos1,11.801,11.001,12.601,"104.10748, 100; 87.04472, 15.7; 60.08159, 14.3; 86.0607, 5.3; 58.06618, 4.3; 69.03425, 3.2; 104.07114, 2.9"
104.07115,104.07107,Dimethyl Glycine,201110_Std_4uMStdsMix1InH2O_20pos1,8.549,7.749,9.349,"58.06593, 100; 104.07105, 32.7; 104.10746, 4.9; 86.0607, 2.1; 60.08157, 0.7; 57.03431, 0.6"
104.10754,104.10741,Choline,201110_Std_4uMStdsMix1InH2O_20pos1,16.178,15.378,16.978,"104.10747, 100; 60.08158, 14.7; 58.06621, 1.1"
106.05042,106.05022,Serine,201110_Std_4uMStdsMix1InH2O_20pos1,11.363,10.563,12.163,NA
116.07115,116.07086,Proline,201110_Std_4uMStdsMix1InH2O_20pos1,9.345,8.545,10.145,"70.06585, 100; 116.07097, 39.1; 116.10737, 4.2; 116.14378, 2.4; 74.09714, 1.5; 58.06594, 0.7"
118.03266,118.03237,Homocysteine Thiolactone,201110_Std_4uMStdsMix1InH2O_20pos1,2.705,1.905,3.505,"118.08656, 100; 90.03777, 16.3; 58.06591, 6.9; 59.07372, 6.7; 118.06548, 5.7; 118.12292, 3.8; 118.03246, 3.7; 56.05028, 3.6; 100.0221, 1.7; 100.11246, 1.3; 53.03941, 1; 95.04961, 0.9; 90.00135, 0.9; 73.01131, 0.7; 101.00606, 0.6; 72.08148, 0.6"
118.08681,118.08654,Betaine,201110_Std_4uMStdsMix1InH2O_20pos1,7.847,7.047,8.647,"118.08654, 100; 59.07373, 8; 58.06592, 6.6"
