mz,mz_obs,compound,file_name,rt,rtmin,rtmax,MS2s
120.0657,120.0657,Threonine,201110_Std_4uMStdsMix1InH2O_20pos1,9.958,9.158,10.758,NA
120.06607,120.06577,Homoserine,201110_Std_4uMStdsMix1InH2O_20pos1,11.045,10.245,11.845,NA
132.06607,132.06563,trans Hydroxyl proline,201110_Std_4uMStdsMix1InH2O_20pos1,10.862,10.062,11.662,"86.06068, 100; 132.06573, 67; 68.05023, 23; 132.10212, 10.3; 114.05533, 3; 114.09175, 1.3; 86.09707, 1.3; 58.06598, 0.7"
132.0773,132.07684,Creatine,201110_Std_4uMStdsMix1InH2O_20pos1,11.221,10.421,12.021,"90.05558, 100; 132.07698, 84.3; 114.06661, 2.9; 87.0559, 2.8; 132.10207, 2.2; 115.05057, 1.4; 86.072, 0.6"
132.10245,132.1021,Leucine,201110_Std_4uMStdsMix1InH2O_20pos1,7.664,6.864,8.464,"86.09704, 100; 132.10115, 21.8; 87.04466, 5.2; 114.09167, 3.8; 69.07061, 3.7"
133.06133,133.06088,Asparagine,201110_Std_4uMStdsMix1InH2O_20pos1,10.906,10.106,11.706,NA
134.04533,134.04485,Aspartic acid,201110_Std_4uMStdsMix1InH2O_20pos1,11.428,10.628,12.228,"74.0233, 100; 88.03853, 85; 92.05988, 25.5; 134.08119, 17.1; 134.07159, 16.3; 134.09647, 15.7; 116.03448, 13.3; 134.04509, 12.3; 86.09695, 7.7; 62.96575, 5.7; 98.43198, 5.3; 50.48403, 5; 86.33418, 5; 80.90421, 4.4; 134.10583, 4.3"
136.06232,136.06187,Adenine,201110_Std_4uMStdsMix1InH2O_20pos1,5.402,4.602,6.202,"136.06192, 100; 119.03557, 1.1; 137.04597, 0.9"
138.0555,138.05505,Trigonelline,201110_Std_4uMStdsMix1InH2O_20pos1,8.397,7.597,9.197,"138.05507, 100; 94.0657, 2.2; 110.06055, 1.7; 138.09143, 0.8; 92.05007, 0.6"
144.10245,144.10202,Stachydrine hydrochloride,201110_Std_4uMStdsMix1InH2O_20pos1,7.263,6.463,8.063,"144.102, 100; 84.08179, 2; 58.06593, 1.7"
146.1181,146.11755,(3-Carboxypropyl)trimethylammonium (TMAB),201110_Std_4uMStdsMix1InH2O_20pos1,10.314,9.514,11.114,"146.11768, 100; 87.04469, 53.7; 60.08158, 31.9"
147.07697,147.07643,Glutamine,201110_Std_4uMStdsMix1InH2O_20pos1,11.045,10.245,11.845,"130.05015, 100; 84.04507, 65.8; 123.96471, 19.7; 147.07655, 11.1; 147.12112, 10.2; 101.07146, 6.1; 146.98061, 4.6; 88.04809, 3.1; 87.04462, 3.1; 64.92796, 2; 105.9542, 1.9; 102.05555, 1.7; 60.08165, 1.5; 61.08494, 1.2; 147.05595, 1; 70.89788, 0.8; 77.01209, 0.8; 86.93654, 0.8; 90.62994, 0.7; 143.79054, 0.7; 93.48486, 0.7; 123.03157, 0.7; 148.00497, 0.7; 69.75565, 0.7; 58.03716, 0.7; 102.54303, 0.7; 133.98997, 0.6; 113.27444, 0.6; 74.95727, 0.6; 50.85111, 0.6; 59.68658, 0.6; 58.72182, 0.6; 53.7308, 0.6; 83.44001, 0.6"
148.06099,148.06041,N-Acetyl-Serine,201110_Std_4uMStdsMix1InH2O_20pos1,5.846,5.046,6.646,"88.0399, 100; 106.05039, 73.8; 148.08709, 50.7; 148.11225, 49.8; 60.04523, 26.6; 148.09711, 25.9; 58.8049, 8.2; 149.47356, 7.3; 124.14899, 6.6; 100.07641, 6.5; 148.07603, 6.5; 128.72714, 6.4; 119.42365, 6.4; 136.64471, 6.3; 102.05524, 6.2; 87.34212, 6.1; 69.72169, 6.1; 105.10305, 6.1; 59.3515, 5.7; 153.80452, 5.6; 86.85716, 5.6; 50.20866, 5.3; 53.76129, 5.3; 50.62586, 5.3; 51.21808, 5.3; 52.18945, 5.3; 60.1718, 5.3; 86.3765, 5.2; 64.17881, 5.2; 96.60164, 5.2; 134.67357, 5.1; 57.78716, 5"
148.06099,148.06044,Glutamic acid,201110_Std_4uMStdsMix1InH2O_20pos1,11.145,10.345,11.945,"84.04506, 100; 102.05551, 43.9; 130.05017, 41.9; 148.0605, 17.4; 148.09705, 12.4; 131.05094, 9; 148.08709, 6.9; 148.11225, 5.7; 85.04851, 3.5; 124.01825, 2.7; 148.03918, 2.3; 100.07614, 1.9; 85.02904, 1.3; 148.07547, 1.3; 111.48595, 1.2; 104.04754, 1.2; 75.21811, 1.2; 136.00653, 1.1; 74.31219, 1.1; 106.44539, 1.1; 99.53881, 1.1; 56.05028, 1.1; 56.40812, 1.1; 59.42739, 1.1; 108.66763, 1.1; 53.55136, 1; 77.57709, 1; 124.08722, 1; 86.12656, 1; 76.06886, 1; 108.5914, 1; 112.97334, 1; 118.82133, 1; 55.04298, 1; 117.51545, 1; 71.53358, 1; 68.16039, 1; 59.14017, 0.9; 60.71156, 0.9; 92.66754, 0.9; 148.63771, 0.9; 85.71402, 0.9; 55.42662, 0.9"
150.05887,150.05826,Methionine,201110_Std_4uMStdsMix1InH2O_20pos1,7.413,6.613,8.213,"104.05333, 100; 133.03199, 69.3; 56.05029, 43.7; 102.05546, 22.8; 150.05859, 21; 61.01144, 12.5; 87.02692, 4.5; 74.06078, 4.4; 150.1125, 2.2; 74.02427, 2.1; 150.10276, 1.6; 150.12802, 1.6; 150.09163, 1.5; 150.02704, 1.4; 84.04505, 1.1; 85.02907, 1.1; 105.03756, 0.6"
156.0773,156.0769,Histidine,201110_Std_4uMStdsMix1InH2O_20pos1,10.985,10.185,11.785,"110.07171, 100; 156.07689, 41.5; 95.06096, 5.7; 83.06108, 1.8; 113.10774, 1.8; 93.04539, 0.8; 132.96612, 0.8; 156.13849, 0.7; 156.11342, 0.6; 58.06599, 0.6"
162.11302,162.11249,Carnitine,201110_Std_4uMStdsMix1InH2O_20pos1,10.136,9.336,10.936,"162.11254, 100; 103.03946, 9.5; 60.08156, 8.4; 102.0918, 2.2; 162.07623, 2.1; 72.0451, 1.5; 85.029, 1.5; 84.04501, 0.9; 60.04517, 0.6; 138.99287, 0.6; 144.06566, 0.6"
166.05379,166.05333,Methionine Sulfoxide,201110_Std_4uMStdsMix1InH2O_20pos1,9.259,8.459,10.059,NA
168.02907,168.02907,Pyridinedicarboxylic acid,201110_Std_4uMStdsMix1InH2O_20pos1,12.429,11.629,13.229,NA
175.11951,175.11896,Arginine,201110_Std_4uMStdsMix1InH2O_20pos1,19.994,19.194,20.794,"175.1191, 100; 116.07096, 28.9; 60.05642, 27.4; 70.06587, 17.7; 158.09258, 14.4; 130.09776, 9.9; 157.10859, 3.9; 112.08728, 1.9; 114.09167, 1.8; 72.0815, 1.7; 70.06377, 1; 114.10295, 0.9"
176.05589,176.05537,Succinylglycine,201110_Std_4uMStdsMix1InH2O_20pos1,11.273,10.473,12.073,NA
176.10352,176.10304,Citrulline,201110_Std_4uMStdsMix1InH2O_20pos1,11.994,11.194,12.794,"159.07658, 100; 113.07138, 20.8; 70.06589, 11.4; 115.08695, 10.5; 176.10282, 6.7; 118.0866, 4.9; 116.07094, 4.7; 114.05534, 4.1; 141.0659, 1.3; 176.11817, 1.2; 133.09717, 1; 130.09781, 0.9; 115.08264, 0.6"
180.0872,180.08667,Glucosamine,201110_Std_4uMStdsMix1InH2O_20pos1,10.359,9.559,11.159,"162.07627, 100; 84.04506, 75.3; 72.04518, 25.8; 144.06571, 24.7; 97.99192, 23; 126.05531, 20.2; 116.00231, 17.3; 60.04523, 16.2; 98.06055, 13.9; 180.08706, 12.2; 134.01272, 12; 56.96561, 11.2; 85.02902, 11; 114.05536, 9.8; 96.04491, 7.4; 97.029, 4.1; 180.10406, 3.9; 139.01807, 3.7; 127.03922, 3.7; 157.02856, 3.4; 102.05547, 2.5; 70.06593, 2.2; 69.03423, 2.1; 145.04967, 1.8; 108.04494, 1.6; 157.09357, 1.6; 81.03417, 1.5; 115.03941, 1.4; 80.05012, 1.3; 68.05016, 1.3; 109.02881, 1.2; 61.02925, 1.1; 157.04608, 1.1; 103.03953, 1.1; 116.07099, 0.9; 152.02298, 0.9; 86.06072, 0.8; 56.05024, 0.8; 132.06549, 0.8; 84.04234, 0.8; 90.05558, 0.8; 60.04348, 0.8; 180.14935, 0.7; 99.04462, 0.7; 51.55369, 0.6; 92.1647, 0.6"
182.08173,182.08115,Tyrosine,201110_Std_4uMStdsMix1InH2O_20pos1,8.976,8.176,9.776,"136.07584, 100; 165.05477, 84.2; 123.04283, 20.2; 182.08141, 16.4; 147.0442, 13.9; 119.04948, 9.2; 139.12313, 3.3; 182.17054, 1.1; 141.05088, 1; 91.0546, 1; 182.19043, 0.9; 99.9711, 0.8; 159.06163, 0.8; 159.01618, 0.7; 182.12891, 0.6"
189.12392,189.12334,N(e)-Acetyl-Lysine,201110_Std_4uMStdsMix1InH2O_20pos1,9.545,8.745,10.345,"126.09158, 100; 189.1234, 32.1; 84.08077, 13.2; 143.11802, 12.5; 130.08648, 2.1"
190.07155,190.071,Acetylglutamic acid,201110_Std_4uMStdsMix1InH2O_20pos1,10.743,9.943,11.543,NA
204.12358,204.12314,Acetyl-L-carnitine,201110_Std_4uMStdsMix1InH2O_20pos1,8.085,7.285,8.885,"204.12323, 100; 85.02905, 39.7; 145.04968, 19.4; 60.08158, 12.9; 144.10205, 1.9"
218.13924,218.1385,Propionyl-L-carnitine,201110_Std_4uMStdsMix1InH2O_20pos1,6.867,6.067,7.667,"218.13878, 100; 85.02904, 34.7; 159.06532, 21; 60.08157, 8.4; 144.10204, 1.3; 218.49052, 0.7"
230.09633,230.09573,Ergothioneine,201110_Std_4uMStdsMix1InH2O_20pos1,11.115,10.315,11.915,"186.10616, 100; 230.09601, 86.4; 127.03275, 32; 230.14011, 24; 60.08159, 15.8; 230.24825, 3.2; 219.84683, 3; 171.02237, 1.1; 227.46989, 0.7; 230.15329, 0.6"
232.15488,232.15433,Butyryl-L-carnitine,201110_Std_4uMStdsMix1InH2O_20pos1,5.556,4.756,6.356,"232.15439, 100; 85.02904, 24.2; 173.08098, 19.9; 60.08157, 5.9; 218.11115, 0.9; 144.102, 0.8"
241.03168,241.03117,Cystine,201110_Std_4uMStdsMix1InH2O_20pos1,11.658,10.858,12.458,"241.03131, 100; 151.98366, 90.8; 120.01175, 20.6; 195.02592, 19.7; 122.02737, 18.1; 217.86824, 13.2; 153.99927, 10; 177.99935, 6.3; 74.0244, 2.2; 218.01845, 2.1; 227.46883, 1.9; 224.00447, 1.7; 236.01309, 1.5; 218.00455, 1.4; 227.48123, 1.3; 241.20297, 1.1; 85.76956, 1.1; 222.66293, 1.1; 78.26708, 1.1; 66.3156, 1; 252.61052, 1; 259.4418, 1; 64.4502, 1; 82.18111, 1; 74.78455, 1; 78.50414, 1; 133.98679, 1; 52.04467, 1; 207.285, 0.9; 218.05202, 0.9; 83.20453, 0.9; 78.9902, 0.9; 70.1932, 0.9; 150.05771, 0.9; 56.60642, 0.9; 101.40598, 0.9; 65.42606, 0.9; 247.3782, 0.9; 54.18456, 0.9; 61.19403, 0.9; 52.61117, 0.9; 69.99548, 0.8; 211.47594, 0.8; 63.01606, 0.8; 56.17775, 0.8; 62.23765, 0.8"
252.10832,252.10794,Muramic Acid,201110_Std_4uMStdsMix1InH2O_20pos1,10.451,9.651,11.251,"234.09737, 100; 252.10788, 86.7; 216.08685, 66.3; 144.06566, 44.2; 126.05523, 23.3; 84.04502, 19.9; 218.56801, 4.3; 251.99093, 4.2; 96.04487, 4.1; 218.56145, 3.6; 219.43629, 3.4; 98.06052, 2.7; 252.20674, 2.3; 72.04508, 2; 194.08519, 1.3; 252.14371, 1.2; 186.07608, 1.1; 242.99094, 0.6"
258.11066,258.11008,Glycerophosphocholine,201110_Std_4uMStdsMix1InH2O_20pos1,11.438,10.638,12.238,"258.11038, 100; 104.1075, 97.5; 217.48592, 1.9; 184.07372, 1.7; 86.09704, 1; 125.0001, 0.7; 217.47127, 0.6"
260.16504,260.16458,PQS,201110_Std_4uMStdsMix1InH2O_20pos1,2.204,1.404,3.004,"260.16444, 100; 217.49739, 1.3; 217.48409, 1.1"
269.06299,269.06253,Homocystine,201110_Std_4uMStdsMix1InH2O_20pos1,11.877,11.077,12.677,"136.04286, 100; 134.02724, 43.2; 217.26273, 10.2; 118.03263, 7.2; 90.03788, 6.7; 88.0212, 4; 217.24837, 3.8; 269.06279, 2.7; 227.46666, 1.5; 217.27382, 1.4; 69.39075, 1.2; 288.19797, 1.1; 227.48076, 1.1; 204.06133, 1; 226.80899, 1; 178.05527, 1; 62.25702, 1; 269.03436, 1; 122.83459, 0.9; 70.81554, 0.9; 61.49384, 0.9; 122.50809, 0.9; 82.52513, 0.9; 151.52184, 0.9; 88.54849, 0.9; 75.85136, 0.9; 65.56461, 0.9; 95.5335, 0.9; 142.1338, 0.9; 131.30992, 0.9; 177.45139, 0.9; 234.69209, 0.8; 58.14888, 0.8; 69.89622, 0.8; 60.65238, 0.8; 105.55946, 0.8; 68.20876, 0.8; 50.39562, 0.8; 57.40937, 0.8; 59.03996, 0.8"
290.13522,290.13431,Ophthalmic Acid,201110_Std_4uMStdsMix1InH2O_20pos1,10.324,9.524,11.124,"161.09219, 100; 215.10284, 49.6; 58.06594, 41.9; 290.13464, 37.5; 290.26891, 6; 273.10815, 5.4; 227.10276, 4.1; 216.87456, 3.9; 130.05019, 2.8; 197.09246, 2.8; 272.12332, 1.4"
291.13046,291.12979,Argininosuccinic Acid,201110_Std_4uMStdsMix1InH2O_20pos1,13.004,12.204,13.804,"291.12994, 100; 133.09743, 7; 273.11998, 5.7; 216.85298, 4.4; 116.07102, 4; 176.06664, 3.2; 158.09251, 2.6; 228.09822, 2.6; 249.99667, 1.9; 159.07665, 1.7; 115.08689, 1.6; 158.05628, 1.6; 246.1085, 1.1; 291.27219, 1.1; 291.24333, 0.9; 274.10364, 0.8; 268.00674, 0.6"
295.12897,295.12897,Glutamylphenylalaine,201110_Std_4uMStdsMix1InH2O_20pos1,8.482,7.682,9.282,"166.08641, 100; 295.12889, 32.5; 120.0811, 28.6; 278.1026, 11.1; 232.09715, 5.6; 130.05022, 4.1; 84.04509, 1.6; 216.15381, 1.5; 186.09144, 1.4; 149.05989, 1.3; 277.11803, 1; 218.55809, 0.7"
308.09164,308.09097,Glutathione,201110_Std_4uMStdsMix1InH2O_20pos1,11.057,10.257,11.857,"179.04862, 100; 308.09108, 34.2; 162.02207, 31.3; 233.05922, 28.3; 76.02224, 15.7; 130.05012, 5.4; 291.06424, 4.5; 245.05946, 3.6; 220.64516, 2.7; 290.08055, 2.2; 144.01167, 1.7; 215.04886, 1.6; 84.04499, 1.1; 170.02701, 0.9; 205.0641, 0.8; 262.00784, 0.6; 233.07143, 0.6"
345.07864,345.0784,Thiamine monophosphate,201110_Std_4uMStdsMix1InH2O_20pos1,11.61,10.81,12.41,"122.07159, 100; 224.01423, 25.1; 345.07849, 17.9; 216.06857, 6.1; 126.03749, 1.4; 345.14787, 1.3; 216.08063, 1.2; 216.08811, 0.8; 216.05077, 0.6"
355.07462,355.07407,Cys-Gly oxidized,201110_Std_4uMStdsMix1InH2O_20pos1,10.859,10.059,11.659,"355.07414, 100; 177.03297, 35.2; 211.02075, 20.5; 209.00509, 19.3; 235.02079, 17.2; 130.05015, 12.6; 179.04852, 6.5; 215.95931, 4.5; 131.04535, 4.4; 298.05232, 3.1; 145.06093, 2.6; 215.94171, 2.2; 337.06346, 1.5; 143.04533, 1.2; 262.03085, 1.1; 338.04889, 0.8; 107.99416, 0.7; 59.06118, 0.6"
385.12943,385.12897,Adenosyl Homocysteine,201110_Std_4uMStdsMix1InH2O_20pos1,10.057,9.257,10.857,"136.0619, 100; 134.02717, 81.4; 250.07443, 40.1; 385.12882, 25.4; 215.6297, 5; 232.06369, 3.4; 361.96247, 2.4; 88.02209, 2; 99.04455, 1.5; 215.61726, 1.3; 97.02899, 0.6"
399.14508,399.14459,Adenosyl Methionine,201110_Std_4uMStdsMix1InH2O_20pos1,12.803,12.003,13.603,"250.09367, 100; 298.09703, 27; 136.06201, 16.1; 102.05553, 11.3; 264.09067, 8.4; 399.14439, 5.3; 215.48763, 5.3; 215.47348, 4.3; 97.02904, 2.7; 59.06116, 2.5; 163.04263, 1.5; 215.50043, 1.3; 215.46416, 1.2; 145.03192, 1; 227.48125, 0.8; 79.70687, 0.8; 215.51143, 0.8; 215.45154, 0.7; 418.6933, 0.6"
425.04498,425.04428,Thiamine pyrophosphate,201110_Std_4uMStdsMix1InH2O_20pos1,13.121,12.321,13.921,NA
76.03986,76.03993,Glycine,201110_Std_4uMStdsMix1InH2O_20pos2,11.679,10.879,12.479,NA
76.07624,76.07635,Trimethylamine N-oxide,201110_Std_4uMStdsMix1InH2O_20pos2,7.43,6.63,8.23,"58.06592, 100; 59.07373, 95; 76.07638, 69.2"
90.0555,90.05545,Alanine,201110_Std_4uMStdsMix1InH2O_20pos2,10.941,10.141,11.741,"72.08149, 100; 90.09193, 71.8; 90.05542, 22.3; 58.11072, 6.8; 99.08944, 4.4; 72.75345, 4; 82.23413, 3.8; 57.43265, 3.6; 61.87808, 3.6; 93.88135, 3.6; 61.71829, 3.6; 79.36958, 3.6; 80.54944, 3.6; 95.28888, 3.5; 58.08963, 3.5; 55.53335, 3.4; 79.26928, 3.4; 89.95172, 3.4; 78.15512, 3.3; 57.41211, 3.3; 75.07971, 3.3; 86.73483, 3.3; 108.39417, 3.3; 50.61775, 3.1; 67.19811, 3.1"
104.07115,104.07103,Aminobutyric Acid,201110_Std_4uMStdsMix1InH2O_20pos2,11.822,11.022,12.622,"104.10743, 100; 87.04465, 16.7; 60.08156, 14.2; 86.06068, 5.4; 58.06591, 4.6; 69.03422, 3.3; 104.07108, 2.9"
104.07115,104.07107,Dimethyl Glycine,201110_Std_4uMStdsMix1InH2O_20pos2,8.584,7.784,9.384,"58.06593, 100; 104.07107, 32.9; 104.10802, 7.8; 86.0607, 2; 60.08156, 1.1"
104.10754,104.10741,Choline,201110_Std_4uMStdsMix1InH2O_20pos2,15.793,14.993,16.593,"104.1074, 100; 60.08155, 14.2; 58.06623, 1.1"
106.05042,106.05022,Serine,201110_Std_4uMStdsMix1InH2O_20pos2,11.453,10.653,12.253,NA
116.07115,116.07086,Proline,201110_Std_4uMStdsMix1InH2O_20pos2,9.364,8.564,10.164,"70.06583, 100; 116.07093, 40.1; 116.10732, 3.7; 116.14371, 2.5; 74.09713, 1.8; 58.06591, 0.6"
118.03266,118.03237,Homocysteine Thiolactone,201110_Std_4uMStdsMix1InH2O_20pos2,2.704,1.904,3.504,"118.08666, 100; 90.03786, 12.8; 59.07378, 7.3; 58.06597, 6.9; 118.06555, 4; 56.05033, 3.7; 118.03255, 3.6; 118.12299, 3.2; 100.02217, 1.3; 90.00145, 1; 100.11283, 1; 95.04973, 0.9; 73.01143, 0.6"
118.08681,118.08654,Betaine,201110_Std_4uMStdsMix1InH2O_20pos2,7.841,7.041,8.641,"118.08655, 100; 59.07374, 8; 58.06592, 6.3"
120.0657,120.0657,Threonine,201110_Std_4uMStdsMix1InH2O_20pos2,10.066,9.266,10.866,NA
120.06607,120.06577,Homoserine,201110_Std_4uMStdsMix1InH2O_20pos2,11.096,10.296,11.896,NA
132.06607,132.06563,trans Hydroxyl proline,201110_Std_4uMStdsMix1InH2O_20pos2,10.899,10.099,11.699,"86.06063, 100; 132.06565, 63.7; 68.05019, 22.5; 132.10203, 12.4; 114.05532, 2.6; 114.09171, 1.9; 86.09703, 1.6"
132.0773,132.07684,Creatine,201110_Std_4uMStdsMix1InH2O_20pos2,11.224,10.424,12.024,"90.05554, 100; 132.07691, 87.7; 86.06066, 8.7; 132.06579, 5.7; 132.10207, 4; 87.05593, 2.7; 114.0666, 2.4; 68.05019, 1.6; 115.05068, 1.6"
132.10245,132.1021,Leucine,201110_Std_4uMStdsMix1InH2O_20pos2,7.721,6.921,8.521,"86.09744, 100; 132.1021, 25.7; 87.04469, 6; 114.09109, 4.8; 69.07064, 4"
133.06133,133.06088,Asparagine,201110_Std_4uMStdsMix1InH2O_20pos2,11.031,10.231,11.831,NA
134.04533,134.04485,Aspartic acid,201110_Std_4uMStdsMix1InH2O_20pos2,11.492,10.692,12.292,NA
136.06232,136.06187,Adenine,201110_Std_4uMStdsMix1InH2O_20pos2,5.373,4.573,6.173,"136.06193, 100; 119.03562, 1.2; 137.04592, 0.9"
138.0555,138.05505,Trigonelline,201110_Std_4uMStdsMix1InH2O_20pos2,8.398,7.598,9.198,"138.05498, 100; 138.05506, 24.5; 94.06567, 2.9; 110.06115, 2; 138.09144, 1; 92.05005, 0.7"
144.10245,144.10202,Stachydrine hydrochloride,201110_Std_4uMStdsMix1InH2O_20pos2,7.255,6.455,8.055,"144.10202, 100; 84.08139, 2; 58.06592, 1.7"
146.1181,146.11755,(3-Carboxypropyl)trimethylammonium (TMAB),201110_Std_4uMStdsMix1InH2O_20pos2,10.31,9.51,11.11,"146.11761, 100; 87.04465, 52.6; 60.08128, 28.5"
147.07697,147.07643,Glutamine,201110_Std_4uMStdsMix1InH2O_20pos2,11.099,10.299,11.899,"130.05006, 100; 84.04502, 67.2; 123.96461, 21; 147.12106, 13.3; 147.0766, 9.4; 101.07144, 6.2; 146.98061, 4.6; 87.04467, 2.6; 64.92794, 2.5; 88.04799, 2.3; 147.11431, 2.2; 147.09151, 1.5; 102.05551, 1.4; 105.95424, 1.4; 61.08485, 1.3; 148.03717, 1; 84.04237, 1; 137.41043, 0.9; 73.73953, 0.9; 73.81017, 0.9; 70.67503, 0.9; 88.65786, 0.8; 55.46803, 0.8; 70.95132, 0.8; 109.25648, 0.8; 132.03909, 0.8; 79.47189, 0.8; 154.77194, 0.8; 56.52568, 0.8; 57.03759, 0.7; 93.33286, 0.7; 58.74933, 0.7; 78.83749, 0.7; 70.80871, 0.7; 51.31168, 0.7; 85.39082, 0.7; 50.42633, 0.7"
148.06099,148.06041,N-Acetyl-Serine,201110_Std_4uMStdsMix1InH2O_20pos2,6.041,5.241,6.841,"88.03997, 100; 106.05029, 99; 148.08711, 72.4; 148.11218, 62.7; 148.09695, 35.3; 60.04519, 29.4; 127.67367, 10.9; 143.90799, 9.7; 100.07614, 9.3; 154.68745, 8.6; 121.6623, 8.6; 152.3002, 8.5; 148.07613, 8.2; 137.40141, 8.1; 130.05006, 8.1; 118.84846, 7.9; 55.04161, 7.6; 128.00485, 7.6; 75.70129, 7.6; 131.03423, 7.5; 95.38786, 7.4; 97.99307, 7.3; 60.33471, 7.3; 89.04504, 7.2; 72.01871, 7.2; 84.48244, 7.2; 97.37525, 7.2; 68.85826, 7.2; 99.77328, 7.1; 102.05549, 7.1; 82.54483, 7; 64.16173, 7; 71.79017, 6.9; 63.70591, 6.8; 104.59734, 6.6; 57.98716, 6.5"
148.06099,148.06044,Glutamic acid,201110_Std_4uMStdsMix1InH2O_20pos2,11.246,10.446,12.046,"84.045, 100; 102.05545, 66.2; 130.05003, 65.6; 84.04501, 57.8; 148.06055, 25.6; 148.09705, 20.4; 148.11211, 14.3; 131.05327, 8.1; 148.08688, 7.2; 123.41114, 4; 85.04825, 3.7; 56.05027, 2.4; 71.55799, 2.3; 60.09449, 2.3; 74.21625, 2.2; 89.2607, 2.2; 78.43981, 2.1; 125.20409, 2.1; 148.03932, 2.1; 116.07879, 2.1; 78.32705, 2.1; 72.834, 2; 116.51688, 2; 80.66837, 2; 64.46241, 2; 65.69389, 2; 138.65796, 2; 108.2538, 2; 61.57222, 1.9; 85.28249, 1.9; 68.56026, 1.9; 56.41971, 1.9; 65.76703, 1.8; 66.47618, 1.8; 77.74691, 1.7"
150.05887,150.05826,Methionine,201110_Std_4uMStdsMix1InH2O_20pos2,7.513,6.713,8.313,"104.05331, 100; 133.03196, 66.6; 56.05029, 44.6; 102.05546, 21.9; 150.05856, 20.4; 61.01181, 13.5; 87.02694, 4.3; 74.06071, 4.1; 74.02435, 1.8; 150.09164, 1.7; 150.11254, 1.6; 150.12779, 1.4; 150.10262, 1.4; 85.02894, 1.2; 150.02685, 1.1; 84.04496, 1; 105.03724, 0.8; 132.1021, 0.6"
156.0773,156.0769,Histidine,201110_Std_4uMStdsMix1InH2O_20pos2,11.031,10.231,11.831,"110.07165, 100; 156.0768, 41.7; 95.0609, 5.4; 113.10771, 2.4; 83.06102, 1.7; 132.96602, 1.2; 156.11318, 1.1; 150.97649, 1; 156.13843, 0.9; 93.04527, 0.8; 58.06595, 0.7"
162.11302,162.11249,Carnitine,201110_Std_4uMStdsMix1InH2O_20pos2,10.141,9.341,10.941,"162.11246, 100; 103.03941, 9.4; 60.08154, 7.3; 162.07613, 2; 102.09173, 1.9; 85.02901, 1.5; 72.04507, 1.4; 84.045, 0.9; 138.99274, 0.9; 60.04517, 0.6"
166.05379,166.05333,Methionine Sulfoxide,201110_Std_4uMStdsMix1InH2O_20pos2,9.376,8.576,10.176,NA
168.02907,168.02907,Pyridinedicarboxylic acid,201110_Std_4uMStdsMix1InH2O_20pos2,12.472,11.672,13.272,NA
