mz,mz_obs,compound,file_name,rt,rtmin,rtmax,MS2s
293.11465,293.11465,Glutamylphenylalanine,201110_Std_4uMStdsMix1InH2O_35neg1,8.261,7.460999999999999,9.061,"128.03426, 100; 164.07088, 58.7; 127.05025, 41.7; 147.04422, 16.1; 109.03963, 6.7; 72.00791, 4.3; 216.85008, 3.9; 213.10316, 3.5; 84.04423, 3; 257.09299, 3; 221.15437, 2.8; 91.05412, 2.8; 112.03929, 2.3; 99.05527, 2.1; 274.88124, 2.1; 216.86391, 1.9; 236.10529, 1.9; 82.02873, 1.8; 74.02354, 1.6; 124.02681, 1.6; 275.10408, 1.6; 218.90871, 1.3; 220.14647, 1.3; 101.07082, 1.2; 118.06522, 1.2; 122.04738, 1.1; 145.06092, 0.8; 162.0553, 0.8; 71.01268, 0.8; 185.07104, 0.7; 58.02862, 0.6; 86.02354, 0.6; 231.11385, 0.6; 171.09219, 0.6"
341.1084,341.10916,Sucrose,201110_Std_4uMStdsMix1InH2O_35neg1,11.706,10.905999999999999,12.506,"89.02322, 100; 59.01208, 65.8; 71.01263, 52.2; 101.02325, 34.9; 113.02328, 25; 119.03391, 24.3; 85.02828, 5; 216.16042, 4; 216.14684, 3; 220.18289, 2.6; 131.034, 2.6; 95.01272, 2.5; 87.00763, 2.5; 179.05556, 1.6; 143.03413, 1.5; 161.04483, 1.5; 72.99197, 1.3; 149.04451, 1.1; 58.00477, 0.8; 83.0126, 0.7; 73.02829, 0.7; 301.95715, 0.7; 153.84244, 0.6"
88.98749,88.98685,Oxalic Acid,201110_Std_4uMStdsMix1InH2O_35neg2,12.884,12.084,13.684000000000001,"60.99188, 100; 88.98681, 55.8; 89.01081, 51; 89.02324, 26.7; 59.01266, 9.4; 86.47892, 6.3; 62.00244, 4.4; 76.38524, 3.3; 68.09061, 3.3; 86.82285, 3.2; 65.01112, 3.2; 56.63506, 3; 70.75967, 3; 50.63114, 3; 107.89731, 2.9; 63.40554, 2.9; 96.44469, 2.9; 66.45743, 2.8; 87.79104, 2.8; 51.90256, 2.7; 78.34991, 2.7; 98.1942, 2.6; 99.66674, 2.6; 54.72413, 2.6; 62.96131, 2.5; 84.52567, 2.5"
115.00314,115.00259,Fumaric Acid,201110_Std_4uMStdsMix1InH2O_35neg2,11.716,10.915999999999999,12.516,"71.01262, 100; 115.07537, 32.9; 114.93496, 29.8; 114.93507, 29.3; 115.02903, 12.7; 97.93015, 10; 115.00253, 8.9; 71.049, 6.4; 115.03886, 5.4; 73.03951, 4.8; 74.99261, 4.3; 59.01263, 4.3; 129.75891, 2.2; 62.06162, 1.9; 133.9908, 1.9; 50.13612, 1.9; 63.42437, 1.8; 73.60157, 1.8; 114.79718, 1.8; 70.96292, 1.7; 125.80949, 1.7; 54.77459, 1.6; 109.33936, 1.6; 71.07069, 1.6"
116.03477,116.03422,Acetylglycine,201110_Std_4uMStdsMix1InH2O_35neg2,5.299,4.4990000000000006,6.099,"74.02356, 100; 72.0443, 12.6; 116.0343, 6.7; 116.02442, 1.8; 89.01333, 1.3"
117.01878,117.01826,Succinic Acid,201110_Std_4uMStdsMix1InH2O_35neg2,11.201,10.401,12.001000000000001,"116.92924, 100; 73.02829, 29.7; 99.92464, 22.6; 117.01824, 4.7; 99.00758, 3.1; 90.00865, 2.5"
128.03427,128.03427,L-Pyroglutamic acid,201110_Std_4uMStdsMix1InH2O_35neg2,5.689,4.889,6.489,"128.03427, 100; 82.02867, 3; 84.04428, 1"
130.05042,130.04997,Propionylglycine,201110_Std_4uMStdsMix1InH2O_35neg2,3.414,2.614,4.214,"74.02356, 100; 130.04988, 9.9; 86.05997, 6.5; 130.04021, 5.9; 65.01333, 2.2"
133.0137,133.01328,Malic Acid,201110_Std_4uMStdsMix1InH2O_35neg2,11.758,10.957999999999998,12.558,"115.00258, 100; 71.01303, 61.6; 133.01325, 28.2; 72.99193, 12.6; 89.02326, 7.9; 133.0509, 2.3; 87.00759, 1.9; 133.03957, 1.7; 106.03992, 1.7; 65.01332, 1.4; 91.02905, 1.3; 132.98327, 0.8; 59.01266, 0.6"
135.02934,135.02887,Threonic acid,201110_Std_4uMStdsMix1InH2O_35neg2,8.55,7.750000000000001,9.350000000000001,"75.00806, 100; 135.0289, 29.7; 59.01297, 10.8; 72.99146, 10.3; 89.02328, 10.2; 71.01264, 3.6; 117.01829, 2.3; 87.00763, 1.1; 134.89373, 1; 135.04415, 0.8"
137.02386,137.02342,Salicylic Acid,201110_Std_4uMStdsMix1InH2O_35neg2,2.112,1.312,2.912,"93.03344, 100; 137.02344, 24.6"
144.06607,144.06569,Butyrylglycine,201110_Std_4uMStdsMix1InH2O_35neg2,2.7,1.9000000000000001,3.5,"74.02356, 100; 100.07566, 9.2; 144.06564, 7.8; 144.05596, 1.2; 98.06007, 0.7; 72.04434, 0.6; 84.0444, 0.6"
145.0137,145.01335,Ketoglutaric Acid,201110_Std_4uMStdsMix1InH2O_35neg2,11.126,10.325999999999999,11.926,"118.04003, 100; 101.02322, 66.6; 127.05003, 64.9; 145.0607, 40.9; 109.03968, 34.6; 145.05122, 29.1; 128.03413, 22.5; 84.0442, 19.6; 74.02354, 12; 101.07088, 11.7; 101.05975, 11.6; 57.03333, 10; 82.02864, 7.2; 125.03473, 7.1; 82.60213, 5.7; 77.01335, 5.4; 72.0079, 5.3; 100.92444, 5.3; 71.26676, 5; 83.04888, 4.9; 124.03077, 4.7; 140.71693, 4.6; 123.64854, 4.6; 92.58686, 4.5; 60.65513, 4.3; 98.0237, 4.2; 72.47279, 4.1; 73.33786, 4.1; 118.60419, 4.1; 71.82079, 4.1; 100.93446, 4.1; 122.90409, 3.9; 137.88335, 3.8; 61.33846, 3.7; 111.95817, 3.7; 59.46422, 3.7; 96.36386, 3.5"
147.0116,147.01125,Keto-?-(methylthio)butyric acid,201110_Std_4uMStdsMix1InH2O_35neg2,2.27,1.47,3.0700000000000003,"61.98715, 100; 99.00761, 23.2; 147.06628, 14.1; 105.04445, 10.9; 124.07791, 5.3; 111.00528, 4.9; 103.91234, 4.6; 62.89288, 4.6; 149.7585, 4.5; 61.09175, 4.3; 127.71872, 4.1; 105.88752, 3.9; 61.42242, 3.9; 76.46986, 3.8; 66.41074, 3.8; 167.90036, 3.8; 69.61674, 3.8; 56.70081, 3.8; 111.28894, 3.8; 59.88897, 3.7; 79.35689, 3.6; 114.18919, 3.6; 72.86636, 3.6; 77.69043, 3.6; 120.80241, 3.5; 54.48242, 3.5"
149.02724,149.0269,2-Hydroxy-4-(methylthio)butyric_acid,201110_Std_4uMStdsMix1InH2O_35neg2,2.578,1.7779999999999998,3.378,"148.95167, 100; 79.95619, 18.1; 149.02698, 8.9; 101.02329, 5; 82.95966, 1.5; 98.95469, 1.2; 57.03335, 0.7; 149.09632, 0.6"
155.00928,155.00897,Orotic Acid,201110_Std_4uMStdsMix1InH2O_35neg2,5.069,4.269,5.869,"111.0189, 100; 154.94652, 4.8; 155.00908, 1.1"
