Mass [m/z],Formula [M],Formula type,Species,CS [z],Polarity,Start [min],End [min],(N)CE,(N)CE type,MSX ID,Comment
841.5383,NA,NA,NA,NA,Positive,21.31496236,25.31496236,NA,NA,NA,NA
841.6322,NA,NA,NA,NA,Positive,25.30052445,30.34093222,NA,NA,NA,NA
841.7261,NA,NA,NA,NA,Positive,29.9743563,33.9743563,NA,NA,NA,NA
842.4902,NA,NA,NA,NA,Positive,4.174115815,8.174115815,NA,NA,NA,NA
842.5782,NA,NA,NA,NA,Positive,16.01715059,20.52796572,NA,NA,NA,NA
842.5906,NA,NA,NA,NA,Positive,18.53650301,23.56613223,NA,NA,NA,NA
842.6299,NA,NA,NA,NA,Positive,22.94760225,28.27612294,NA,NA,NA,NA
842.6721,NA,NA,NA,NA,Positive,24.8188882,29.32970333,NA,NA,NA,NA
842.7238,NA,NA,NA,NA,Positive,27.44536509,32.1016223,NA,NA,NA,NA
843.554,NA,NA,NA,NA,Positive,21.77914429,26.48342032,NA,NA,NA,NA
843.6479,NA,NA,NA,NA,Positive,26.02080675,30.93316434,NA,NA,NA,NA
843.7418,NA,NA,NA,NA,Positive,30.7586637,34.7586637,NA,NA,NA,NA
844.5058,NA,NA,NA,NA,Positive,5.690737417,10.23840633,NA,NA,NA,NA
844.5939,NA,NA,NA,NA,Positive,17.43171556,21.94253069,NA,NA,NA,NA
844.6062,NA,NA,NA,NA,Positive,19.96214346,24.47695807,NA,NA,NA,NA
844.6455,NA,NA,NA,NA,Positive,23.65187828,28.86835506,NA,NA,NA,NA
844.6878,NA,NA,NA,NA,Positive,26.74426831,30.74426831,NA,NA,NA,NA
844.7394,NA,NA,NA,NA,Positive,28.14964112,32.69385442,NA,NA,NA,NA
844.7758,NA,NA,NA,NA,Positive,35.54358043,39.54358043,NA,NA,NA,NA
845.5696,NA,NA,NA,NA,Positive,22.22731994,27.6998971,NA,NA,NA,NA
845.6635,NA,NA,NA,NA,Positive,26.72508278,31.50939018,NA,NA,NA,NA
846.5215,NA,NA,NA,NA,Positive,7.207359018,12.09205495,NA,NA,NA,NA
846.6095,NA,NA,NA,NA,Positive,18.84628053,23.35709566,NA,NA,NA,NA
846.6219,NA,NA,NA,NA,Positive,21.42738503,25.90259852,NA,NA,NA,NA
846.6612,NA,NA,NA,NA,Positive,24.35615431,29.44458091,NA,NA,NA,NA
846.7034,NA,NA,NA,NA,Positive,28.66964841,32.66964841,NA,NA,NA,NA
846.7551,NA,NA,NA,NA,Positive,28.86992343,33.47816182,NA,NA,NA,NA
847.5853,NA,NA,NA,NA,Positive,22.94760225,28.27612294,NA,NA,NA,NA
847.6792,NA,NA,NA,NA,Positive,27.44536509,32.1016223,NA,NA,NA,NA
848.5371,NA,NA,NA,NA,Positive,8.723980619,12.72398062,NA,NA,NA,NA
848.5829,NA,NA,NA,NA,Positive,20.57867378,24.57867378,NA,NA,NA,NA
848.6252,NA,NA,NA,NA,Positive,20.30013898,24.77166064,NA,NA,NA,NA
848.6375,NA,NA,NA,NA,Positive,22.85302548,27.32823896,NA,NA,NA,NA
848.6768,NA,NA,NA,NA,Positive,25.07643662,30.22888831,NA,NA,NA,NA
848.7707,NA,NA,NA,NA,Positive,29.65423083,33.86231238,NA,NA,NA,NA
848.8071,NA,NA,NA,NA,Positive,38.03653408,42.03653408,NA,NA,NA,NA
849.6009,NA,NA,NA,NA,Positive,23.65187828,28.86835506,NA,NA,NA,NA
849.6948,NA,NA,NA,NA,Positive,28.14964112,32.69385442,NA,NA,NA,NA
850.5528,NA,NA,NA,NA,Positive,9.692933309,15.12529815,NA,NA,NA,NA
850.5593,NA,NA,NA,NA,Positive,15.44761538,19.44761538,NA,NA,NA,NA
850.5986,NA,NA,NA,NA,Positive,21.28294981,25.79515056,NA,NA,NA,NA
850.6408,NA,NA,NA,NA,Positive,21.71470395,26.69704074,NA,NA,NA,NA
850.6532,NA,NA,NA,NA,Positive,24.79348054,28.79348054,NA,NA,NA,NA
850.6925,NA,NA,NA,NA,Positive,25.78071265,30.82112042,NA,NA,NA,NA
850.7288,NA,NA,NA,NA,Positive,31.19775582,35.19775582,NA,NA,NA,NA
850.7864,NA,NA,NA,NA,Positive,30.4545445,34.4545445,NA,NA,NA,NA
850.8228,NA,NA,NA,NA,Positive,39.28301091,43.28301091,NA,NA,NA,NA
851.6166,NA,NA,NA,NA,Positive,24.35615431,29.44458091,NA,NA,NA,NA
851.7105,NA,NA,NA,NA,Positive,28.86992343,33.47816182,NA,NA,NA,NA
852.5684,NA,NA,NA,NA,Positive,11.75722382,16.64191976,NA,NA,NA,NA
852.5749,NA,NA,NA,NA,Positive,16.87325583,20.87325583,NA,NA,NA,NA
852.6142,NA,NA,NA,NA,Positive,22.00323211,27.07565244,NA,NA,NA,NA
852.6565,NA,NA,NA,NA,Positive,23.12926893,27.64008406,NA,NA,NA,NA
852.6688,NA,NA,NA,NA,Positive,26.73393559,30.73393559,NA,NA,NA,NA
852.7081,NA,NA,NA,NA,Positive,26.50099496,31.41335254,NA,NA,NA,NA
852.802,NA,NA,NA,NA,Positive,31.2388519,35.2388519,NA,NA,NA,NA
852.8384,NA,NA,NA,NA,Positive,40.76530767,44.76530767,NA,NA,NA,NA
853.5383,NA,NA,NA,NA,Positive,20.57867378,24.57867378,NA,NA,NA,NA
853.6322,NA,NA,NA,NA,Positive,25.07643662,30.22888831,NA,NA,NA,NA
853.7261,NA,NA,NA,NA,Positive,29.65423083,33.86231238,NA,NA,NA,NA
854.5841,NA,NA,NA,NA,Positive,13.77938596,18.70621027,NA,NA,NA,NA
854.5906,NA,NA,NA,NA,Positive,18.29889627,22.81371088,NA,NA,NA,NA
854.6299,NA,NA,NA,NA,Positive,22.70750815,28.16407903,NA,NA,NA,NA
854.6721,NA,NA,NA,NA,Positive,24.58312737,29.0939425,NA,NA,NA,NA
854.7238,NA,NA,NA,NA,Positive,27.20527099,31.98957839,NA,NA,NA,NA
854.7602,NA,NA,NA,NA,Positive,33.65702091,37.65702091,NA,NA,NA,NA
855.554,NA,NA,NA,NA,Positive,21.28294981,25.79515056,NA,NA,NA,NA
855.6479,NA,NA,NA,NA,Positive,25.78071265,30.82112042,NA,NA,NA,NA
855.7418,NA,NA,NA,NA,Positive,30.4545445,34.4545445,NA,NA,NA,NA
856.5058,NA,NA,NA,NA,Positive,5.480095527,9.480095527,NA,NA,NA,NA
856.6062,NA,NA,NA,NA,Positive,19.72453672,24.71456481,NA,NA,NA,NA
856.6455,NA,NA,NA,NA,Positive,23.41178418,28.75631115,NA,NA,NA,NA
856.6878,NA,NA,NA,NA,Positive,25.99769235,30.50850748,NA,NA,NA,NA
856.7394,NA,NA,NA,NA,Positive,27.92555329,32.5818105,NA,NA,NA,NA
856.7758,NA,NA,NA,NA,Positive,34.90349773,38.90349773,NA,NA,NA,NA
857.5696,NA,NA,NA,NA,Positive,22.00323211,27.07565244,NA,NA,NA,NA
857.6635,NA,NA,NA,NA,Positive,26.50099496,31.41335254,NA,NA,NA,NA
857.7574,NA,NA,NA,NA,Positive,31.2388519,35.2388519,NA,NA,NA,NA
858.5215,NA,NA,NA,NA,Positive,6.449048217,11.50225766,NA,NA,NA,NA
858.528,NA,NA,NA,NA,Positive,12.31912662,16.31912662,NA,NA,NA,NA
858.6095,NA,NA,NA,NA,Positive,18.61051971,22.61051971,NA,NA,NA,NA
858.6219,NA,NA,NA,NA,Positive,21.15017717,25.66499177,NA,NA,NA,NA
858.6612,NA,NA,NA,NA,Positive,24.13206648,29.33253699,NA,NA,NA,NA
858.7034,NA,NA,NA,NA,Positive,27.92307245,31.92307245,NA,NA,NA,NA
858.7551,NA,NA,NA,NA,Positive,28.6458356,33.17404262,NA,NA,NA,NA
858.7914,NA,NA,NA,NA,Positive,36.14997456,40.58792588,NA,NA,NA,NA
859.5853,NA,NA,NA,NA,Positive,22.70750815,28.16407903,NA,NA,NA,NA
859.6792,NA,NA,NA,NA,Positive,27.20527099,31.98957839,NA,NA,NA,NA
860.5371,NA,NA,NA,NA,Positive,7.965669819,12.47121035,NA,NA,NA,NA
