"","Set","Compound.Name","Retention.Time","MYCOLUMN","mz","MS2"
"41","41","Ingalls_Allopurinol ",277.395,"137.0457 ","137.0457 ","53.71285, 22366; 63.84985, 27502; 63.96138, 26728; 67.22701, 24509; 94.04036, 135820; 119.03539, 291702; 123.10944, 28158; 128.78461, 25419; 136.06172, 22761408; 137.0459, 185427; 137.05878, 1168949; 137.06508, 3613126; "
"42","42","Ingalls_Adenosyl Homocysteine",587.559,"385.1286 ","385.1286 ","53.94019, 5709; 62.26403, 5203; 64.96497, 5472; 71.54882, 6527; 79.96474, 5164; 80.91705, 5734; 88.02206, 1078108; 89.02148, 6050; 89.02544, 13239; 97.02882, 199691; 99.04446, 83505; 102.03748, 7077; 102.05535, 8062; 114.01338, 5303; 133.62685, 5646; 134.02704, 6391342; 135.02563, 15598; 135.03056, 145038; 135.05342, 5565; 136.06172, 6124286; 137.0589, 57627; 137.06517, 205282; 140.50941, 6353; 148.04271, 40778; 152.27481, 6445; 152.41304, 6209; 155.19722, 5100; 160.04263, 22216; 177.08131, 6384; 186.05826, 11914; 204.06866, 22557; 214.05318, 9462; 217.38293, 18834; 217.39563, 73011; 232.06366, 34383; 250.07413, 139709; 251.07697, 6057; "
"43","43","Ingalls_Adenosine ",261.861,"268.1037 ","268.1037 ","55.01857, 72286; 57.03419, 142926; 66.76627, 14760; 69.03426, 23285; 70.2894, 17686; 73.02905, 79814; 80.98117, 13373; 85.02897, 139362; 87.04449, 29856; 92.95578, 15761; 96.83735, 16874; 97.02869, 75009; 102.45959, 18726; 103.0393, 23256; 113.18617, 18995; 115.03915, 165204; 133.04961, 187321; 135.98042, 18899; 136.06169, 28505854; 136.14539, 29541; 137.05872, 246387; 137.06505, 756593; 216.2516, 291496; 216.26472, 64328; 268.10376, 745206; "
"44","44","Ingalls_Adenine ",303.9663,"136.0617 ","136.0617 ","64.78655, 29088; 69.33386, 30357; 71.48355, 31863; 74.54071, 28819; 78.59042, 33331; 86.08186, 31559; 94.04037, 165179; 104.92379, 35703; 110.11372, 33916; 119.03546, 536038; 135.65207, 39173; 136.06177, 59349820; "
"45","45","Ingalls_Acetyl-L-carnitine ",431.9337,"204.1229 ","204.1229 ","57.03422, 85042; 60.08149, 9537460; 60.49744, 49837; 61.08484, 107044; 62.96381, 48005; 69.06499, 45787; 69.86862, 51276; 85.02893, 51819064; 86.03233, 845800; 88.77676, 56232; 131.62639, 46873; 144.10182, 2078162; 145.04947, 9605927; 146.05309, 103651; 163.79707, 51486; 181.92116, 48843; 204.12292, 20806970; "
"46","46","Ingalls_Turicine ",552.98868,"160.0968 ","160.0968 ","57.96072, 6160; 58.06587, 11109; 59.52311, 5810; 68.01099, 5931; 68.70761, 7372; 77.39168, 7981; 82.43607, 6021; 88.07622, 184796; 99.04459, 12718; 102.05517, 24265; 118.61993, 6973; 133.52731, 7604; 142.4839, 7823; 143.43089, 8065; 159.12137, 11452; 159.15723, 13544; 159.57513, 11685; 160.09677, 16052892; "
"47","47","Ingalls_Stachydrine hydrochloride",442.86684,"144.1029 ","144.1029 ","58.06586, 311274; 58.84863, 13406; 59.04428, 12310; 59.37629, 10853; 60.21706, 10428; 60.31299, 10432; 60.49538, 13900; 62.92975, 22112; 64.12289, 10431; 65.97789, 11770; 67.02538, 10906; 69.73072, 10219; 73.93042, 10714; 82.18092, 12241; 84.08133, 330259; 98.09676, 26323; 102.05532, 68061; 103.95596, 64152; 106.16534, 12176; 108.89981, 13402; 121.96627, 306043; 144.10187, 22647530; "
"48","48","Ingalls_Methyl 3-methylthiopropionate",404.24784,"158.1176 ","158.1176 ","52.1623, 1142; 58.06587, 11311; 59.06113, 1785; 72.08147, 2322; 79.16715, 1226; 91.64857, 1161; 95.04962, 6757; 98.09692, 2381; 99.05571, 1511; 102.0917, 8147; 106.14448, 1403; 108.51709, 1269; 109.93336, 1419; 117.95982, 1966; 123.11709, 1724; 123.28648, 1353; 140.10678, 1921; 141.0004, 5975; 157.09738, 1981; 157.13365, 6482; 157.16998, 48003; 158.11755, 1975901; 158.15395, 106774; 158.17326, 6919; "
"49","49","Ingalls_Guanine ",469.4676,"152.0706 ","152.0706 ","56.28386, 31069; 58.06588, 1138288; 59.06925, 53058; 59.0737, 1000778; 59.07524, 58749; 68.14656, 34000; 71.00211, 33065; 76.07632, 30240138; 76.91889, 35918; 77.07355, 111163; 77.07968, 1638879; 77.08228, 74879; 87.78575, 35846; 96.62883, 42833; 107.6188, 42619; 124.84456, 37063; 151.14409, 558044; 152.0708, 186168; "
"50","50","Ingalls_DL-Valine, D8 ",558.79026,"126.1366 ","126.1366 ","Ingalls_DL-Valine, D8; Ingalls_DL-Valine, D8; 59.06103, 1703; 60.01331, 1006; 63.72583, 993; 71.59172, 1105; 78.9558, 1111; 80.13163, 34626; 81.07059, 1300; 83.06081, 4956; 83.15524, 1036; 84.08134, 1013; 85.05151, 1310; 87.19141, 1102; 109.04019, 1173; 125.04793, 1352; 125.07098, 6561; 125.08231, 9554; 125.09026, 5250; 125.10748, 12651; 126.05505, 1620; 126.06644, 18114; 126.07784, 17611; 126.08556, 1634; 126.09115, 1447; 126.10265, 6937; 126.11078, 4815; 126.12776, 2450; "
"51","51","Ingalls_DL-Proline, D7 ",575.97672,"123.1147 ","123.1147 ","Ingalls_DL-Proline, D7; Ingalls_DL-Proline, D7; 62.59673, 1132; 64.84376, 1058; 70.28206, 1054; 76.10345, 26098; 77.10971, 248013; 78.11311, 5207; 82.01442, 17424; 82.68815, 978; 83.06097, 2227; 93.88672, 1090; 95.80832, 1136; 100.02482, 41780; 107.06081, 1446; 112.97347, 1180; 113.00041, 1270; 118.03528, 10468; 122.07153, 11331; 122.09672, 4869; 122.10851, 13673; 123.04059, 11549; 123.05545, 7129; 123.06702, 1901; 123.07452, 2141; 123.09192, 20854; 123.11476, 150663; "
"52","52","Ingalls_DL-Histidine, 15N ",696.9432,"157.0739 ","157.0739 ","Ingalls_DL-Histidine, 15N; Ingalls_DL-Histidine, 15N; 52.10355, 1033; 53.93892, 1223; 56.96547, 7020; 58.06585, 14458; 59.78656, 1122; 67.50212, 1046; 69.07027, 1129; 70.89722, 1103; 74.93157, 26283; 83.06087, 1434; 91.38943, 1210; 95.04975, 1318; 95.06078, 6064; 97.9917, 5218; 102.09159, 1722; 110.07161, 22970; 111.0686, 89762; 111.07484, 2842; 112.07217, 1561; 115.95766, 8510; 115.96423, 7113; 117.0547, 5171; 132.96603, 2459; 133.9673, 5997; 134.99878, 6225; 140.14328, 22964; 144.58928, 1191; 152.96504, 1399; 153.00993, 1263; 156.07658, 7003; 156.10162, 1471; 156.13853, 1765; 157.07376, 32975; 157.08032, 1654; 157.09695, 11201; 157.13321, 1267; 157.16988, 37016; "
"53","53","Ingalls_DL-Alanine, D3 ",678.5976,"93.07431 ","93.07431 ","Ingalls_DL-Alanine, D3; Ingalls_DL-Alanine, D3; 50.51665, 3170; 50.8366, 1733; 55.82803, 1685; 62.02455, 31783; 71.02978, 265379; 73.53247, 8263; 74.10687, 1752; 75.99561, 2903; 77.12542, 1810; 80.035, 57614; 82.01434, 8334; 82.53767, 110316; 91.54289, 8802; 93.02191, 10533; 93.07436, 2578; "
"54","54","Ingalls_Dimethylsulfonioacetate (DMS-Ac)",535.34406,"121.0323 ","121.0323 ","56.99402, 6806; 59.8224, 8057; 61.0114, 1792676; 62.01922, 1355120; 63.02703, 262024; 75.02699, 240547; 76.96912, 7608; 79.27475, 7971; 103.02159, 76586; 104.07112, 12579; 106.00857, 30460; 121.03198, 8117232; "
"55","55","Ingalls_Creatine ",686.9832,"132.0768 ","132.0768 ","50.19946, 1191; 58.06585, 4680; 60.08154, 11233; 61.17078, 1133; 65.98496, 1082; 70.0658, 22558; 73.02907, 23821; 74.06065, 1063; 84.08143, 9177; 85.02901, 1827; 86.06061, 1490; 86.09701, 2782; 87.04461, 1830; 88.07616, 15463; 90.0555, 59806; 111.50569, 1110; 114.09164, 85214; 115.09489, 1902; 132.07689, 59153; 132.10197, 923573; "
"56","56","Ingalls_Betonicine ",505.8435,"160.0968 ","160.0968 ","58.06591, 6855; 59.94262, 4578; 60.50888, 4264; 75.41516, 4021; 99.30681, 4117; 101.0714, 6953; 114.09163, 120267; 115.47546, 4259; 116.04727, 17492; 132.08081, 5132; 136.11504, 4789; 142.08629, 46818; 159.09163, 23543; 159.57582, 5613; 160.09679, 9904939; "
"57","57","Ingalls_Betaine ",485.09178,"118.0863 ","118.0863 ","55.67591, 352213; 56.0711, 353782; 58.06585, 45128140; 59.07368, 58523128; 60.3582, 394004; 60.58904, 355608; 78.6098, 403953; 78.66547, 365815; 90.45448, 524683; 91.61325, 381345; 115.689, 381925; 118.08641, 852017472; "
"58","58","Ingalls_Arsenobetaine ",474.02526,"179.0047 ","179.0047 ","53.49603, 3813; 54.05259, 4181; 60.46284, 4305; 66.07978, 4229; 67.44531, 3675; 73.03192, 3742; 73.08788, 4930; 75.28373, 4206; 80.40005, 4727; 97.00118, 5139; 99.96373, 5350; 104.9684, 25903; 114.79625, 4695; 115.0117, 5512; 116.96793, 7741; 118.98389, 46667; 119.99167, 719679; 134.00702, 5398; 135.01489, 22844; 136.99419, 148342; 137.04584, 6123; 148.95776, 4962; 154.17986, 3891; 160.98694, 8051; 160.99417, 178092; 163.98138, 16423; 178.12279, 9454; 179.00462, 8102986; "
"59","59","Ingalls_beta-Alanine ",679.0332,"90.0555 ","90.0555 ","53.40931, 1067; 58.14038, 1082; 61.47575, 1031; 61.64491, 1066; 62.36388, 939; 70.0658, 5927; 71.06924, 985; 72.0451, 2327; 72.08144, 98432; 89.0795, 2328; 90.0555, 8471; 90.09186, 72213; "
"60","60","Ingalls_Asparagine ",708.5448,"133.0609 ","133.0609 ","62.21742, 1004; 70.06577, 11681; 71.88784, 1081; 74.02426, 8858; 74.06073, 1192; 84.04485, 1095; 84.08144, 2133; 87.05578, 9409; 88.0762, 9230; 90.05546, 13287; 99.72663, 1226; 114.09158, 37292; 115.09489, 5076; 132.07681, 10758; 132.10193, 337693; 133.06084, 2328; 133.07596, 5719; 133.09949, 2490; 133.10521, 43296; "
"61","61","Ingalls_4-Hydroxyisoleucine ",522.29796,"148.0968 ","148.0968 ","51.9156, 1076; 58.06586, 75855; 59.0737, 49387; 60.08146, 10330; 67.0953, 1159; 74.59812, 1127; 84.08118, 1593; 86.09699, 18791; 100.07599, 15835; 100.26252, 1161; 102.0919, 8762; 104.07082, 4961; 118.08648, 92780; 123.96445, 9651; 130.08644, 2733; 134.61183, 1369; 137.17717, 1256; 148.09671, 1335126; "
"62","62","Ingalls_Melamine ",397.76148,"127.0729 ","127.0729 ","50.84658, 1012; 51.89047, 1344; 58.06581, 1610; 59.06116, 2181; 69.03429, 1409; 69.94067, 1298; 76.22698, 1096; 79.43436, 1153; 81.07838, 1234; 82.06573, 1752; 83.061, 9331; 85.05145, 31959; 85.07663, 5756; 87.33881, 1405; 94.15252, 1123; 96.60374, 1101; 97.07658, 1557; 109.07632, 15575; 110.07167, 6767; 110.0798, 1392; 111.05561, 12795; 123.37112, 1129; 126.06641, 10598; 126.0777, 21267; 126.0858, 1801; 126.09158, 1644; 126.10281, 11323; 126.11095, 4523; 126.98267, 1303; 127.05074, 11012; 127.06201, 15349; 127.07285, 504443; 127.08674, 63669; 127.12337, 1422; "
"63","63","Ingalls_Inosine ",453.94272,"269.0882 ","269.0882 ","51.46336, 981; 51.64354, 1076; 58.66664, 948; 64.90977, 1156; 88.16241, 1296; 100.70933, 1071; 119.5034, 1136; 121.15439, 1275; 136.06201, 1767; 137.04582, 70609; 168.43976, 1189; 202.67839, 1129; 212.09525, 5208; 217.01724, 16485; 241.98721, 2657; 265.00369, 2263; 266.75296, 1054; 269.03476, 2043; "
"64","64","Ingalls_Gonyol ",641.8344,"179.0736 ","179.0736 ","50.65943, 1148; 52.82082, 1058; 53.03935, 1079; 53.37506, 1091; 55.05501, 57943; 56.96555, 194850; 57.03268, 1598; 57.03426, 33709; 61.02914, 1491; 61.42532, 1158; 63.027, 12187; 70.63047, 1705; 71.01344, 6689; 71.0499, 12509; 73.06169, 1245; 74.45448, 1181; 75.04472, 19438; 77.54291, 1456; 77.76926, 1068; 79.53024, 1531; 87.04468, 6815; 89.02383, 11140; 96.95763, 1596; 97.00758, 1341; 97.35638, 1207; 97.99181, 106621; 99.04449, 38903; 105.04121, 1322; 107.37363, 1142; 115.01179, 2148; 116.00222, 22466; 117.05489, 265535; 118.05809, 2291; 123.44846, 1087; 134.01221, 1297; 139.01808, 13170; 141.61604, 1303; 152.70143, 1201; 157.02847, 1568; 158.0816, 1386; 163.06038, 1281; 168.73656, 1220; 178.09735, 1319; 178.12265, 2630; 178.13358, 1448; 178.15907, 2225; 179.06392, 18023; 179.0737, 31476; 179.09288, 2417; 179.11807, 5095; "
"65","65","Ingalls_Adenosyl Methionine",780.6,"399.14451 ","399.14451 ","56.0496, 181965; 56.0509, 459347; 61.0118, 265387; 63.1221, 9458; 63.3256, 11219; 69.0343, 148568; 71.4767, 12020; 74.0244, 177088; 74.0611, 426674; 75.0269, 67460; 78.8525, 10132; 81.538, 10063; 84.0448, 144373; 85.0288, 25026; 85.0301, 2204; 85.7165, 9530; 89.0425, 10990; 90.7082, 8952; 91.261, 9220; 97.0267, 4502126; 97.0316, 559195; 98.032, 136515; 102.0491, 5374; 102.0551, 3521062; 103.0214, 62269; 103.0584, 64977; 117.0374, 37854; 123.2172, 22941; 127.0213, 26019; 131.0454, 48649; 136.0636, 6101272; 137.0626, 246071; 138.1732, 8949; 145.0285, 34025; 145.0332, 287440; 150.0777, 22280; 162.0781, 14940; 163.0421, 193339; 169.3567, 10912; 177.0292, 8225; 177.0343, 61742; 189.0243, 61050; 199.8083, 4075; 199.8121, 6448; 215.6569, 13855; 215.6816, 301490; 215.7003, 19669; 215.7122, 3663; 220.9972, 15244; 223.0091, 1996; 223.0144, 16865; 232.0824, 95232; 235.0199, 22046; 241.0069, 8644; 241.0129, 9583; 250.0829, 1379478; 250.0999, 5425883; 250.1105, 2204; 251.0878, 9715; 251.0974, 392780; 254.9826, 58673; 254.9914, 4298; 264.0847, 25685; 264.0939, 26310; 296.0084, 5839; 296.0152, 7072; 298.0886, 40743; 298.101, 305507; 299.0998, 26030; 399.0245, 6264; 399.0395, 73264; 399.0523, 2595; "
"66","66","Ingalls_L-Isoleucine, 15N ",490.2,"133.0989 ","133.0989 ","Ingalls_L-Isoleucine, 15N; Ingalls_L-Isoleucine, 15N; 53.8808, 3704; 58.9957, 6591; 61.0114, 80748; 66.6791, 4534; 68.7175, 4130; 69.0698, 7812; 69.0709, 39257; 70.0657, 15797; 70.6625, 6582; 74.0607, 9561; 74.5044, 4317; 74.9906, 6955; 85.021, 21978; 86.0971, 560859; 87.0266, 185359; 87.0959, 628305; 88.0761, 15467; 88.0974, 14452; 105.0006, 7835; 105.0373, 14186; 109.949, 6910; 114.0898, 2683; 114.0921, 52261; 114.1922, 6673; 114.8795, 4596; 115.095, 15227; 116.0712, 4474; 125.5691, 2928; 125.5702, 1295; 132.1021, 488909; 132.1217, 10719; 132.1384, 15875; 133.0293, 9820; 133.0325, 121124; 133.103, 75949; 134.1173, 25990; "
"67","67","Ingalls_L-Methionine, D3 ",497.4,"153.0722 ","153.0722 ","Ingalls_L-Methionine, D3; Ingalls_L-Methionine, D3; 50.3349, 6022; 51.5944, 5677; 55.8739, 4831; 56.0496, 36047; 56.0506, 86404; 61.0454, 4248; 63.3492, 4615; 63.4978, 4639; 64.0298, 7549; 64.0305, 12696; 67.0294, 8862; 67.0302, 3461; 68.0498, 3398; 68.0504, 3775; 70.0659, 8536; 71.4624, 7413; 72.0814, 24073; 73.5935, 5443; 75.0434, 19868; 79.1305, 4414; 81.355, 5781; 83.0608, 12313; 84.0813, 15908; 85.6809, 4486; 95.0607, 12142; 97.0812, 28306; 99.0668, 4568; 100.2918, 7520; 102.0555, 37514; 105.5605, 5057; 107.0696, 5200; 107.0779, 226021; 108.0808, 9656; 109.0647, 10861; 109.0791, 33921; 110.0353, 8657; 110.0716, 16037; 110.0967, 9254; 111.0626, 21298; 111.0803, 5883; 111.092, 43893; 112.0497, 1845; 112.051, 7069; 112.0827, 40788; 113.0586, 11111; 113.1077, 30114; 118.5393, 4532; 125.0752, 20466; 126.1025, 25121; 135.0291, 5154; 135.0312, 7249; 135.0805, 8808; 136.0486, 35253; 136.052, 103709; 136.087, 43620; 137.0697, 1919; 137.0718, 8815; 152.0596, 616466; 152.0784, 64910; 152.0996, 30041; 152.1182, 184590; 152.1433, 4858; 153.0409, 46698; 153.0596, 120596; 153.0779, 184159; 153.101, 119456; 153.1145, 794789; 153.1394, 291770; 154.059, 29700; 154.08, 47735; 154.1006, 119686; 154.1182, 38871; 154.1369, 42284; 156.0785, 4952; 171.0845, 12184; 173.0847, 4821; "
"68","68","Ingalls_Adenosyl Methionine",780.6,"399.14451 ","399.14451 ","56.0496, 181965; 56.0509, 459347; 61.0118, 265387; 63.1221, 9458; 63.3256, 11219; 69.0343, 148568; 71.4767, 12020; 74.0244, 177088; 74.0611, 426674; 75.0269, 67460; 78.8525, 10132; 81.538, 10063; 84.0448, 144373; 85.0288, 25026; 85.0301, 2204; 85.7165, 9530; 89.0425, 10990; 90.7082, 8952; 91.261, 9220; 97.0267, 4502126; 97.0316, 559195; 98.032, 136515; 102.0491, 5374; 102.0551, 3521062; 103.0214, 62269; 103.0584, 64977; 117.0374, 37854; 123.2172, 22941; 127.0213, 26019; 131.0454, 48649; 136.0636, 6101272; 137.0626, 246071; 138.1732, 8949; 145.0285, 34025; 145.0332, 287440; 150.0777, 22280; 162.0781, 14940; 163.0421, 193339; 169.3567, 10912; 177.0292, 8225; 177.0343, 61742; 189.0243, 61050; 199.8083, 4075; 199.8121, 6448; 215.6569, 13855; 215.6816, 301490; 215.7003, 19669; 215.7122, 3663; 220.9972, 15244; 223.0091, 1996; 223.0144, 16865; 232.0824, 95232; 235.0199, 22046; 241.0069, 8644; 241.0129, 9583; 250.0829, 1379478; 250.0999, 5425883; 250.1105, 2204; 251.0878, 9715; 251.0974, 392780; 254.9826, 58673; 254.9914, 4298; 264.0847, 25685; 264.0939, 26310; 296.0084, 5839; 296.0152, 7072; 298.0886, 40743; 298.101, 305507; 299.0998, 26030; 399.0245, 6264; 399.0395, 73264; 399.0523, 2595; "
"69","69","Ingalls_Alanine ",678,"90.05496 ","90.05496 ","55.4152, 2300; 55.9075, 1052; 56.0498, 2657; 56.0504, 18067; 57.2293, 1134; 70.0658, 9562; 72.0451, 23025; 72.0811, 329082; 74.0058, 1026; 89.0349, 19948; 89.0765, 16922; 89.1158, 55586; 90.0375, 5987; 90.0553, 72674; 90.0895, 4126; 90.0918, 233644; 91.0548, 9786; 91.0952, 2178; 96.4403, 1042; 97.7344, 1103; "
"70","70","Ingalls_Chitobiose ",612.6,"425.17659 ","425.17659 ","59.2343, 2195; 59.3182, 3496; 59.8325, 2329; 60.0452, 2531; 61.029, 16867; 65.8263, 1166; 81.0341, 4432; 84.0282, 2573; 84.045, 307673; 85.2411, 2128; 89.4024, 2254; 96.0449, 13461; 98.0606, 31357; 104.5846, 1132; 109.0284, 5170; 126.0479, 3536; 126.0559, 1674007; 127.039, 5061; 127.0582, 42165; 132.6488, 3295; 136.0615, 6476; 138.0494, 3532; 138.0555, 594814; 139.0585, 8191; 143.6453, 3721; 144.0652, 124042; 168.0651, 196758; 168.0715, 2211; 169.0684, 4622; 186.0759, 113980; 187.0786, 3851; 204.0831, 418212; 204.0933, 65188; 205.0885, 3540; 205.0917, 3430; 215.442, 108642; 215.4601, 46776; 215.4773, 12522; 215.5057, 4154; 218.7428, 10217; 218.7509, 5171; 251.3296, 1068; 251.3328, 2286; 251.7751, 3545; 446.8084, 1373; 446.816, 2740; "
"71","71","Ingalls_Choline ",915.9,"104.10699 ","104.10699 ","51.8008, 8136; 54.7986, 9413; 55.6031, 7720; 55.6512, 6697; 56.0868, 6657; 56.3087, 11245; 57.2147, 7569; 57.7048, 7852; 58.0663, 912119; 59.0737, 183207; 60.0813, 10674967; 60.6412, 8542; 61.0848, 217040; 62.4051, 12686; 63.1431, 8525; 65.0891, 12632; 65.9418, 7043; 66.5186, 8258; 67.2323, 13199; 67.2824, 11669; 67.697, 8621; 75.6056, 6699; 77.0095, 9216; 77.0104, 3618; 77.5557, 9305; 85.6041, 11060; 86.0605, 5886; 87.5469, 10073; 87.5883, 5338; 87.6081, 11189; 87.9932, 7025; 88.9713, 6587; 89.7435, 5229; 91.0324, 11226; 91.5994, 4897; 94.1226, 11193; 103.1316, 11028; 103.7364, 13449; 103.8329, 60462; 104.0496, 2287; 104.0561, 42462; 104.0713, 70440; 104.1052, 87012256; 104.1131, 987052; 104.1637, 33908; 104.1851, 10406; 104.9517, 9350; 104.9852, 11431; 105.1059, 802215; 105.1126, 3062530; 106.5241, 13422; 107.6281, 10109; 121.7257, 6987; 123.1269, 6036; 123.1926, 18478; 123.2165, 8373; 123.8407, 9941; 124.488, 8454; 124.513, 12573; "
"72","72","Ingalls_Cys-Gly ",571.8,"179.0486 ","179.0486 ","56.9656, 34271; 58.9958, 15776; 59.0611, 2651; 60.0558, 1100; 62.7562, 1086; 69.4779, 1076; 76.0223, 165921; 76.9598, 3648; 81.7422, 2343; 85.0406, 1153; 88.022, 1125; 92.0334, 7933; 95.9833, 1036; 97.9921, 13245; 101.9487, 17820; 101.9501, 2245; 103.9644, 3730; 105.079, 3474; 105.5347, 2183; 108.9057, 2241; 115.9641, 40796; 116.0168, 45688; 116.2197, 2351; 125.9727, 1095; 128.6256, 1082; 133.9754, 2218; 136.7049, 1143; 137.0712, 1073; 138.0664, 3772; 138.103, 1100; 142.6505, 1101; 144.0092, 2420; 144.012, 22598; 155.9691, 2512; 155.9707, 1501; 162.0218, 46714; 162.1031, 1174; 169.9855, 4475; 176.4824, 1105; 178.0726, 15151; 178.1006, 26960; 178.1228, 29699; 178.1338, 10790; 179.0638, 53865; 179.0833, 11149; 179.0936, 23178; 179.1224, 27086; 179.1541, 4336; 180.1021, 2245; 180.1131, 14620; "
"73","73","Ingalls_Cystine ",786,"241.03112 ","241.03112 ","61.0409, 1082; 62.4476, 2259; 72.8576, 1103; 74.0066, 7643; 74.0244, 43201; 86.3053, 1023; 86.938, 1032; 98.2067, 2136; 110.1325, 2142; 120.0091, 9851; 120.0123, 157167; 121.0151, 3339; 122.0273, 78206; 125.1074, 9181; 151.9832, 197140; 153.9986, 4319; 164.9294, 1133; 171.1093, 2529; 171.1135, 43563; 172.9323, 1118; 177.9993, 2152; 191.4427, 2221; 194.1371, 6997; 195.0259, 5710; 200.0595, 3245; 216.3429, 15210; 216.3565, 67756; 226.994, 2154; 227.2025, 1084; 237.8931, 2244; 241.028, 5527; 241.033, 10042; 241.1556, 11367; "
"74","74","Ingalls_Cytidine ",513,"244.1143 ","244.1143 ","51.6682, 14102; 64.5802, 14720; 68.5874, 13249; 69.0453, 14429; 70.0588, 12677; 74.0594, 15512; 95.0245, 31789; 112.0477, 4544160; 112.0537, 11714693; 113.0479, 42357; 113.054, 234777; 123.1072, 16650; 123.1127, 20868; 123.2048, 19499; 130.1266, 14059; 152.235, 15052; 160.6898, 2589; 160.6925, 14063; 179.8772, 15836; 188.8062, 14903; 218.0992, 127445; 218.1123, 26681; 223.2954, 13882; 244.1557, 27219; "
"75","75","Ingalls_Cytosine ",444.6,"112.0881 ","112.0881 ","50.9182, 70365; 50.9645, 73207; 55.8265, 81306; 66.3193, 68335; 69.0455, 3362496; 70.9332, 80066; 73.7388, 71833; 89.3269, 73554; 94.0403, 991560; 95.0246, 9370328; 95.1731, 73827; 96.0277, 375941; 109.126, 70955; 111.0619, 257180; 111.9888, 46045; 111.9904, 37269; 112.0477, 46377979; 112.0534, 116283894; 112.1378, 79447; 113.0476, 1350522; 113.0547, 5662183; 113.0718, 85763; 113.1073, 110580; 121.3682, 92353; "
"76","76","Ingalls_Dimethyl Glycine",538.2,"104.07061 ","104.07061 ","50.0426, 11292; 55.5321, 3611; 56.0498, 14728; 56.0505, 31174; 57.0342, 8174; 57.4215, 4065; 58.0244, 3526; 58.066, 24087068; 58.1805, 2575; 59.0659, 729512; 59.0703, 21182; 60.0731, 3539; 60.3148, 3634; 62.9297, 2843; 62.9301, 1250; 67.2392, 11977; 71.6678, 2387; 74.9868, 13242; 75.2229, 2518; 75.5839, 11393; 76.5562, 2299; 77.2294, 13106; 77.2303, 1947; 79.7962, 2426; 81.7767, 12766; 86.0606, 150074; 89.9734, 3616; 90.3396, 14689; 93.1492, 10612; 93.1504, 2710; 102.7399, 11957; 103.1312, 11417; 104.0686, 1311505; 104.0739, 7390226; 104.1074, 85597; 105.0749, 311684; 122.9396, 12411; "
"77","77","Ingalls_Homocysteine Thiolactone",166.8,"118.0865 ","118.0865 ","53.0393, 7546; 56.0496, 32551; 56.0506, 146409; 58.066, 228154; 59.0737, 315152; 72.0815, 28820; 73.0113, 24688; 74.0969, 11570; 90.0012, 6350; 90.0376, 806859; 91.0409, 27789; 95.0489, 32449; 95.0507, 15229; 100.0217, 54506; 100.1122, 106370; 101.006, 19082; 105.0452, 18866; 117.1468, 30228; 118.0295, 1489; 118.0326, 124521; 118.0649, 223565; 118.0856, 5068308; 118.0927, 31651; 118.1235, 337909; 119.0354, 97724; 119.0651, 12134; 119.0859, 165495; 119.0926, 95254; 119.1264, 6643; "
"78","78","Ingalls_Homocystine ",754.8,"269.0105 ","269.0105 ","53.8531, 1002; 60.0913, 1034; 60.7478, 1023; 71.0861, 4202; 88.0221, 46544; 90.0377, 58794; 107.4331, 1024; 107.8524, 2321; 113.1073, 4085; 118.0324, 36877; 128.9536, 18707; 134.0268, 108418; 134.0301, 1724; 136.0429, 113348; 136.062, 3719; 152.2315, 2078; 156.1492, 2173; 156.1508, 1024; 189.1479, 1096; 198.5295, 1032; 205.1359, 2058; 214.948, 1052; 223.5868, 5754; 223.5994, 11391; 241.9881, 1145; 269.0161, 2206; 269.0339, 3646; 269.15, 1104; 270.2795, 4134; 287.0253, 6803; 287.0318, 3376; "
"79","79","Ingalls_Homoserine ",679.2,"120.0658 ","120.0658 ","56.0496, 109903; 56.0508, 211868; 57.0536, 5395; 74.0242, 53429; 74.061, 2074146; 75.064, 71083; 80.007, 1166; 84.045, 17642; 84.7999, 1066; 85.8524, 2346; 88.2403, 2181; 97.8158, 3455; 101.9435, 3594; 102.0552, 155287; 102.6287, 1013; 107.5959, 3633; 119.0862, 44166; 119.0912, 38003; 119.1265, 4023; 120.0628, 382932; 120.0794, 15365; 120.0914, 4609; 121.0494, 1636; 121.0587, 20137; 121.0766, 12863; 123.189, 2676; 123.1901, 1184; 124.5347, 4089; "
"80","80","Ingalls_Hordenine ",200.4,"166.1226 ","166.1226 ","52.8116, 108639; 55.0073, 179532; 56.3634, 171357; 58.0661, 1756474; 72.0814, 111066; 77.0395, 326200; 79.7282, 147363; 83.6983, 143597; 87.8299, 13281; 87.8312, 89350; 91.0551, 869019; 93.0691, 1092714; 93.0715, 2537614; 103.0544, 772458; 104.202, 157700; 120.0574, 401055; 120.7742, 178520; 120.9414, 323732; 120.9675, 219646; 120.995, 1187865; 121.0632, 493530635; 121.0707, 1452625; 121.1355, 1043231; 121.4086, 111782; 121.4108, 53287; 122.0662, 22998047; 122.0717, 2895723; 123.6135, 156117; 124.087, 291763; 125.0813, 103921; 142.5858, 300957; 155.3994, 164699; 165.1149, 142593; 166.0081, 120932; 166.0115, 53218; 166.1207, 150682627; 166.1316, 574546; 167.1228, 9049616; 167.1315, 223806; 174.8575, 168808; "
