PeakID,Title,Scans,RT left(min),RT (min),RT right (min),Precursor m/z,Height,Area,Model masses,Adduct,Isotope,Comment,Reference RT,Reference m/z,Formula,Ontology,InChIKey,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,RT similarity,Dot product,Reverse dot product,Fragment presence %,Total score,S/N,MS1 isotopes,MSMS spectrum
0,Unknown,892,1.942446,2.051578,2.207489,345.1244,46811.37891,189812.7813,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,13.56723,345.12439:61423,
1,Unknown,892,1.902669,2.051578,2.292466,374.1668,176926.2188,1635145.125,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,56.27454,374.16681:196513 375.16959:55959 377.14832:29523,
2,Unknown,894,1.910471,2.058378,2.2481,234.0408,119889.8438,955027.6875,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,36.93964,234.04083:174712 235.1217:54504 235.95348:121756 237.12447:306823,
3,Unknown,895,1.93466,2.060624,2.240246,191.0708,706075.5,5156425.5,null,[M+K-2H]-,M + 0,adduct linked to 5_[M+Na-2H]-,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,47.32598,191.07085:745055 192.07431:89911 192.91104:40032 194.90538:727308 194.93942:104828 195.90533:158651,55.01767:4554 79.40291:3494 90.89857:3289 97.65225:3289 103.30453:3388 123.994:3422 148.09441:4276 173.58223:3720 176.66977:3788
4,Unknown,895,1.978954,2.060624,2.213137,192.0743,76750.24219,399346.3125,null,[M+K-2H]-,M + 1,isotope of 3,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,16.38574,192.07431:89911 192.91104:40032 194.90538:727308 194.93942:104828 195.90533:158651 196.90924:29764,
5,Unknown,898,1.942446,2.066891,2.423653,175.0969,7392832.5,45803184,null,[M+Na-2H]-,M + 0,adduct linked to 3_[M+K-2H]-,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,424.8,174.95381:44018 175.09689:7729254 176.10022:669685 177.10114:63721 178.51686:29712,50.73911:3645 55.01771:27711 59.89804:3832 76.96886:18680 78.96567:7728 81.06351:3192 82.38281:3884 83.01254:19671 94.97939:6701 96.97658:4886 100.16478:3590 105.13661:3579 136.82661:3430 154.9471:4164 156.94336:33347 156.95018:4931 157.10179:3998 173.58997:3606 174.67798:3758
6,Unknown,898,1.910471,2.066891,2.251654,176.1002,639208.5625,3779546,null,[M+Na-2H]-,M + 1,isotope of 5,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,81.17863,176.10022:669685 177.10114:63721 178.51686:29712 181.05009:70387,
7,Unknown,899,1.994443,2.070507,2.271806,149.06,73089.84375,647596.4375,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,16.03441,148.95175:808198 149.05995:87694 150.06651:40486 150.94765:52055 151.03925:34169 152.03441:51504,
8,Unknown,899,1.982558,2.070507,2.174725,164.0346,164003.9375,1099972.75,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,8.564402,164.03462:209790 164.07907:94648 164.0826:33337 164.89488:29801 166.04993:56278 166.05367:792034 167.0569:35843 168.04938:33524,
9,Unknown,899,2.014666,2.070507,2.268606,275.1139,180542.625,1151683.5,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,57.92706,274.63437:28722 274.88235:35729 275.11389:195829 277.14493:40316,
10,Unknown,900,1.978954,2.073714,2.284235,287.0773,298766.75,1890633.25,null,[2M+FA-H]-,M + 0,adduct linked to 11_[M-H]-,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,73.39005,287.07733:332950 287.11938:603888 288.12271:87072 290.89478:37348,
11,Unknown,901,2.02487,2.075959,2.141934,120.0443,46177.79688,159705.3281,null,[M-H]-,M + 0,adduct linked to 10_[2M+FA-H]-,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,5.49496,120.04433:74566 121.02834:97711 123.05527:89436 124.05051:68687 124.44228:26583,
