PeakID,Title,Scans,RT left(min),RT (min),RT right (min),Precursor m/z,Height,Area,Model masses,Adduct,Isotope,Comment,Reference RT,Reference m/z,Formula,Ontology,InChIKey,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,RT similarity,Dot product,Reverse dot product,Fragment presence %,Total score,S/N,MS1 isotopes,MSMS spectrum
0,Unknown,935,2.029918,2.130881,2.356261,129.091,1562197.875,11039308,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,76.22883,129.091:1505850 130.04007:95091 130.09447:130667 131.03514:73352 132.05565:147190 133.05099:43049 134.03497:92051,51.00247:3843 69.94299:3268 99.87554:3299 105.61173:3672 110.91767:4326 120.55006:3774
1,Unknown,937,2.029918,2.137452,2.275156,165.0403,219997.5156,1548497.625,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,16.17284,165.04004:252274 166.03946:57041 166.05347:540871,
2,Salicylic Acid,945,1.774117,2.153558,2.543962,137.0233,61105860,440186400,null,[M-H]-,M + 0,,2.2,137.02386,null,null,null,null,annotated by user-defined text library,TRUE,TRUE,FALSE,100,null,null,null,99.7,2979.318,136.99266:74137 137.02335:70671784 137.05284:120912 137.93948:621291 138.01865:153663 138.02672:5758610 139.0276:420201 139.03018:95834 139.93726:93165 140.03099:70384 141.00032:93001,65.03844:10340 93.03334:3996381 101.60676:4328 103.53206:5174 109.941:9646 110.94416:14840 112.11229:5250 123.9737:4702 136.94739:12104 137.02328:956941
3,Unknown,945,1.913968,2.153558,2.431829,139.0276,467602.75,2937364.5,null,[M-H]-,M + 2,isotope of 2,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,41.65044,139.0276:420201 139.03018:95834 139.93726:93165 140.03099:70384 141.00032:93001 143.10672:367962,
4,Unknown,948,2.01693,2.159873,2.530422,93.03336,15338717,113247512,null,[M+Cl]-,M + 0,adduct linked to 7_[M+Br]-; found in higher mz's MsMs_2,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,564.816,93.03336:17347770 94.03672:1139418 94.97939:20967038 95.02374:69852 95.97896:1031952 96.05547:119443 96.95889:134040 96.97625:847589 96.98373:146418 97.0394:91342 98.02347:91961,55.37209:3211 61.48946:3711 65.01328:10952 65.03838:44437 65.99725:6275 66.0166:6253 73.01029:4491 74.98956:7942 76.35888:3532 76.98627:4226 88.0638:3622 92.99458:3885 93.00018:9718 93.00835:27217 93.01649:10900 93.03334:1854663
5,Unknown,948,1.930202,2.159873,2.492256,94.03672,979214.625,6883091,null,[M+Cl]-,M + 1,isotope of 4,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,46.63736,94.03672:1139418 94.97939:20967038 95.02374:69852 95.97896:1031952 96.05547:119443 96.95889:134040 96.97625:847589 96.98373:146418 97.0394:91342 98.02347:91961 98.68177:45870 99.00753:84046 99.01876:123329,66.00848:7118 66.03363:8004 66.04172:8774 67.65688:3533 76.96873:5798 89.56282:3440 93.62544:3299 94.02911:17378 94.03669:389924
6,Unknown,948,2.049999,2.159873,2.495466,138.0267,4666173,33345828,null,[M-H]-,M + 1,isotope of 2,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,160.4101,137.93941:474413 138.02672:4977450 138.06606:53287 139.02763:433191 139.03004:87077 139.93701:73476 140.07022:53932 141.00061:63303,
7,Unknown,949,1.949118,2.16345,2.385507,136.9928,65122.375,291870.5,null,[M+Br]-,M + 0,adduct linked to 4_[M+Cl]-,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,7.771126,136.94759:63379 136.99316:93103 137.02332:70218752 137.05214:92385 137.05466:53042 137.10832:54616 137.93945:482286 138.0267:5095303 138.06622:93254 139.02754:410286 139.03021:183601 139.64801:44794 140.03094:55053 141.00032:66904,
8,Unknown,949,1.989962,2.16345,2.34013,550.58,44712.35156,141688.8906,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,11.69382,550.57898:99365 550.60217:103193 555.0943:48115,
9,Unknown,961,2.114744,2.186585,2.208968,172.9571,1481161.125,8016227,null,[M-H]-,M + 0,found in higher mz's MsMs_10,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,4.121796,172.95714:1609366 173.95656:182601 174.95409:81703,
