PeakID,Title,Scans,RT left(min),RT (min),RT right (min),Precursor m/z,Height,Area,Model masses,Adduct,Isotope,Comment,Reference RT,Reference m/z,Formula,Ontology,InChIKey,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,RT similarity,Dot product,Reverse dot product,Fragment presence %,Total score,S/N,MS1 isotopes,MSMS spectrum
0,Unknown,921,1.932019,2.082678,2.259233,129.0911,1653577.5,10788286,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,96.9073,129.09113:1731804 130.04021:87730 130.09447:92811 131.03523:116165 132.05574:363918 133.05098:117339 134.03503:171165 134.04634:46579 134.07147:61764,53.3952:3731 63.79281:3347 64.46848:3861 66.61061:3617 67.21266:3267 68.30329:3496 72.58344:3413 79.6488:3210 100.1238:3982 124.00938:3692 129.09109:138697
1,Unknown,921,1.973066,2.082678,2.211594,199.0066,35596.375,113279.3047,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,5.278789,199.00662:82571 199.16982:73654,
2,Unknown,924,1.922186,2.089662,2.293608,130.0945,111808.8438,558878.625,null,[M-H]-,M + 1,isotope of 0,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,29.31444,130.04008:66632 130.09454:149879 132.05577:83978 134.03508:81073 134.07146:44290,
3,Unknown,929,1.885536,2.10462,2.320771,94.0368,914487.5,6247384.5,null,[M+Cl]-,M + 1,isotope of 8,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,44.37195,94.0368:954736 94.97949:23333382 95.20563:48488 95.97906:1182372 96.05564:110876 96.95898:95438 96.97633:781871 96.9822:51331 96.98367:260480 97.03956:86663 98.02367:64974 99.01887:149663,50.47063:3483 50.72025:3767 54.05324:3112 59.39437:2947 66.0337:3977 66.04186:8487 68.39378:3335 69.14674:3387 69.56963:3518 70.56632:3939 74.00996:4411 74.41328:3719 76.96896:7617 78.94021:4134 78.9722:4119 81.24085:3243 92.14756:3683 93.99575:5308 94.0288:10666 94.0368:386790
4,Unknown,929,1.999539,2.10462,2.211594,136.6094,54249.68359,182218.8125,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,17.61525,136.60941:93777 136.99431:108758 137.02347:73268624 137.05385:86941 137.4395:108028 137.93935:108356 138.01874:138902 138.02686:5879314 138.06641:49548 139.00026:42683 139.02769:379923 139.0303:149360 141.00076:110511,
5,Unknown,929,1.995977,2.10462,2.211594,136.9943,52838.16797,163418.8438,null,[M+Br]-,M + 0,adduct linked to 8_[M+Cl]-,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,8.10919,136.60941:93777 136.99431:108758 137.02347:73268624 137.05385:86941 137.4395:108028 137.93935:108356 138.01874:138902 138.02686:5879314 138.06641:49548 139.00026:42683 139.02769:379923 139.0303:149360 141.00076:110511,
6,Unknown,929,2.009331,2.10462,2.187465,137.4395,56421.69922,194041.75,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,17.14841,136.99431:108758 137.02347:73268624 137.05385:86941 137.4395:108028 137.93935:108356 138.01874:138902 138.02686:5879314 138.06641:49548 139.00026:42683 139.02769:379923 139.0303:149360 141.00076:110511,
7,Unknown,933,2.060762,2.112343,2.207975,62.99612,6376328.5,52653604,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,7.048078,62.99612:6363732,60.99194:16187 62.8672:3922 62.98425:73160 62.99614:2370660 63.47993:3787
8,Unknown,933,2.01272,2.112343,2.507521,93.03345,15674733,109662840,null,[M+Cl]-,M + 0,adduct linked to 5_[M+Br]-; found in higher mz's MsMs_9,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,562.9238,93.03345:17194890 93.26614:51474 94.0368:974380 94.97947:21276484 95.02394:49722 95.97905:999546 96.05555:111258 96.95898:58605 96.97631:722510 96.98368:154178 98.02366:87372,54.98778:3561 65.01331:8273 65.03844:30560 65.87682:3640 65.99729:8352 66.01669:3362 66.03363:4427 66.25466:3534 68.64856:3469 73.01032:6298 74.98962:10025 75.78142:3282 80.20147:3840 83.92282:3693 86.08231:4723 88.35368:3300 90.32478:3496 90.98335:3741 92.76993:3598 93.00021:10809 93.00831:24061 93.01661:9653 93.03343:1384310
9,Salicylic Acid,933,1.928496,2.112343,2.638964,137.0235,62472424,434648416,null,[M-H]-,M + 0,,2.2,137.02386,null,null,null,null,annotated by user-defined text library,TRUE,TRUE,FALSE,100,null,null,null,99.8,3106.656,136.60909:115990 136.99359:88820 137.02345:68066824 137.43953:91112 138.02682:5179648 139.0276:358962 139.03026:121908 139.97458:54902 141.0005:66014,61.6791:4212 65.03857:6608 93.03343:1760672 119.44265:3875 121.89082:3522 122.45272:3499 132.19:3573 136.94182:4600 137.02342:441652 137.03516:10618
10,Unknown,933,2.01272,2.112343,2.479429,138.0268,4874811.5,32991430,null,[M-H]-,M + 1,isotope of 9,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,164.343,138.02682:5179648 139.0276:358962 139.03026:121908 139.97458:54902 141.0005:66014,53.76047:3938 54.22671:3739 54.88145:4084 65.03841:4959 66.0419:6907 67.22894:3800 79.58745:4440 82.03871:4396 82.33344:4480 89.38667:4124 93.03345:385034 94.0368:2185166 96.60865:3755 107.91071:4351 108.02067:20891 111.93628:33361 120.30941:3714 137.93938:12867 138.01901:32127 138.02679:625529
11,Unknown,933,2.033485,2.112343,2.272706,139.0276,448396.25,2623878.5,null,[M-H]-,M + 2,isotope of 9,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,40.41018,139.0276:358962 139.03026:121908 139.97458:54902 141.0005:66014 143.1068:365843,
12,Unknown,953,2.074234,2.157586,2.327508,165.04,288630.5313,2084667.625,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,14.72409,165.04002:379319 166.03999:41789 166.05367:645548 168.04921:57857,
13,Unknown,957,1.989231,2.165309,2.364516,191.0379,153503.4688,722145.9375,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,13.72325,191.03792:153895 194.90546:643720 194.93951:90940 195.90538:150961,
14,Unknown,962,1.995977,2.175838,2.364516,381.0893,79314.76563,383358.4063,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,19.4227,381.08932:152740,
15,Unknown,975,1.964617,2.202411,2.325262,172.0511,854162.375,5308562,null,[M-H]-,M + 1,isotope of 23,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,48.73678,172.04703:76541 172.05112:715064 172.95731:895845 173.04352:374522 173.06339:36688 173.11757:42433 173.95688:74184 173.97206:38448 174.95396:42080 175.06197:60071,
16,Unknown,975,2.112343,2.202411,2.329753,173.0435,415423.2188,2489925.25,null,[M+FA-H]-,M + 0,adduct linked to 20_[M-H]-,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,15.26059,172.95731:895845 173.04352:374522 173.06339:36688 173.11757:42433 173.95688:74184 173.97206:38448 174.95396:42080 175.06197:60071,
17,Unknown,975,2.042466,2.202411,2.268214,208.0348,47739.875,201421.875,null,[M+Cl]-,M + 1,isotope of 26,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,13.60842,208.03479:55360 211.27806:64108 212.0748:34115108,
