PeakID,Title,Scans,RT left(min),RT (min),RT right (min),Precursor m/z,Height,Area,Model masses,Adduct,Isotope,Comment,Reference RT,Reference m/z,Formula,Ontology,InChIKey,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,RT similarity,Dot product,Reverse dot product,Fragment presence %,Total score,S/N,MS1 isotopes,MSMS spectrum
0,Unknown,904,2.03341,2.052949,2.082603,172.9572,1116727.25,3258995.75,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,0.957163,172.9572:1259521 173.04355:531024 173.95656:164263 174.04688:52493 175.09669:63137 176.89462:69107 176.92834:43852,
1,Unknown,907,1.925221,2.059336,2.217281,139.0754,112320.3828,640081.0625,null,[M+FA-H]-,M + 0,adduct linked to 13_[M-H]-,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,33.01289,138.9095:127413 139.02765:100017 139.03035:42198 139.07544:170367 139.29506:33774 139.93715:66286 140.75337:32185 140.98508:195235 141.00061:79216 141.09106:68802 141.93677:33692 143.10677:284963 143.91451:58214,
2,Unknown,907,1.969383,2.059336,2.126111,208.0351,63901.81641,192444.2188,null,[M+Cl]-,M + 1,isotope of 11,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,23.39304,208.03514:91967 210.0591:101100 211.27809:56620 212.07469:36063188 212.1313:38387 212.87585:53578,
3,Unknown,907,1.942264,2.059336,2.22415,381.0898,120870.7656,635380.5,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,44.63984,380.97876:40706 381.08975:190911,
4,Unknown,908,1.918862,2.062776,2.271156,127.0577,1840809.125,10359837,null,[M-H]-,M + 0,adduct linked to 14_[M+FA-H]-,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,218.1566,127.05767:2029580 128.03429:64934 128.061:150821 129.05365:87478 129.09105:394039 132.05582:31455,50.37078:3144 62.15268:3042 63.75363:3788 73.17614:3779 73.69964:3107 74.97671:3484 80.58325:3268 106.77409:3217 126.90385:13447
5,Unknown,908,1.979797,2.062776,2.108832,129.0536,56229.19922,164293.1406,null,[M+Cl]-,M + 0,adduct linked to 13_[M-H]-,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,5.52479,129.05365:87478 129.09105:394039 132.05582:31455 133.097:37189,
6,Unknown,908,1.925221,2.062776,2.255437,159.0476,265545.7188,1371124.125,null,[M-H]-,M + 0,adduct linked to 10_[M+FA-H]-,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,13.92296,159.04768:297538 161.04414:55295 162.89244:40383 164.03465:79397,
7,Unknown,908,1.870221,2.062776,2.367472,171.0478,12491124,71640160,null,[M-H]-,M + 0,adduct linked to 11_[M+Cl]-,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,553.7104,171.04781:13438606 171.10193:50899 171.13815:96657 172.0472:74187 172.05112:1059507 172.95721:1142804 173.04362:546129 173.05135:52253 173.11761:47485 173.95683:121591 174.047:68893 174.95404:65129 174.96123:37931 175.09683:83287,56.97918:3929 58.97502:9845 59.01265:6823 59.96611:7338 60.99071:6983 65.01331:4715 69.1151:3772 75.96095:16996 76.96883:351157 79.9561:6690 82.44468:3430 82.44743:3365 83.59999:3566 87.08026:3625 94.97944:202841 96.78212:5411 99.00641:11210 100.01421:5071 101.02243:4670 101.51861:4533 106.71841:3665 115.10586:3921 122.67001:3910 141.74696:3548 154.94649:618683 171.46809:4033
8,Unknown,908,1.911327,2.062776,2.284214,172.0512,1104950.625,6106460.5,null,[M-H]-,M + 1,isotope of 7,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,100.5722,172.0472:74187 172.05112:1059507 172.95721:1142804 173.04362:546129 173.05135:52253 173.11761:47485 173.95683:121591 174.047:68893 174.95404:65129 174.96123:37931 175.09683:83287,
9,Unknown,908,1.963087,2.062776,2.174427,174.047,47366.44141,158027.9531,null,[M+FA-H]-,M + 1,isotope of 14,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,5.118438,173.95683:121591 174.047:68893 174.95404:65129 174.96123:37931 175.09683:83287,
