PeakID,Title,Scans,RT left(min),RT (min),RT right (min),Precursor m/z,Height,Area,Model masses,Adduct,Isotope,Comment,Reference RT,Reference m/z,Formula,Ontology,InChIKey,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,RT similarity,Dot product,Reverse dot product,Fragment presence %,Total score,S/N,MS1 isotopes,MSMS spectrum
0,Unknown,902,1.956524,2.088711,2.223243,213.0332,66494.08594,260468.6094,null,[M+Br]-,M + 0,adduct linked to 2_[M-H2O-H]-,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,23.31843,212.87555:39760 213.03319:68978 213.07819:4115871 214.07053:1700605 214.08015:157916 215.00946:72884 215.07401:155526,
1,Unknown,902,1.91187,2.088711,2.308399,261.0374,341238.4688,1707981.125,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,126.2853,261.03745:355629 264.31958:46267 265.31958:30440,58.32528:3121 58.44878:3491 63.85058:3435 63.88887:3589 74.02348:19637 78.64899:3347 82.22846:3216 90.33073:3415 96.99807:5276 113.63508:3478 133.07489:3526 133.12338:3021 152.54875:3915 156.25595:3386 204.76094:3777 216.91139:3758 220.24857:27879 225.61589:4744
2,Unknown,906,1.968947,2.097919,2.39698,115.0753,11545693,68243000,null,[M-H2O-H]-,M + 0,adduct linked to 0_[M+Br]-,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,704.9832,114.92117:31018 114.93295:118194 114.93513:536496 115.00242:66623 115.07533:12404913 116.0245:36673 116.03414:30140 116.07869:778789 116.92743:2842930 116.93342:296351 117.01826:53751 117.07968:52089 117.92757:321284 118.04:181277 118.92569:88578 119.31357:27452 120.0557:178197,51.07229:3445 51.99807:3817 73.41454:3467 79.42586:3945 86.14259:3413 96.30064:3665 97.92647:6371 97.93015:128130 99.33448:3587
3,Unknown,906,1.980966,2.097919,2.261461,116.0787,749939.8125,4102412,null,[M-H2O-H]-,M + 1,isotope of 2,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,47.65623,116.0245:36673 116.03414:30140 116.07869:778789 116.92743:2842930 116.93342:296351 117.01826:53751 117.07968:52089 117.92757:321284 118.04:181277 118.92569:88578 119.31357:27452 120.0557:178197 121.02847:106714 121.0396:63112 121.05085:158680,51.16537:3385 57.20402:3227 57.81973:3310 70.28716:4262 81.0887:3562 89.01363:3783
4,Unknown,916,2.02489,2.120437,2.192783,71.01266,88034.60938,522132.5313,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,8.393552,71.01266:77658 73.02827:178105 75.00754:153139,
5,Unknown,916,2.011997,2.120437,2.475702,99.00763,7312595,42620160,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,478.1424,99.00763:7502677 99.01888:71547 99.05528:43515 99.92466:59912 100.01097:366664 100.03918:50948 100.98445:205460 101.0233:105793 101.05968:136550 102.05492:118894,53.22541:2968 55.0776:3443 56.99764:3163 57.03342:3982 58.844:3117 59.24015:3041 64.28657:3150 78.96566:5988 80.96984:3870 82.15876:3841 83.7189:3754 87.96499:4372 94.72569:3341 96.03247:3478 98.94817:4027 98.95477:5196
6,Keto-?-(methylthio)butyric acid,916,1.803675,2.120437,2.458514,147.0112,10660795,61069768,null,[M+Cl]-,M + 0,adduct linked to 8_[M+K-2H]-,2.59,147.0116,null,null,null,null,annotated by user-defined text library,TRUE,TRUE,FALSE,99.7,null,null,null,99.7,732.081,146.90752:27903 146.96486:39192 147.01125:10932638 148.01076:80027 148.01463:653544 148.19965:30323 148.95172:945256 149.00703:493129 149.01573:31030 149.02669:89024 149.05986:29609 150.01056:29507 150.94748:27994 151.03931:36643,57.97456:4611 61.98719:14843 63.99543:3508 69.53088:3176 71.14147:3425 72.62502:3110 73.85165:3708 80.65069:3676 81.18635:4106 81.8378:3663 88.38795:3343 101.96519:3416
7,Unknown,916,1.950301,2.120437,2.258166,148.0146,675334.6875,3379836.75,null,[M+Cl]-,M + 1,isotope of 6,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,24.99619,148.01076:80027 148.01463:653544 148.19965:30323 148.95172:945256 149.00703:493129 149.01573:31030 149.02669:89024 149.05986:29609 150.01056:29507 150.94748:27994 151.03931:36643 152.03444:87517,
8,Unknown,916,1.984334,2.120437,2.258166,149.0071,467553.125,2376472.75,null,[M+K-2H]-,M + 0,adduct linked to 6_[M+Cl]-,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,29.32369,148.95172:945256 149.00703:493129 149.01573:31030 149.02669:89024 149.05986:29609 150.01056:29507 150.94748:27994 151.03931:36643 152.03444:87517,
9,Unknown,917,1.936339,2.122684,2.242447,100.011,298629.625,1524724.25,null,[M-H]-,M + 1,isotope of 5,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,26.25928,99.92468:95613 100.01096:354144 100.03931:73431 100.9845:171090 101.012:46751 101.02328:51233 101.03463:31079 101.05969:151443 102.05491:92473,
