PeakID,Title,Scans,RT left(min),RT (min),RT right (min),Precursor m/z,Height,Area,Model masses,Adduct,Isotope,Comment,Reference RT,Reference m/z,Formula,Ontology,InChIKey,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,RT similarity,Dot product,Reverse dot product,Fragment presence %,Total score,S/N,MS1 isotopes,MSMS spectrum
0,Unknown,914,1.93856,2.076887,2.264262,142.9636,76494.85938,353517.125,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,8.978263,142.96339:101757 143.10681:511632 144.04446:191737 144.11029:51770 144.97441:60516 145.05032:102554 146.00308:32947 146.0238:59126 146.06015:53677 146.07147:43995 146.96472:39089 147.06554:135258 147.08063:45613,
1,Unknown,914,1.93856,2.076887,2.224527,162.9498,122108.2031,667805.75,null,[M-H]-,M + 0,found in higher mz's MsMs_9,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,10.43011,162.89264:52064 162.94981:201914 163.07567:3525328 164.03441:38607 164.0791:328202 164.97971:35145 166.0536:577998,
2,Unknown,916,1.976594,2.080383,2.328168,93.03342,1655503.875,14334564,null,[M-H]-,M + 0,found in higher mz's MsMs_6; found in higher mz's MsMs_4,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,49.32635,93.03342:1927520 94.0368:115892 94.97944:22760450 94.99702:42605 95.02381:46705 95.97502:68018 95.979:1073413 96.05563:76274 96.95894:99061 96.9763:794806 96.98369:136305 97.03963:90763 98.02361:89314,52.34108:3458 55.67001:3212 65.0133:10788 65.03848:12454 65.99738:4658 73.01036:7422 74.98962:6086 76.05258:3456 76.74773:3363 83.6745:3236 93.0001:8163 93.00836:17573 93.01663:8515
3,Unknown,916,1.965219,2.080383,2.224527,94.0368,105863.1719,667785.5625,null,[M-H]-,M + 1,isotope of 2,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,4.455894,94.0368:115892 94.97944:22760450 94.99702:42605 95.02381:46705 95.97502:68018 95.979:1073413 96.05563:76274 96.95894:99061 96.9763:794806 96.98369:136305 97.03963:90763 98.02361:89314 99.00759:627615 99.01881:171322,
4,Unknown,916,1.838761,2.080383,2.469515,137.0234,6408341,49584700,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,248.9941,137.02344:7201440 137.9395:79355 138.02679:452849 140.96754:902395 141.00063:64258 141.09125:48979,58.48643:3402 59.15849:3896 61.77129:3321 61.93913:3503 78.57385:3863 93.03343:647239 101.03877:3616 121.7234:3169 137.02345:33871
5,Unknown,916,1.976594,2.080383,2.186303,138.0268,471017.4375,3025591.75,null,[M-H]-,M + 1,isotope of 4,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,27.60485,137.9395:79355 138.02679:452849 140.96754:902395 141.00063:64258 141.09125:48979 142.96339:38557,
6,Unknown,916,1.924792,2.080383,2.331766,215.0921,699107.125,6091947,null,[M+Cl]-,M + 0,adduct linked to 10_[M+Na-2H]-,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,35.23928,215.07367:116607 215.09207:710641 215.1283:42299 216.09541:64120 217.07153:926648 217.10774:163890 218.0748:77578,57.03328:8978 57.17494:3295 57.37806:3485 59.01263:62595 65.95705:45394 65.96539:5011 66.96484:73188 69.03336:30025 71.01269:15957 71.0491:4148 79.3594:3509 81.0698:10423 83.01261:8673 83.04899:11407 89.24776:3459 92.04942:7054 93.0528:11037 95.04909:30491 96.15577:4243 97.02833:77510 97.06474:50436 98.70693:3441 99.08017:3283 101.02333:13950 107.04912:13693 109.02842:9940 110.03618:8819 113.15434:4254 123.9337:3482 125.05975:50903 129.39813:3512 130.23811:3319 138.03828:5946 139.04195:5163 142.99643:7925 143.99979:14435 147.09961:18094 149.11552:10118 159.0108:4990 171.10188:8751 190.64119:3860 215.00922:12628 215.07407:15309
7,Unknown,916,1.93856,2.080383,2.264262,217.0715,757320.6875,4974215.5,null,[M+Cl]-,M + 0,adduct linked to 9_[M-H2O-H]-,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,20.0273,217.07153:926648 217.10774:163890 218.0748:77578,55.01768:27269 56.39408:3669 57.03335:16329 61.51056:3114 61.51438:3293 63.86338:3330 64.55654:4026 71.01267:7781 71.04905:7574 71.26031:3567 71.46808:3144 73.02836:10647 73.47855:3169 76.96886:4912 78.43137:3481 82.78878:3356 83.01272:23631 85.02832:84553 86.14144:3530 87.04357:4096 90.94946:3844 97.82328:3406 99.0076:201624 101.02344:11060 109.06484:17990 147.36101:4454 152.08513:3323 152.16289:3475 196.45233:3652
8,Unknown,921,1.909704,2.091455,2.253131,164.0789,332278.8438,2374869.5,null,[M-H2O-H]-,M + 1,isotope of 9,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,14.93407,164.07892:387902 165.04018:80217 165.07713:50617 166.05353:541732 166.95653:49072 168.04967:41531 169.07625:39281,
9,Unknown,922,1.93144,2.094884,2.360424,163.0757,3224105,25509224,null,[M-H2O-H]-,M + 0,adduct linked to 7_[M+Cl]-,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,109.4794,162.94972:86089 163.07568:3280435 164.03438:37331 164.07906:279581 165.01857:60327 165.07697:62478 166.05359:365540,52.0024:3784 56.99462:14318 62.54426:3444 63.78911:3170 65.01331:5025 66.62563:3420 73.15198:3452 79.9562:14605 82.03986:5069 100.14625:3483 102.94601:42980 111.20328:3207 111.40938:3277 117.07:8767 117.31406:3592 118.94099:8688 120.09687:3759 120.95667:16442 121.05092:16182 122.96657:4054 123.77145:3810 123.89031:3770 134.85385:3705 162.89261:23683 162.95007:8293 163.07573:39161
