PeakID,Title,Scans,RT left(min),RT (min),RT right (min),Precursor m/z,Height,Area,Model masses,Adduct,Isotope,Comment,Reference RT,Reference m/z,Formula,Ontology,InChIKey,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,RT similarity,Dot product,Reverse dot product,Fragment presence %,Total score,S/N,MS1 isotopes,MSMS spectrum
0,Unknown,902,1.926705,2.056647,2.282115,129.0911,1591008.625,11516301,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,74.28708,129.09108:1679534 130.04001:109734 130.09442:122444 131.03542:76559 131.93234:43619 132.05577:333738 133.05098:127165 134.03503:122172 134.04651:47339,51.61463:3273 53.73795:3509 54.64127:3423 54.97876:3114 59.69825:3291 59.91528:3745 64.36546:3947 76.02406:3839 76.56889:3365 100.76043:3287 106.88496:3623 123.49194:3228 125.21298:3408 129.09096:45693
1,Unknown,910,1.964429,2.077891,2.136047,136.993,72799.125,235397.7188,null,[M+Br]-,M + 0,adduct linked to 2_[M+Cl]-,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,10.00893,136.99303:71914 137.02342:67373440 137.43913:56448 138.02682:5440008 139.02766:400858 139.03035:120705 140.98532:57688 141.00053:113033,
2,Unknown,911,1.957654,2.08126,2.508569,93.03342,16268010,113770256,null,[M+Cl]-,M + 0,adduct linked to 1_[M+Br]-; found in higher mz's MsMs_4,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,499.5841,93.03342:16004092 94.03529:35619 94.03677:1133268 94.97945:22038902 95.02392:117157 95.97903:1120472 95.98373:76664 96.05541:60959 96.97629:757523 96.9837:237353 97.03952:103028 98.02369:60084,51.38581:3400 53.2084:4029 55.75708:3510 65.01328:13551 65.03845:46256 65.99733:6830 73.01029:4848 74.98963:7457 76.98621:4900 93.00013:9835 93.00829:24293 93.0334:2010896
3,Unknown,911,1.892136,2.08126,2.342864,94.03677,1024461,6873883.5,null,[M+Cl]-,M + 1,isotope of 2,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,51.59217,94.03529:35619 94.03677:1133268 94.97945:22038902 95.02392:117157 95.97903:1120472 95.98373:76664 96.05541:60959 96.97629:757523 96.9837:237353 97.03952:103028 98.02369:60084 98.90997:62603 99.00768:68596 99.01883:142465,54.501:3309 60.60071:4466 61.96719:3675 66.00851:5137 66.04185:8341 78.97233:3742 81.94377:3498 83.81069:3762 89.79704:3275 94.02885:10845 94.0368:344774
4,Salicylic Acid,911,1.810366,2.08126,2.442082,137.0234,64331140,437355488,null,[M-H]-,M + 0,,2.2,137.02386,null,null,null,null,annotated by user-defined text library,TRUE,TRUE,FALSE,100,null,null,null,99.8,2539.356,136.60956:64436 136.99278:64005 136.99571:78363 137.02342:66709632 137.05275:82699 138.01883:121546 138.02678:5105046 139.02765:355546 139.03029:117154 141.00056:74752,50.82163:4454 51.12344:4746 54.45303:5147 55.19831:4896 65.03846:47842 80.92405:4179 84.33267:5290 84.38531:5565 92.80266:5256 93.0334:4686716 93.26536:5634 95.32102:5215 108.72421:5465 114.95487:4902 123.96201:4633 132.13506:4869 136.83937:4949 137.02342:268036
5,Unknown,911,1.972167,2.08126,2.39086,138.0268,4954572,32920428,null,[M-H]-,M + 1,isotope of 4,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,164.5987,138.01883:121546 138.02678:5105046 139.02765:355546 139.03029:117154 141.00056:74752,
6,Unknown,911,1.885013,2.08126,2.209519,139.0276,478100.5625,2629779,null,[M-H]-,M + 2,isotope of 4,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,37.43099,139.02765:355546 139.03029:117154 141.00056:74752 143.10684:453595,
7,Unknown,911,1.937498,2.08126,2.170696,550.6037,62225.32813,304539.25,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,11.78872,550.59924:96286,
8,Unknown,931,1.964429,2.126995,2.212982,191.0378,153184.3594,707244.6875,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,12.83567,191.0378:169239 194.90536:588320 194.93927:112937 195.90546:74410,
9,Unknown,945,2.056647,2.155193,2.34511,165.0402,377540.0625,2842974.25,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,14.93892,165.04024:438747 166.05362:483813 166.95688:56595 167.03722:39701 169.09776:40834,54.36836:3218 54.73545:3239 56.17934:3324 59.06065:2930 62.10025:2965 72.9919:4394 74.98961:57834 75.991:3382 76.32546:3548 80.97353:8105 82.03978:23543 91.02091:54396 93.00018:72102 110.26065:4012 121.02843:10139 124.00826:3856 124.07854:4087 142.45363:4151 144.79996:3817 149.00865:558657 159.27747:3334 164.89461:10428 165.03995:10000
