PeakID,Title,Scans,RT left(min),RT (min),RT right (min),Precursor m/z,Height,Area,Model masses,Adduct,Isotope,Comment,Reference RT,Reference m/z,Formula,Ontology,InChIKey,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,RT similarity,Dot product,Reverse dot product,Fragment presence %,Total score,S/N,MS1 isotopes,MSMS spectrum
0,Unknown,856,1.94812,2.071924,2.189862,197.1179,140303.4063,1020059.625,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,26.8076,197.1179:194853 198.07831:63143 199.0067:51293 199.16978:102436 200.9624:554658 201.07776:50659,
1,Unknown,860,1.969453,2.081101,2.173287,309.0878,71042.10938,370580.5938,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,14.87036,309.0878:62585 310.90271:57847 311.16913:86734,
2,Unknown,865,1.97716,2.093021,2.180458,199.0064,45875.21484,207804.7188,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,6.820706,199.00648:55238 199.1698:88520 200.96251:322212 201.11244:66758 202.95938:91350,
3,Unknown,865,1.969453,2.093021,2.225533,246.0804,70240.77344,290096.6875,null,[M+K-2H]-,M + 0,adduct linked to 7_[M+Cl]-,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,13.85296,246.08038:83120 247.11865:350639 248.12163:50411 248.97327:23133566 249.96992:116185 249.97672:436175,
4,Unknown,865,1.874325,2.093021,2.409492,442.1569,178641.2031,1656353,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,48.36941,442.15598:182627 443.16064:67860 443.99228:50575 445.67929:34471,
5,Unknown,870,1.990439,2.104088,2.42948,129.091,1494882,12289839,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,72.65435,129.09103:1734468 130.03995:124474 130.09435:157065 130.93021:79347 131.03511:135465 131.0703:104256 132.05559:275750 133.05109:103349 134.03493:177134,52.52597:3505 57.6332:3574 64.01012:3374 66.09684:3016 66.31594:3913 72.22263:3484 85.4728:3411 88.52081:3390 91.32585:3464 95.25764:3426 109.49883:3246 113.72479:3346 115.59111:3347 121.35326:3348 123.73761:3589 124.14838:3556 129.09097:132996 129.09648:6971
6,Unknown,870,1.915973,2.104088,2.346703,130.0943,110170.4453,622038.375,null,[M-H]-,M + 1,isotope of 5,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,31.23483,130.03995:124474 130.09435:157065 130.93021:79347 131.03511:135465 131.0703:104256 132.05559:275750 133.05109:103349 134.03493:177134 135.00772:2555881 135.04416:31924 135.06657:45063,
7,Unknown,870,1.909771,2.104088,2.350121,244.1189,272678.9375,1582819.75,null,[M+Cl]-,M + 0,adduct linked to 3_[M+K-2H]-,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,49.75717,244.11893:331259 245.10309:55544 246.08022:81113 247.11862:270530 248.97319:22939674,55.18596:3575 58.16917:3543 58.91244:3538 63.78196:3397 65.40766:3396 69.47647:3498 82.02849:5811 88.62067:3540 103.89397:2963 112.14651:3629 118.17452:3281 124.07558:90766 127.17446:3600 168.06575:18135 168.10219:18402 192.67001:3983 200.09218:35806 212.09288:22940 226.30057:7174 226.31209:7238
8,Unknown,870,1.96211,2.104088,2.185921,443.1592,61482.17969,389920.1875,null,[M-H]-,M + 1,isotope of 4,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,12.01791,443.15921:107539,
9,Unknown,874,2.004908,2.111792,2.15184,142.9634,53080.21484,183486.5156,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,11.20965,142.96341:123357 143.10677:579173 144.04443:143379 144.11015:61842 145.05054:147205 146.02367:71464 146.0601:53606 147.06516:180988,
10,Unknown,878,1.954406,2.119496,2.280529,234.1061,59146.93359,253195.6719,null,[2M+FA-H]-,M + 1,isotope of 14,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,13.93673,234.10609:75783 235.12108:54627 235.95312:69701 237.12456:197720,
11,Unknown,878,1.864075,2.119496,2.457429,272.0226,662476.8125,4740796.5,null,[M+K-2H]-,M + 0,adduct linked to 15_[M+Cl]-,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,171.179,272.02231:738188 272.03098:70192 273.09775:70609 275.11389:171301,
12,Unknown,879,1.990439,2.123086,2.371076,140.9676,832066.9375,6123624,null,[M-H]-,M + 0,adduct linked to 13_[M+Na-2H]-; found in higher mz's MsMs_15,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,44.17274,140.96756:1008195 141.00041:96612 142.96356:57749 143.10675:521058 144.04445:174596 144.11023:41512 144.97441:44262 145.0507:38163,58.12015:3239 65.26077:3475 74.99255:9387 78.18548:3392 80.96394:305455 100.4147:3287 140.96745:46832
