PeakID,Title,Scans,RT left(min),RT (min),RT right (min),Precursor m/z,Height,Area,Model masses,Adduct,Isotope,Comment,Reference RT,Reference m/z,Formula,Ontology,InChIKey,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,RT similarity,Dot product,Reverse dot product,Fragment presence %,Total score,S/N,MS1 isotopes,MSMS spectrum
0,Unknown,895,1.96656,2.052612,2.23509,164.0345,168179.0625,1304467.375,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,10.06008,164.0345:179691 164.07899:148645 164.89496:50314 165.01866:70968 166.05035:23510 166.05363:638350 167.05678:37116 168.04958:28301 168.98894:35296,
1,Unknown,895,1.919837,2.052612,2.287518,176.1003,640609.8125,3674735.75,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,85.10365,176.10027:621627 176.10434:44985 179.03476:25031,
2,Unknown,897,1.999908,2.059609,2.201538,275.1139,195913.2969,1119385,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,54.44769,275.11386:210962 276.11627:40918,
3,Unknown,911,1.96656,2.091901,2.224806,73.02829,926140.125,6875558.5,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,40.49772,73.02829:1070137 75.00751:176513 76.96883:1660905 77.96843:119908,53.92279:3036 56.17587:3115 73.0283:31346
4,Unknown,911,1.943233,2.091901,2.422228,115.0754,13200260,83087592,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,744.7111,114.93299:78791 114.93518:557166 115.00267:37235 115.03902:77885 115.07536:13953713 116.03423:27807 116.0787:936335 116.92745:1821683 116.93334:179737 117.01825:99761 117.05451:39449 117.92753:145320 118.91735:44972 118.92565:42878 119.03389:31478 120.0446:32429 120.05563:51313,53.79187:3276 55.25252:3487 57.72426:3603 82.92701:3368 87.51131:4215 97.90651:3226 97.93013:79343 102.78181:3505 114.93557:3944
5,Unknown,911,1.888694,2.091901,2.356622,116.0787,843698.5625,5096847.5,null,[M-H]-,M + 1,isotope of 4,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,56.98521,116.03423:27807 116.0787:936335 116.92745:1821683 116.93334:179737 117.01825:99761 117.05451:39449 117.92753:145320 118.91735:44972 118.92565:42878 119.03389:31478 120.0446:32429 120.05563:51313 121.02856:125452,
6,Unknown,916,1.879404,2.103624,2.408813,442.1566,227270.0781,1849461.875,null,[M+FA-H]-,M + 0,adduct linked to 11_[M+Na-2H]-,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,4545.401,442.15665:263417 443.15909:84766 444.16385:34459,
7,Unknown,920,2.019764,2.111361,2.201538,138.0187,314698.4063,2498020.25,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,7.437282,137.93959:303997 138.01871:366495 138.02692:101059 139.93726:55939 140.07088:30693 140.9675:140530 140.98518:215463 141.00066:114622,
8,Unknown,923,2.007743,2.118371,2.267766,202.0801,58753.26953,258556.7813,null,[M-H]-,M + 1,isotope of 10,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,4.289839,202.0799:110993 203.09242:59065 205.15952:188872 206.08188:95771,
9,Unknown,928,2.019764,2.130442,2.253758,193.0865,222754.3125,1554091.75,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,25.3213,192.91081:48585 193.0865:270469 194.90533:726190 194.93941:135695 195.90535:124206,
