PeakID,Title,Scans,RT left(min),RT (min),RT right (min),Precursor m/z,Height,Area,Model masses,Adduct,Isotope,Comment,Reference RT,Reference m/z,Formula,Ontology,InChIKey,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,RT similarity,Dot product,Reverse dot product,Fragment presence %,Total score,S/N,MS1 isotopes,MSMS spectrum
0,Unknown,910,1.89,2.04323,2.289995,374.1665,144900.4219,1259403.25,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,42.01867,374.16653:138622 375.16953:35539,
1,Unknown,920,1.939983,2.066946,2.218191,246.0807,86873.625,364491.375,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,19.30977,246.0807:92974 247.11874:344488 248.12244:62736 248.97331:25497266 249.97:144373 249.97684:565850 250.14453:36271,
2,Unknown,924,1.97874,2.076871,2.310326,129.0911,1524139.5,11790609,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,79.33679,129.09113:1377236 130.09454:124572 131.07025:54850 132.05583:90495 132.16899:36755 134.03516:53053 134.0464:47736,59.96404:3311 64.73341:3059 65.76457:3368 66.51812:4065 77.73524:3273 79.10796:3825 102.84278:3253 129.091:111354
3,Unknown,928,1.90401,2.086634,2.304024,130.0945,119911.25,661995.375,null,[M-H]-,M + 1,isotope of 2,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,30.908,130.03999:125074 130.09445:144982 131.03519:148410 131.07036:98575 132.05562:284454 133.05084:127506 134.03497:128476 134.07127:56340 134.89359:49107 135.00774:622662 135.03018:68212,
4,Unknown,928,1.893612,2.086634,2.333738,244.1189,213079.3438,1304020.625,null,[M-C6H10O5-H]-,M + 0,adduct linked to 11_[M+Cl]-,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,44.18463,244.11885:230978 247.11847:258346 248.9733:27156998,
5,Unknown,928,1.954447,2.086634,2.231257,443.9923,39777.20703,136054.7656,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,795.5441,443.99234:63913 448.16824:65401,
6,Unknown,929,1.907216,2.089844,2.19571,162.9496,107097.9453,572295.3125,null,[M+Na-2H]-,M + 0,adduct linked to 13_[M-H]-; found in higher mz's MsMs_26,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,24.93686,162.94962:117236 162.95901:42014 163.06143:47226 163.07567:2977452 164.03453:42670 164.07893:318245 166.05354:604197 166.95657:41979,
7,Unknown,929,2.000997,2.089844,2.313753,233.103,605990.375,3894410,null,[2M+FA-H]-,M + 0,adduct linked to 17_[M-H]-,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,111.2029,233.10304:743998 234.10576:51493 235.12155:66294 235.95355:173802 237.12448:213791,52.5291:3698 53.93126:3725 55.01773:9593 57.03202:3579 57.03344:15776 59.8741:3532 62.92861:3261 65.60255:3983 83.01264:233860 85.02829:217755 101.02323:37097 105.35341:3557 105.56874:3990 106.64619:3384 108.47306:3627 115.03882:33246 125.05978:8383 132.67256:3749 142.0627:6128 157.08621:44062 189.05011:3438 214.91379:15935 227.19577:6019 229.41777:3881 232.92436:7559 233.15456:16977
8,Unknown,929,1.939983,2.089844,2.166885,234.1058,56069.93359,213248.5,null,[2M+FA-H]-,M + 1,isotope of 7,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,11.03891,234.10576:51493 235.12155:66294 235.95355:173802 237.12448:213791,
9,Unknown,929,1.805071,2.089844,2.512797,270.0267,8417793,58818372,null,[M+Na-2H]-,M + 0,adduct linked to 29_[M+Cl]-,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,2160.896,270.02667:9893068 271.03027:1033536 272.02258:929409 272.03189:131688 272.88342:110378 273.02597:106739 273.09854:119105,51.99553:4015 52.9529:3728 53.90307:3739 65.17655:3585 74.36175:3835 79.95618:14428 80.96398:362356 102.84045:3483 106.26698:4046 117.85065:3548 122.86385:3675 138.2457:3677 140.96754:587113 146.66035:3595 162.03732:4983 164.59924:3625 171.68538:3526 179.88045:3379 194.58728:4596 219.61519:18952
10,Unknown,929,1.857989,2.089844,2.402267,272.0226,718503.5,4854315.5,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,199.0337,272.02258:929409 272.03189:131688 272.88342:110378 273.02597:106739 273.09854:119105 275.11377:114970,
11,Unknown,929,1.90401,2.089844,2.241143,442.1563,169320.5156,1332035,null,[M+Cl]-,M + 0,adduct linked to 4_[M-C6H10O5-H]-,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,3386.41,442.15631:261086 443.16049:86954 443.87161:49339 443.99167:59600,
