PeakID,Title,Scans,RT left(min),RT (min),RT right (min),Precursor m/z,Height,Area,Model masses,Adduct,Isotope,Comment,Reference RT,Reference m/z,Formula,Ontology,InChIKey,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,RT similarity,Dot product,Reverse dot product,Fragment presence %,Total score,S/N,MS1 isotopes,MSMS spectrum
0,Unknown,898,2.004313,2.052703,2.132337,309.0887,61174.16016,248721.6719,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,13.3594,309.08865:57200 311.16949:92854 313.93109:78648,
1,Unknown,907,1.930691,2.071517,2.258893,246.0808,94577.28906,463564.0625,null,[M+K-2H]-,M + 0,adduct linked to 3_[M+Cl]-,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,18.09837,246.08083:90888 247.11853:303205 247.95996:39260 248.97336:23352702 249.9702:170393 249.97684:500529,
2,Unknown,912,1.920843,2.083579,2.28398,130.0945,92228.91406,552632.625,null,[M-H]-,M + 1,isotope of 4,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,24.19635,130.04002:130568 130.0945:117882 131.03529:156519 131.07022:84345 132.05569:417450 133.05099:115800 134.03503:142790 134.0463:47981 134.07129:42409 135.00777:318177 135.04427:42807 135.05522:42020,
3,Unknown,912,1.910197,2.083579,2.305118,244.1192,206517.0156,1317159.25,null,[M+Cl]-,M + 0,adduct linked to 1_[M+K-2H]-,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,34.80158,244.1192:248259 245.10303:43747 246.08066:101947 247.11873:255736 248.12262:79444 248.97333:25365638,
4,Unknown,913,1.989851,2.086944,2.28398,129.0911,1541127.875,11602362,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,68.89404,129.05493:56237 129.09111:1664423 130.09445:74654 131.07043:87812 132.05571:78915,54.68953:3513 79.40089:4075 80.10732:3697 104.01031:3042 104.67116:2949 117.83624:3167 125.89805:3456
5,Unknown,916,1.941532,2.093152,2.265655,234.1063,56447.10547,236921.2813,null,[2M+FA-H]-,M + 1,isotope of 7,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,8.804282,234.10628:64309 234.93231:40732 235.12158:42177 235.9536:93452 237.12442:188338 238.68051:29321,
6,Unknown,916,1.906556,2.093152,2.254893,442.1568,162189.4219,1348957.125,null,[M-H]-,M + 0,,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,38.4558,442.15677:207480 443.15979:43109 443.70242:36093 443.99161:46047,
7,Unknown,917,1.900372,2.09674,2.270145,233.1031,593618.5,3866124.25,null,[2M+FA-H]-,M + 0,adduct linked to 17_[M-H]-,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,98.91006,232.92451:70600 233.10306:652491 234.10631:70511 235.12112:56736 235.95358:136822 237.12468:238037,50.73574:3417 51.50877:3198 55.01778:14278 57.03207:3973 57.03333:21370 57.5476:3219 66.93734:3558 74.66244:3271 77.56654:4233 83.01267:251585 85.02831:238123 85.38907:3178 101.02318:47213 115.03887:26281 116.15714:3712 125.05962:9659 126.20727:3309 141.64732:4199 142.0629:9156 146.7079:3530 155.96022:3384 157.08615:47551 214.91399:12479 218.47293:30971 218.48601:6868 218.79613:4186 225.96057:3954 230.00238:3808 232.92441:7677
8,Unknown,917,1.868166,2.09674,2.403371,272.0226,742059.5625,5126132.5,null,[M+K-2H]-,M + 0,adduct linked to 12_[M+Cl]-,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,196.1112,272.02264:802570 272.03085:89561 272.88345:106915 273.02567:75395 273.09842:140821 274.10037:39864 275.11374:155959,
9,Unknown,917,1.961816,2.09674,2.179447,273.0257,65311.33594,235786.5625,null,[M+K-2H]-,M + 1,isotope of 8,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,null,null,null,null,null,15.55751,272.88345:106915 273.02567:75395 273.09842:140821 274.10037:39864 275.11374:155959 277.84763:45784,
